haplotype_1	haplotype_2	mutational_distance
H1	H2	40
H1	H4	15
H10	H9	5
H11	H6	132
H12	H13	12
H13	H15	18
H13	H17	20
H13	H19	26
H13	H2	155
H14	H17	5
H15	H9	19
H16	H17	1
H17	H18	1
H19	H20	1
H2	H3	57
H2	H5	37
H2	H53	155
H21	H22	10
H21	H26	14
H23	H26	8
H24	H25	6
H25	H26	3
H25	H27	4
H26	H28	7
H26	H42	6
H26	H43	34
H29	H34	4
H3	H6	157
H30	H34	2
H31	H32	8
H31	H36	6
H32	H38	6
H33	H34	1
H34	H38	5
H35	H38	2
H37	H38	1
H38	H40	7
H38	H43	9
H39	H43	12
H41	H42	1
H43	H44	2
H43	H45	4
H43	H53	85
H44	H46	1
H47	H48	1
H47	H53	56
H48	H49	1
H48	H50	9
H51	H52	1
H52	H54	5
H53	H54	17
H54	H55	13
H6	H7	1
H6	H8	1
