organelle	population_1	population_2	n_population_1	n_population_2	numerator	denominator	callable_sites_with_at_least_two_calls_per_population	hudson_fst
chloroplast	ABAB_MAD	ABBE_BERN	7	4	516.904761905	539.964285714	102112	0.957294353683
chloroplast	ABAB_MAD	ABMU_HOR	7	6	41.519047619	61.5119047619	102226	0.674975808012
chloroplast	ABAB_MAD	BAI	7	10	453.61984127	477.257142857	102225	0.950472608025
chloroplast	ABAB_MAD	COM	7	9	464.008730159	477.157142857	102230	0.972444271462
chloroplast	ABAB_MAD	CROB	7	10	461.371428571	474.325396825	102176	0.97268970133
chloroplast	ABAB_MAD	CROS	7	10	455.638095238	477.714285714	102230	0.953787878788
chloroplast	ABAB_MAD	CY_ALA	7	3	417.314285714	429.157142857	102059	0.97240438068
chloroplast	ABAB_MAD	CY_BAL	7	3	531.380952381	545.619047619	101979	0.973904695409
chloroplast	ABAB_MAD	CY_BGL	7	2	513.380952381	547.119047619	102105	0.938335001523
chloroplast	ABAB_MAD	CY_BOU	7	5	427.457142857	439.3	102216	0.973041527105
chloroplast	ABAB_MAD	CY_CAS	7	5	336.466666667	455.876190476	102110	0.738065890906
chloroplast	ABAB_MAD	CY_HICN	7	5	609.142857143	622.669047619	101831	0.978277079087
chloroplast	ABAB_MAD	CY_HICS	7	5	423.90952381	436.085714286	102182	0.972078446789
chloroplast	ABAB_MAD	CY_HUN	7	5	618.528571429	631.121428571	101982	0.980046855371
chloroplast	ABAB_MAD	CY_SIE	7	4	412.576190476	576.669047619	102159	0.715447087337
chloroplast	ABAB_MAD	CY_WOO	7	5	425.342857143	438.719047619	102044	0.969510805266
chloroplast	ABAB_MAD	DAN	7	5	469.114285714	482.757142857	102135	0.971739709407
chloroplast	ABAB_MAD	DOV	7	7	457.00952381	469.914285714	102226	0.972538051519
chloroplast	ABAB_MAD	DUD	7	8	463.207142857	481.889285714	102228	0.961231462473
chloroplast	ABAB_MAD	KIRN	7	9	460.921428571	475.125396825	102200	0.970104801072
chloroplast	ABAB_MAD	KIRT	7	10	462.171428571	474.514285714	102123	0.973988439306
chloroplast	ABAB_MAD	MALV	7	10	464.904761905	477.814285714	102230	0.972982130934
chloroplast	ABAB_MAD	OCO	7	10	624.779365079	645.813492063	102129	0.967430028572
chloroplast	ABAB_MAD	QUI1	7	9	423.742857143	435.585714286	102199	0.972811649339
chloroplast	ABAB_MAD	QUI2	7	10	465.598412698	477.896825397	102186	0.974265548451
chloroplast	ABAB_MAD	QUIN	7	10	466.626190476	478.985714286	102216	0.97419646674
chloroplast	ABAB_MAD	RIC	7	10	465.171428571	477.814285714	102210	0.973540227823
chloroplast	ABAB_MAD	RSV	7	9	461.461111111	475.40515873	102228	0.970669128504
chloroplast	ABAB_MAD	SILG	7	10	454.086507937	471.568253968	102118	0.962928492568
chloroplast	ABAB_MAD	SILR	7	6	466.447619048	484.49047619	102229	0.962759108735
chloroplast	ABAB_MAD	STI	7	16	458.367857143	473.817857143	102229	0.967392533297
chloroplast	ABAB_MAD	TIL	7	9	454.593386243	476.650529101	102226	0.953724707075
chloroplast	ABAB_MAD	TULP	7	17	464.324789916	482.123529412	102231	0.963082615948
chloroplast	ABBE_BERN	ABMU_HOR	4	6	530.983333333	550.966666667	102335	0.963730413213
chloroplast	ABBE_BERN	BAI	4	10	556.305555556	579.933333333	102367	0.959257769092
chloroplast	ABBE_BERN	COM	4	9	562.527777778	575.666666667	102369	0.977176220807
chloroplast	ABBE_BERN	CROB	4	10	560.533333333	573.477777778	102336	0.977428167322
chloroplast	ABBE_BERN	CROS	4	10	554.8	576.866666667	102369	0.961747370854
chloroplast	ABBE_BERN	CY_ALA	4	3	514.333333333	526.166666667	102093	0.977510294583
chloroplast	ABBE_BERN	CY_BAL	4	3	49.8333333333	64.5	102074	0.772609819121
chloroplast	ABBE_BERN	CY_BGL	4	2	29.6666666667	63.6666666667	102306	0.465968586387
chloroplast	ABBE_BERN	CY_BOU	4	5	526.833333333	538.666666667	102366	0.978032178218
chloroplast	ABBE_BERN	CY_CAS	4	5	381.7	500.9	102202	0.762028348972
chloroplast	ABBE_BERN	CY_HICN	4	5	448.233333333	461.416666667	101853	0.971428571429
chloroplast	ABBE_BERN	CY_HICS	4	5	523	535.166666667	102346	0.97726564933
chloroplast	ABBE_BERN	CY_HUN	4	5	269.1	281.883333333	102045	0.954650269024
chloroplast	ABBE_BERN	CY_SIE	4	4	317.166666667	480.916666667	102336	0.659504418645
chloroplast	ABBE_BERN	CY_WOO	4	5	522.7	536.066666667	102030	0.975065290387
chloroplast	ABBE_BERN	DAN	4	5	569.133333333	582.766666667	102295	0.976605845679
chloroplast	ABBE_BERN	DOV	4	7	564.028571429	576.923809524	102366	0.977648282351
chloroplast	ABBE_BERN	DUD	4	8	563.535714286	582.208333333	102369	0.967927942665
chloroplast	ABBE_BERN	KIRN	4	9	558.527777778	572.722222222	102358	0.975215830827
chloroplast	ABBE_BERN	KIRT	4	10	559.333333333	571.666666667	102284	0.978425655977
chloroplast	ABBE_BERN	MALV	4	10	564.066666667	576.966666667	102369	0.977641689295
chloroplast	ABBE_BERN	OCO	4	10	272.557936508	293.782539683	102248	0.927754034676
chloroplast	ABBE_BERN	QUI1	4	9	519.333333333	531.166666667	102297	0.977721995607
chloroplast	ABBE_BERN	QUI2	4	10	568.022222222	580.311111111	102346	0.978823619514
chloroplast	ABBE_BERN	QUIN	4	10	569.05	581.4	102368	0.978758169935
chloroplast	ABBE_BERN	RIC	4	10	564.333333333	576.966666667	102369	0.978103876596
chloroplast	ABBE_BERN	RSV	4	9	561.551587302	575.486111111	102367	0.975786515885
chloroplast	ABBE_BERN	SILG	4	10	561.105555556	578.577777778	102281	0.969801428791
chloroplast	ABBE_BERN	SILR	4	6	566.466666667	584.5	102369	0.969147419447
chloroplast	ABBE_BERN	STI	4	16	562.963311688	579.371969697	102368	0.971678543549
chloroplast	ABBE_BERN	TIL	4	9	557.082010582	579.324074074	102368	0.961606871719
chloroplast	ABBE_BERN	TULP	4	17	564.038795518	582.51372549	102369	0.968284129346
chloroplast	ABMU_HOR	BAI	6	10	462.338888889	482.283333333	103846	0.958645793736
chloroplast	ABMU_HOR	COM	6	9	477.327777778	486.783333333	103699	0.98057543283
chloroplast	ABMU_HOR	CROB	6	10	475.833333333	485.094444444	103795	0.98090864322
chloroplast	ABMU_HOR	CROS	6	10	470.1	488.483333333	103873	0.962366508581
chloroplast	ABMU_HOR	CY_ALA	6	3	430.3	438.45	102182	0.981411791538
chloroplast	ABMU_HOR	CY_BAL	6	3	545.566666667	556.883333333	102163	0.979678568222
chloroplast	ABMU_HOR	CY_BGL	6	2	527.066666667	557.716666667	103002	0.945043779697
chloroplast	ABMU_HOR	CY_BOU	6	5	436.9	445.05	103676	0.981687450848
chloroplast	ABMU_HOR	CY_CAS	6	5	351.22	466.936666667	102268	0.75217909638
chloroplast	ABMU_HOR	CY_HICN	6	5	623.633333333	633.633333333	101891	0.984218001999
chloroplast	ABMU_HOR	CY_HICS	6	5	433.066666667	441.55	103036	0.980787377798
chloroplast	ABMU_HOR	CY_HUN	6	5	634.666666667	643.766666667	102179	0.985864443639
chloroplast	ABMU_HOR	CY_SIE	6	4	426.733333333	587.3	103772	0.726601963789
chloroplast	ABMU_HOR	CY_WOO	6	5	434.5	444.183333333	102136	0.978199692319
chloroplast	ABMU_HOR	DAN	6	5	482.433333333	492.383333333	103724	0.979792167349
chloroplast	ABMU_HOR	DOV	6	7	462.328571429	471.54047619	103869	0.980464233238
chloroplast	ABMU_HOR	DUD	6	8	477.669047619	492.658333333	103819	0.969574683508
chloroplast	ABMU_HOR	KIRN	6	9	476.67962963	487.190740741	103812	0.978425059772
chloroplast	ABMU_HOR	KIRT	6	10	478.3	486.95	103723	0.982236369237
chloroplast	ABMU_HOR	MALV	6	10	479.366666667	488.583333333	103872	0.981135937233
chloroplast	ABMU_HOR	OCO	6	10	639.874603175	657.415873016	102339	0.973317848623
chloroplast	ABMU_HOR	QUI1	6	9	436.9	445.05	102647	0.981687450848
chloroplast	ABMU_HOR	QUI2	6	10	479.822222222	488.427777778	103065	0.982381109456
chloroplast	ABMU_HOR	QUIN	6	10	480.85	489.516666667	103827	0.98229546151
