scenario	organelle	metric	rank	population_1	population_2	canonical_value	scenario_value	signed_change	absolute_change	proportional_change	transition_type
permissive	chloroplast	pi	1	CY_BAL		0	5.25622451963e-05	5.25622451963e-05	5.25622451963e-05	NA	zero_to_nonzero
permissive	chloroplast	pi	2	QUIN		0	5.28408565503e-06	5.28408565503e-06	5.28408565503e-06	NA	zero_to_nonzero
permissive	chloroplast	pi	3	CY_WOO		7.9765489461e-06	2.38751330541e-05	1.5898584108e-05	1.5898584108e-05	1.99316574316	none
permissive	chloroplast	pi	4	CY_HICN		9.91994603549e-06	2.17757101851e-05	1.18557641496e-05	1.18557641496e-05	1.19514401663	none
permissive	chloroplast	pi	5	KIRN		3.24671522901e-05	4.51381919021e-05	1.2671039612e-05	1.2671039612e-05	0.390272589933	none
permissive	chloroplast	pi	6	ABBE_BERN		0.000181114678521	0.000219846566784	3.8731888263e-05	3.8731888263e-05	0.213852839424	none
permissive	chloroplast	pi	7	CY_HUN		4.99269817891e-06	4.16397743124e-06	-8.2872074767e-07	8.2872074767e-07	0.165986550353	none
permissive	chloroplast	pi	8	COM		2.3464417575e-05	2.55500323996e-05	2.0856148246e-06	2.0856148246e-06	0.0888841505626	none
permissive	chloroplast	pi	9	SILG		9.01813414804e-05	9.53263777949e-05	5.1450363145e-06	5.1450363145e-06	0.057052115549	none
permissive	chloroplast	pi	10	ABMU_HOR		0.000132216979135	0.000137087316824	4.870337689e-06	4.870337689e-06	0.0368359474015	none
permissive	chloroplast	fst	1	KIRN	KIRT	0.447916666667	0.294520547945	-0.153396118722	0.153396118722	NA	none
permissive	chloroplast	fst	2	KIRT	RIC	0.972222222222	0.843373493976	-0.128848728246	0.128848728246	NA	none
permissive	chloroplast	fst	3	KIRN	RIC	0.678366762178	0.618632707775	-0.059734054403	0.059734054403	NA	none
permissive	chloroplast	fst	4	KIRT	MALV	0.863247863248	0.81124497992	-0.052002883328	0.052002883328	NA	none
permissive	chloroplast	fst	5	KIRN	MALV	0.646011396011	0.595144356955	-0.050867039056	0.050867039056	NA	none
permissive	chloroplast	fst	6	CROB	KIRN	0.710082833476	0.665417558887	-0.044665274589	0.044665274589	NA	none
permissive	chloroplast	fst	7	CROB	KIRT	0.881266490765	0.838709677419	-0.042556813346	0.042556813346	NA	none
permissive	chloroplast	fst	8	ABBE_BERN	CY_BAL	0.813513513514	0.772609819121	-0.040903694393	0.040903694393	NA	none
permissive	chloroplast	fst	9	ABBE_BERN	CY_BGL	0.489361702128	0.465968586387	-0.023393115741	0.023393115741	NA	none
permissive	chloroplast	fst	10	DAN	SILR	0.561403508772	0.545454545455	-0.015948963317	0.015948963317	NA	none
permissive	mitochondria	pi	1	CROB		4.74079692796e-06	9.2980009298e-06	4.55720400184e-06	4.55720400184e-06	0.961273826129	none
permissive	mitochondria	pi	2	STI		2.78253424658e-05	3.91556829956e-05	1.13303405298e-05	1.13303405298e-05	0.407195007347	none
permissive	mitochondria	pi	3	OCO		3.29367640692e-05	4.48996338357e-05	1.19628697665e-05	1.19628697665e-05	0.363207197324	none
permissive	mitochondria	pi	4	ABAB_MAD		3.76613790091e-05	4.49819790946e-05	7.3206000855e-06	7.3206000855e-06	0.19437950171	none
permissive	mitochondria	pi	5	SILG		4.39548364056e-05	5.08299579064e-05	6.8751215008e-06	6.8751215008e-06	0.156413311094	none
permissive	mitochondria	pi	6	TIL		5.5343889452e-05	6.38159949753e-05	8.4721055233e-06	8.4721055233e-06	0.153081137	none
permissive	mitochondria	pi	7	CY_WOO		9.91547061302e-06	9.35388069125e-06	-5.6158992177e-07	5.6158992177e-07	0.0566377475853	none
permissive	mitochondria	pi	8	QUI1		1.31386247539e-05	1.28713381043e-05	-2.672866496e-07	2.672866496e-07	0.0203435789214	none
permissive	mitochondria	pi	9	DUD		1.76354401806e-05	1.73993736225e-05	-2.360665581e-07	2.360665581e-07	0.0133859181105	none
permissive	mitochondria	pi	10	TULP		1.72159709119e-05	1.70447650072e-05	-1.712059047e-07	1.712059047e-07	0.00994459769804	none
permissive	mitochondria	fst	1	KIRN	TULP	0.759615384615	0.693904361534	-0.065711023081	0.065711023081	NA	none
permissive	mitochondria	fst	2	KIRT	TULP	0.759615384615	0.693904361534	-0.065711023081	0.065711023081	NA	none
permissive	mitochondria	fst	3	RIC	TULP	0.671768707483	0.620710726709	-0.051057980774	0.051057980774	NA	none
permissive	mitochondria	fst	4	MALV	TULP	0.854651162791	0.807438016529	-0.047213146262	0.047213146262	NA	none
permissive	mitochondria	fst	5	CROS	TULP	0.427618478694	0.389847685851	-0.037770792843	0.037770792843	NA	none
permissive	mitochondria	fst	6	STI	TULP	0.877246454198	0.847276815644	-0.029969638554	0.029969638554	NA	none
permissive	mitochondria	fst	7	CY_BOU	TULP	0.918831168831	0.889447713039	-0.029383455792	0.029383455792	NA	none
permissive	mitochondria	fst	8	CY_HICS	TULP	0.918831168831	0.889447713039	-0.029383455792	0.029383455792	NA	none
permissive	mitochondria	fst	9	RSV	STI	0.621808474228	0.595552690944	-0.026255783284	0.026255783284	NA	none
permissive	mitochondria	fst	10	QUI2	STI	0.865218814799	0.839024390244	-0.026194424555	0.026194424555	NA	none
strict	chloroplast	pi	1	RIC		1.56082333431e-05	0	-1.56082333431e-05	1.56082333431e-05	NA	nonzero_to_zero
strict	chloroplast	pi	2	QUI2		3.5302086574e-06	0	-3.5302086574e-06	3.5302086574e-06	NA	nonzero_to_zero
strict	chloroplast	pi	3	CY_HICN		9.91994603549e-06	3.98422247898e-06	-5.93572355651e-06	5.93572355651e-06	0.598362484561	none
strict	chloroplast	pi	4	DAN		3.51404642446e-05	2.94403391527e-05	-5.7001250919e-06	5.7001250919e-06	0.162209726435	none
strict	chloroplast	pi	5	COM		2.3464417575e-05	1.97246439702e-05	-3.7397736048e-06	3.7397736048e-06	0.159380627831	none
strict	chloroplast	pi	6	KIRN		3.24671522901e-05	2.83198626968e-05	-4.1472895933e-06	4.1472895933e-06	0.127738015217	none
strict	chloroplast	pi	7	ABBE_BERN		0.000181114678521	0.000169134033747	-1.1980644774e-05	1.1980644774e-05	0.0661494963955	none
strict	chloroplast	pi	8	SILG		9.01813414804e-05	8.61893240453e-05	-3.9920174351e-06	3.9920174351e-06	0.0442665563582	none
strict	chloroplast	pi	9	SILR		0.000111979882912	0.000109036569946	-2.943312966e-06	2.943312966e-06	0.0262843011571	none
strict	chloroplast	pi	10	TIL		0.000207509937295	0.000202287117564	-5.222819731e-06	5.222819731e-06	0.0251690102126	none
strict	chloroplast	fst	1	KIRN	KIRT	0.447916666667	0.116666666667	-0.33125	0.33125	NA	none
strict	chloroplast	fst	2	QUI2	QUIN	0.475778190064	0.657142857143	0.181364667079	0.181364667079	NA	none
strict	chloroplast	fst	3	KIRN	RIC	0.678366762178	0.782786885246	0.104420123068	0.104420123068	NA	none
strict	chloroplast	fst	4	STI	TIL	0.312786495356	0.23539105083	-0.077395444526	0.077395444526	NA	none
strict	chloroplast	fst	5	MALV	RIC	0.805555555556	0.878787878788	0.073232323232	0.073232323232	NA	none
strict	chloroplast	fst	6	CROB	RIC	0.832971800434	0.905660377358	0.072688576924	0.072688576924	NA	none
strict	chloroplast	fst	7	QUIN	STI	0.838124791367	0.872314674735	0.034189883368	0.034189883368	NA	none
strict	chloroplast	fst	8	QUI2	STI	0.8348119529	0.865818759936	0.031006807036	0.031006807036	NA	none
strict	chloroplast	fst	9	RIC	TULP	0.822620382982	0.851011994003	0.028391611021	0.028391611021	NA	none
strict	chloroplast	fst	10	KIRT	RIC	0.972222222222	1	0.027777777778	0.027777777778	NA	none
strict	mitochondria	pi	1	CY_HICN		2.78073874959e-05	0	-2.78073874959e-05	2.78073874959e-05	NA	nonzero_to_zero
strict	mitochondria	pi	2	CY_WOO		9.91547061302e-06	0	-9.91547061302e-06	9.91547061302e-06	NA	nonzero_to_zero
strict	mitochondria	pi	3	CROB		4.74079692796e-06	2.05870924077e-05	1.58462954797e-05	1.58462954797e-05	3.34253833702	none
strict	mitochondria	pi	4	DUD		1.76354401806e-05	7.08827740682e-06	-1.05471627738e-05	1.05471627738e-05	0.598066317924	none
strict	mitochondria	pi	5	ABAB_MAD		3.76613790091e-05	5.79602624441e-05	2.0298883435e-05	2.0298883435e-05	0.538984072519	none
strict	mitochondria	pi	6	SILG		4.39548364056e-05	2.54307330409e-05	-1.85241033647e-05	1.85241033647e-05	0.421434929111	none
strict	mitochondria	pi	7	ABBE_BERN		1.1634942058e-05	1.54460431099e-05	3.8111010519e-06	3.8111010519e-06	0.327556513208	none
strict	mitochondria	pi	8	STI		2.78253424658e-05	1.96564060227e-05	-8.1689364431e-06	8.1689364431e-06	0.29357900817	none
strict	mitochondria	pi	9	CY_CAS		0.000343882150658	0.000414790234653	7.0908083995e-05	7.0908083995e-05	0.206198791822	none
strict	mitochondria	pi	10	OCO		3.29367640692e-05	3.6554161082e-05	3.6173970128e-06	3.6173970128e-06	0.109828549192	none
strict	mitochondria	fst	1	CY_BOU	CY_WOO	0.75	1	0.25	0.25	NA	none
strict	mitochondria	fst	2	CY_HICS	CY_WOO	0.75	1	0.25	0.25	NA	none
strict	mitochondria	fst	3	STI	TIL	0.298262784438	0.413494809689	0.115232025251	0.115232025251	NA	none
strict	mitochondria	fst	4	RSV	STI	0.621808474228	0.711340206186	0.089531731958	0.089531731958	NA	none
strict	mitochondria	fst	5	ABBE_BERN	CY_CAS	0.708571428571	0.629508196721	-0.07906323185	0.07906323185	NA	none
strict	mitochondria	fst	6	ABAB_MAD	CY_CAS	0.69176882662	0.614906832298	-0.076861994322	0.076861994322	NA	none
strict	mitochondria	fst	7	CY_WOO	STI	0.87109214737	0.942528735632	0.071436588262	0.071436588262	NA	none
strict	mitochondria	fst	8	CY_WOO	QUI1	0.852643419573	0.92	0.067356580427	0.067356580427	NA	none
strict	mitochondria	fst	9	DUD	KIRN	0.666666666667	0.6	-0.066666666667	0.066666666667	NA	none
strict	mitochondria	fst	10	DUD	KIRT	0.666666666667	0.6	-0.066666666667	0.066666666667	NA	none
mtmask70	mitochondria	pi	1	ABAB_MAD		3.76613790091e-05	3.45040559518e-05	-3.1573230573e-06	3.1573230573e-06	0.0838345047465	none
mtmask70	mitochondria	pi	2	CROB		4.74079692796e-06	4.34716456191e-06	-3.9363236605e-07	3.9363236605e-07	0.0830308431328	none
mtmask70	mitochondria	pi	3	CY_HICN		2.78073874959e-05	2.55427841635e-05	-2.2646033324e-06	2.2646033324e-06	0.0814389101721	none
mtmask70	mitochondria	pi	4	CY_SIE		0.00045170257123	0.000414928930122	-3.6773641108e-05	3.6773641108e-05	0.0814111839299	none
mtmask70	mitochondria	pi	5	CROS		6.99993566236e-05	6.43012323615e-05	-5.6981242621e-06	5.6981242621e-06	0.0814025233509	none
mtmask70	mitochondria	pi	6	RIC		9.2659084065e-06	8.51190602856e-06	-7.5400237794e-07	7.5400237794e-07	0.0813738216332	none
mtmask70	mitochondria	pi	7	ABMU_HOR		5.40649087848e-05	4.96665247623e-05	-4.3983840225e-06	4.3983840225e-06	0.0813537675613	none
mtmask70	mitochondria	pi	8	DUD		1.76354401806e-05	1.62158656029e-05	-1.4195745777e-06	1.4195745777e-06	0.0804955568538	none
mtmask70	mitochondria	pi	9	STI		2.78253424658e-05	2.56066813741e-05	-2.2186610917e-06	2.2186610917e-06	0.0797352663108	none
mtmask70	mitochondria	pi	10	RSV		1.67386428308e-05	1.54202370446e-05	-1.3184057862e-06	1.3184057862e-06	0.0787641984793	none
mtmask90	mitochondria	pi	1	SILG		4.39548364056e-05	4.39765824698e-05	2.17460642e-08	2.17460642e-08	0.00049473655184	none
mtmask90	mitochondria	pi	2	OCO		3.29367640692e-05	3.2950942955e-05	1.41788858e-08	1.41788858e-08	0.000430488124766	none
mtmask90	mitochondria	pi	3	CROB		4.74079692796e-06	4.74282055538e-06	2.02362742e-09	2.02362742e-09	0.000426853849838	none
mtmask90	mitochondria	pi	4	DUD		1.76354401806e-05	1.76429075512e-05	7.4673706e-09	7.4673706e-09	0.000423429782502	none
mtmask90	mitochondria	pi	5	TULP		1.72159709119e-05	1.72232295898e-05	7.2586779e-09	7.2586779e-09	0.000421624661028	none
mtmask90	mitochondria	pi	6	CY_WOO		9.91547061302e-06	9.91965082829e-06	4.18021527e-09	4.18021527e-09	0.000421585160518	none
mtmask90	mitochondria	pi	7	ABBE_BERN		1.1634942058e-05	1.16398174877e-05	4.8754297e-09	4.8754297e-09	0.000419033431855	none
mtmask90	mitochondria	pi	8	BAI		1.54478326691e-05	1.5454278517e-05	6.4458479e-09	6.4458479e-09	0.000417265517958	none
mtmask90	mitochondria	pi	9	CY_BGL		6.95055836152e-05	6.95345818654e-05	2.89982502e-08	2.89982502e-08	0.000417207491711	none
mtmask90	mitochondria	pi	10	RIC		9.2659084065e-06	9.26977358578e-06	3.86517928e-09	3.86517928e-09	0.000417139810846	none
