scenario	organelle	metric	status
permissive	chloroplast	pi	PASS
permissive	chloroplast	fst	PASS
permissive	chloroplast	pca	PASS
permissive	mitochondria	pi	PASS
permissive	mitochondria	fst	PASS
permissive	mitochondria	pca	PASS
strict	chloroplast	pi	PASS
strict	chloroplast	fst	PASS
strict	chloroplast	pca	PASS
strict	mitochondria	pi	PASS_WITH_CAVEAT
strict	mitochondria	fst	PASS
strict	mitochondria	pca	PASS
mtmask70	mitochondria	pi	PASS
mtmask70	mitochondria	fst	PASS
mtmask70	mitochondria	pca	PASS
mtmask90	mitochondria	pi	PASS
mtmask90	mitochondria	fst	PASS
mtmask90	mitochondria	pca	PASS
