haplotype_1	haplotype_2	mutational_distance
H1	H3	28
H10	H12	10
H10	H9	1
H11	H14	5
H12	H14	18
H12	H16	29
H12	H17	24
H12	H2	153
H12	H6	20
H13	H14	1
H14	H15	1
H17	H18	1
H17	H19	1
H18	H20	1
H2	H3	52
H2	H4	38
H2	H5	37
H2	H52	155
H21	H23	5
H22	H23	1
H23	H24	3
H23	H28	13
H25	H28	8
H26	H27	6
H27	H28	3
H27	H29	4
H28	H30	6
H28	H42	6
H28	H44	33
H31	H36	4
H32	H33	1
H32	H36	2
H34	H38	6
H35	H36	1
H36	H38	5
H37	H38	1
H38	H40	7
H38	H44	9
H39	H44	12
H41	H42	1
H43	H45	1
H44	H45	2
H44	H46	4
H44	H52	85
H45	H47	1
H48	H49	1
H48	H52	56
H49	H50	9
H51	H53	5
H52	H53	16
H52	H7	155
H53	H54	13
H53	H55	12
H7	H8	38
