sample_id	popcode	haplotype
ABAB_MAD_LP_223_Du-590	ABAB_MAD	AMBIGUOUS
ABAB_MAD_LP_322_Du-593	ABAB_MAD	H34
ABAB_MAD_LP_323_Du-594	ABAB_MAD	AMBIGUOUS
ABAB_MAD_LP_324_Du-595	ABAB_MAD	H33
ABAB_MAD_LP_325_Du-596	ABAB_MAD	AMBIGUOUS
ABAB_MAD_LP_326_Du-597	ABAB_MAD	AMBIGUOUS
ABAB_MAD_LP_327_Du-598	ABAB_MAD	AMBIGUOUS
ABBE_BERN_LP_311_Du-780	ABBE_BERN	AMBIGUOUS
ABBE_BERN_LP_312_Du-781	ABBE_BERN	AMBIGUOUS
ABBE_BERN_LP_313_Du-782	ABBE_BERN	H45
ABBE_BERN_LP_314_Du-783	ABBE_BERN	H45
ABMU_HOR_LP_306_Du-775	ABMU_HOR	AMBIGUOUS
ABMU_HOR_LP_308_Du-777	ABMU_HOR	AMBIGUOUS
ABMU_HOR_LP_358_Du-770	ABMU_HOR	AMBIGUOUS
ABMU_HOR_LP_359_Du-771	ABMU_HOR	AMBIGUOUS
ABMU_HOR_LP_360_Du-772	ABMU_HOR	H35
ABMU_HOR_LP_361_Du-773	ABMU_HOR	AMBIGUOUS
BAI_LP_105_Du-222	BAI	H18
BAI_LP_106_Du-223	BAI	H31
BAI_LP_108_Du-225	BAI	H18
BAI_LP_109_Du-226	BAI	H18
BAI_LP_110_Du-227	BAI	H31
BAI_LP_111_Du-228	BAI	H31
BAI_LP_112_Du-230	BAI	H18
BAI_LP_113_Du-231	BAI	H19
BAI_LP_114_Du-232	BAI	H18
BAI_LP_319_Du-233	BAI	H18
COM_LP_269_Du-703	COM	AMBIGUOUS
COM_LP_270_Du-704	COM	AMBIGUOUS
COM_LP_272_Du-707	COM	AMBIGUOUS
COM_LP_274_Du-709	COM	H5
COM_LP_276_Du-711	COM	AMBIGUOUS
COM_LP_277_Du-712	COM	H5
COM_LP_341_Du-713	COM	AMBIGUOUS
COM_LP_342_Du-714	COM	AMBIGUOUS
COM_LP_343_Du-715	COM	H5
CROB_LP_169_Du-381	CROB	AMBIGUOUS
CROB_LP_170_Du-382	CROB	H24
CROB_LP_172_Du-384	CROB	H21
CROB_LP_173_Du-385	CROB	H24
CROB_LP_174_Du-386	CROB	H24
CROB_LP_175_Du-387	CROB	H24
CROB_LP_176_Du-388	CROB	H24
CROB_LP_177_Du-389	CROB	H24
CROB_LP_320_Du-395	CROB	H24
CROB_LP_321_Du-396	CROB	H24
CROS_LP_085_Du-181	CROS	H20
