organelle	population_1	population_2	n_population_1	n_population_2	numerator	denominator	callable_sites_with_at_least_two_calls_per_population	hudson_fst
chloroplast	ABAB_MAD	ABBE_BERN	4	3	522.833333333	541.5	101505	0.965527854725
chloroplast	ABAB_MAD	ABMU_HOR	4	6	48.0666666667	60.9166666667	101602	0.789056087551
chloroplast	ABAB_MAD	BAI	4	8	459.55952381	475.380952381	101599	0.966718421316
chloroplast	ABAB_MAD	COM	4	9	469.25	475.777777778	101603	0.986279775806
chloroplast	ABAB_MAD	CROB	4	10	465.533333333	471.991666667	101597	0.986316848814
chloroplast	ABAB_MAD	CROS	4	10	459.8	475.366666667	101604	0.967253348293
chloroplast	ABAB_MAD	CY_ALA	4	3	422.333333333	427.666666667	101583	0.987529228371
chloroplast	ABAB_MAD	CY_BAL	4	3	535.833333333	542.333333333	101471	0.988014751076
chloroplast	ABAB_MAD	CY_BGL	4	2	518.833333333	545.833333333	101467	0.950534351145
chloroplast	ABAB_MAD	CY_BOU	4	5	431	436.333333333	101597	0.987776928953
chloroplast	ABAB_MAD	CY_CAS	4	5	341.566666667	453.9	101530	0.752515238305
chloroplast	ABAB_MAD	CY_HICN	4	3	614	620	101311	0.990322580645
chloroplast	ABAB_MAD	CY_HICS	4	5	427.166666667	432.833333333	101598	0.986907970735
chloroplast	ABAB_MAD	CY_HUN	4	5	622.1	627.883333333	101466	0.990789159345
chloroplast	ABAB_MAD	CY_SIE	4	3	352	559	101570	0.62969588551
chloroplast	ABAB_MAD	CY_WOO	4	4	432	437.833333333	101585	0.986676817663
chloroplast	ABAB_MAD	DAN	4	5	473.133333333	480.266666667	101585	0.985147140478
chloroplast	ABAB_MAD	DOV	4	7	461.861904762	467.923809524	101592	0.987045102988
chloroplast	ABAB_MAD	DUD	4	8	467.369047619	479.541666667	101604	0.974616138922
chloroplast	ABAB_MAD	KIRN	4	9	465.083333333	472.111111111	101604	0.985114144505
chloroplast	ABAB_MAD	KIRT	4	10	466.333333333	471.666666667	101554	0.988692579505
chloroplast	ABAB_MAD	MALV	4	10	469.066666667	475.466666667	101603	0.986539540101
chloroplast	ABAB_MAD	OCO	4	10	629.314285714	644.185714286	101529	0.976914376954
chloroplast	ABAB_MAD	QUI1	4	9	428	433.333333333	101595	0.987692307692
chloroplast	ABAB_MAD	QUI2	4	10	470.522222222	476.311111111	101595	0.987846412242
chloroplast	ABAB_MAD	QUIN	4	9	471.69047619	477.595238095	101593	0.987636472406
chloroplast	ABAB_MAD	RIC	4	9	469.333333333	475.555555556	101603	0.98691588785
chloroplast	ABAB_MAD	RSV	4	8	465.833333333	473.116666667	101600	0.984605629337
chloroplast	ABAB_MAD	SILG	4	9	459.222222222	470.588888889	101574	0.975845866881
chloroplast	ABAB_MAD	SILR	4	6	470.8	481.666666667	101601	0.977439446367
chloroplast	ABAB_MAD	STI	4	16	463.81547619	472.470238095	101602	0.981681889764
chloroplast	ABAB_MAD	TIL	4	9	459.222222222	474.698412698	101602	0.967397846586
chloroplast	ABAB_MAD	TULP	4	17	468.43627451	479.725490196	101604	0.976467342434
chloroplast	ABBE_BERN	ABMU_HOR	3	6	530.488888889	551.338888889	101899	0.962182968733
chloroplast	ABBE_BERN	BAI	3	8	558.642857143	582.464285714	101946	0.959102336133
chloroplast	ABBE_BERN	COM	3	9	563.25	577.777777778	101948	0.974855769231
chloroplast	ABBE_BERN	CROB	3	10	560.866666667	575.325	101903	0.974869276786
chloroplast	ABBE_BERN	CROS	3	10	555.133333333	578.7	101948	0.95927653937
chloroplast	ABBE_BERN	CY_ALA	3	3	515	528.333333333	101751	0.97476340694
chloroplast	ABBE_BERN	CY_BAL	3	3	47.6666666667	62	101680	0.768817204301
chloroplast	ABBE_BERN	CY_BGL	3	2	28.3333333333	63.1666666667	101874	0.448548812665
chloroplast	ABBE_BERN	CY_BOU	3	5	527	540.333333333	101944	0.975323874152
chloroplast	ABBE_BERN	CY_CAS	3	5	382.5	502.833333333	101799	0.760689426583
chloroplast	ABBE_BERN	CY_HICN	3	3	449.333333333	463.333333333	101351	0.969784172662
chloroplast	ABBE_BERN	CY_HICS	3	5	523.166666667	536.833333333	101938	0.974542067681
chloroplast	ABBE_BERN	CY_HUN	3	5	267.766666667	281.55	101722	0.95104481146
chloroplast	ABBE_BERN	CY_SIE	3	3	272.888888889	487.888888889	101932	0.559325893874
chloroplast	ABBE_BERN	CY_WOO	3	4	526	539.833333333	101753	0.974374807039
chloroplast	ABBE_BERN	DAN	3	5	569.466666667	584.6	101893	0.97411335386
chloroplast	ABBE_BERN	DOV	3	7	565.195238095	579.257142857	101938	0.975724244517
chloroplast	ABBE_BERN	DUD	3	8	563.869047619	584.041666667	101948	0.965460308401
chloroplast	ABBE_BERN	KIRN	3	9	558.861111111	573.888888889	101948	0.973814133591
chloroplast	ABBE_BERN	KIRT	3	10	559.666666667	573	101861	0.976730657359
chloroplast	ABBE_BERN	MALV	3	10	564.4	578.8	101948	0.975120939876
chloroplast	ABBE_BERN	OCO	3	10	272.333333333	294.8	101818	0.923790140208
chloroplast	ABBE_BERN	QUI1	3	9	520	533.333333333	101891	0.975
chloroplast	ABBE_BERN	QUI2	3	10	568.855555556	582.644444444	101902	0.976333956291
chloroplast	ABBE_BERN	QUIN	3	9	570.023809524	583.928571429	101899	0.97618756371
chloroplast	ABBE_BERN	RIC	3	9	564.666666667	578.888888889	101931	0.975431861804
chloroplast	ABBE_BERN	RSV	3	8	562.166666667	577.45	101946	0.973533062026
chloroplast	ABBE_BERN	SILG	3	9	562.555555556	581.922222222	101881	0.966719492868
chloroplast	ABBE_BERN	SILR	3	6	566.8	585.833333333	101947	0.967510668563
chloroplast	ABBE_BERN	STI	3	16	563.9745671	581.897510823	101947	0.969199140073
chloroplast	ABBE_BERN	TIL	3	9	557.87962963	581.55026455	101947	0.959297353361
chloroplast	ABBE_BERN	TULP	3	17	564.432913165	584.407843137	101948	0.96582022263
chloroplast	ABMU_HOR	BAI	6	8	460.392857143	478.397619048	103464	0.962364440817
chloroplast	ABMU_HOR	COM	6	9	474.916666667	483.627777778	103312	0.981987984331
chloroplast	ABMU_HOR	CROB	6	10	473.2	481.841666667	103408	0.982065339583
chloroplast	ABMU_HOR	CROS	6	10	467.466666667	485.216666667	103497	0.963418404149
chloroplast	ABMU_HOR	CY_ALA	6	3	427.666666667	435.183333333	101947	0.982727586075
chloroplast	ABMU_HOR	CY_BAL	6	3	542.933333333	551.95	101759	0.983663979225
chloroplast	ABMU_HOR	CY_BGL	6	2	525.433333333	554.95	102546	0.946812025107
chloroplast	ABMU_HOR	CY_BOU	6	5	433.266666667	440.783333333	103364	0.982947026128
chloroplast	ABMU_HOR	CY_CAS	6	5	348.82	463.336666667	101964	0.752843504723
chloroplast	ABMU_HOR	CY_HICN	6	3	620.6	628.783333333	101399	0.986985448088
chloroplast	ABMU_HOR	CY_HICS	6	5	429.433333333	437.283333333	102727	0.982048252468
chloroplast	ABMU_HOR	CY_HUN	6	5	632.033333333	640	101865	0.987552083333
chloroplast	ABMU_HOR	CY_SIE	6	3	358.155555556	567.338888889	103406	0.631290332057
chloroplast	ABMU_HOR	CY_WOO	6	4	434.266666667	442.283333333	101923	0.981874364095
chloroplast	ABMU_HOR	DAN	6	5	479.8	489.116666667	103386	0.980952056428
chloroplast	ABMU_HOR	DOV	6	7	459.528571429	467.773809524	103485	0.982373450742
chloroplast	ABMU_HOR	DUD	6	8	475.035714286	489.391666667	103488	0.970665719589
chloroplast	ABMU_HOR	KIRN	6	9	474.046296296	483.257407407	103458	0.980939534563
chloroplast	ABMU_HOR	KIRT	6	10	475.666666667	483.183333333	103353	0.984443447967
chloroplast	ABMU_HOR	MALV	6	10	476.733333333	485.316666667	103496	0.982313953089
chloroplast	ABMU_HOR	OCO	6	10	637.347619048	654.402380952	101986	0.973938417094
chloroplast	ABMU_HOR	QUI1	6	9	434.266666667	441.783333333	102300	0.982985626438
chloroplast	ABMU_HOR	QUI2	6	10	477.188888889	485.161111111	102791	0.983567886956
chloroplast	ABMU_HOR	QUIN	6	9	478.357142857	486.445238095	103404	0.983373061129
chloroplast	ABMU_HOR	RIC	6	9	477	485.405555556	103437	0.982683437675
chloroplast	ABMU_HOR	RSV	6	8	474.166666667	483.633333333	103482	0.980425942518
chloroplast	ABMU_HOR	SILG	6	9	456.888888889	470.438888889	103017	0.971197109083
chloroplast	ABMU_HOR	SILR	6	6	477.133333333	490.35	103428	0.97304646341
chloroplast	ABMU_HOR	STI	6	16	466.820021645	478.626298701	103495	0.975332995516
chloroplast	ABMU_HOR	TIL	6	9	465.888888889	483.548412698	102960	0.963479305596
chloroplast	ABMU_HOR	TULP	6	17	474.73487395	488.893137255	103497	0.971040167623
chloroplast	BAI	COM	8	9	150.392857143	162.075396825	103353	0.927919104865
chloroplast	BAI	CROB	8	10	148.926190476	160.539285714	104719	0.927661972667
chloroplast	BAI	CROS	8	10	143.192857143	163.914285714	105935	0.873583754576
chloroplast	BAI	CY_ALA	8	3	151.726190476	162.214285714	102002	0.935344194921
chloroplast	BAI	CY_BAL	8	3	570.726190476	582.589285714	101805	0.979637292465
chloroplast	BAI	CY_BGL	8	2	552.226190476	584.214285714	102568	0.945245955088
chloroplast	BAI	CY_BOU	8	5	157.726190476	168.214285714	103576	0.937650389243
chloroplast	BAI	CY_CAS	8	5	132.926190476	250.414285714	102018	0.530825108867
chloroplast	BAI	CY_HICN	8	3	640.226190476	651.380952381	101446	0.982875210176
chloroplast	BAI	CY_HICS	8	5	154.892857143	165.714285714	102781	0.934698275862
chloroplast	BAI	CY_HUN	8	5	653.326190476	664.264285714	101911	0.983533519002
chloroplast	BAI	CY_SIE	8	3	279.726190476	491.880952381	104817	0.568686770899
chloroplast	BAI	CY_WOO	8	4	158.726190476	169.714285714	101976	0.935255331089
chloroplast	BAI	DAN	8	5	155.126190476	167.414285714	103697	0.926600676963
chloroplast	BAI	DOV	8	7	119.219047619	130.435714286	105925	0.914006169797
chloroplast	BAI	DUD	8	8	152.511904762	169.839285714	103918	0.897977780114
chloroplast	BAI	KIRN	8	9	149.642857143	161.825396825	105573	0.924717999019
chloroplast	BAI	KIRT	8	10	151.226190476	161.714285714	105294	0.935144287397
chloroplast	BAI	MALV	8	10	152.45952381	164.014285714	105935	0.929550271463
chloroplast	BAI	OCO	8	10	659.54047619	679.566666667	102030	0.970530940585
chloroplast	BAI	QUI1	8	9	158.726190476	169.214285714	102353	0.93801885465
chloroplast	BAI	QUI2	8	10	162.415079365	173.358730159	102846	0.93687280252
chloroplast	BAI	QUIN	8	9	163.583333333	174.642857143	105398	0.936673483299
chloroplast	BAI	RIC	8	9	152.726190476	164.103174603	105792	0.930671760894
chloroplast	BAI	RSV	8	8	159.726190476	172.164285714	105108	0.927754498057
chloroplast	BAI	SILG	8	9	116.615079365	133.136507937	103076	0.87590609948
chloroplast	BAI	SILR	8	6	152.60952381	168.797619048	103601	0.90409760914
chloroplast	BAI	STI	8	16	151.319681509	166.397387137	104611	0.909387365468
chloroplast	BAI	TIL	8	9	152.198412698	173.023809524	103009	0.87963854869
chloroplast	BAI	TULP	8	17	151.637535014	168.767226891	105935	0.89850107635
chloroplast	COM	CROB	9	10	86.1166666667	88.4361111111	103299	0.973772654459
chloroplast	COM	CROS	9	10	80.3833333333	91.8111111111	103426	0.875529468716
chloroplast	COM	CY_ALA	9	3	156.916666667	158.111111111	102003	0.992445537597
chloroplast	COM	CY_BAL	9	3	577.916666667	580.611111111	101807	0.995359295761
chloroplast	COM	CY_BGL	9	2	557.916666667	581.111111111	102595	0.960086042065
chloroplast	COM	CY_BOU	9	5	170.916666667	172.111111111	103315	0.993060038735
chloroplast	COM	CY_CAS	9	5	138.616666667	246.811111111	102020	0.561630576689
chloroplast	COM	CY_HICN	9	3	642.916666667	644.777777778	101448	0.997113561951
chloroplast	COM	CY_HICS	9	5	167.083333333	168.611111111	102783	0.990939044481
