organelle	population	sample_count	sample_ids	pairwise_differences	jointly_callable_sites	pairwise_callable_sites	nucleotide_diversity	haplotype_count	haplotype_diversity	haplotype_assigned_samples	haplotype_ambiguous_samples
chloroplast	ABAB_MAD	4	ABAB_MAD_LP_223_Du-590,ABAB_MAD_LP_322_Du-593,ABAB_MAD_LP_326_Du-597,ABAB_MAD_LP_327_Du-598	60	100915	605490	9.90932963385e-05	0	nan	0	4
chloroplast	ABBE_BERN	3	ABBE_BERN_LP_311_Du-780,ABBE_BERN_LP_312_Du-781,ABBE_BERN_LP_313_Du-782	74	101475	304425	0.000243081218691	0	nan	0	3
chloroplast	ABMU_HOR	6	ABMU_HOR_LP_306_Du-775,ABMU_HOR_LP_308_Du-777,ABMU_HOR_LP_358_Du-770,ABMU_HOR_LP_359_Du-771,ABMU_HOR_LP_360_Du-772,ABMU_HOR_LP_361_Du-773	203	102357	1535355	0.000132216979135	0	nan	0	6
chloroplast	BAI	8	BAI_LP_105_Du-222,BAI_LP_106_Du-223,BAI_LP_108_Du-225,BAI_LP_109_Du-226,BAI_LP_112_Du-230,BAI_LP_113_Du-231,BAI_LP_114_Du-232,BAI_LP_319_Du-233	574	102840	2879520	0.000199338778685	0	nan	0	8
chloroplast	COM	9	COM_LP_269_Du-703,COM_LP_270_Du-704,COM_LP_272_Du-707,COM_LP_274_Du-709,COM_LP_276_Du-711,COM_LP_277_Du-712,COM_LP_341_Du-713,COM_LP_342_Du-714,COM_LP_343_Du-715	86	101809	3665124	2.3464417575e-05	3	0.52380952381	7	2
chloroplast	CROB	10	CROB_LP_169_Du-381,CROB_LP_170_Du-382,CROB_LP_172_Du-384,CROB_LP_173_Du-385,CROB_LP_174_Du-386,CROB_LP_175_Du-387,CROB_LP_176_Du-388,CROB_LP_177_Du-389,CROB_LP_320_Du-395,CROB_LP_321_Du-396	90	101950	4587750	1.9617459539e-05	1	0	4	6
chloroplast	CROS	10	CROS_LP_085_Du-181,CROS_LP_086_Du-182,CROS_LP_087_Du-183,CROS_LP_088_Du-184,CROS_LP_089_Du-185,CROS_LP_090_Du-186,CROS_LP_091_Du-187,CROS_LP_092_Du-188,CROS_LP_093_Du-189,CROS_LP_094_Du-190	921	105091	4729095	0.000194751849984	4	0.8	6	4
chloroplast	CY_ALA	3	CY_ALA_LP_298-Du-767,CY_ALA_LP_299-Du-768,CY_ALA_LP_357_Du-769	0	101721	305163	0	1	0	2	1
chloroplast	CY_BAL	3	CY_BAL_LP_226_Du-602,CY_BAL_LP_227_Du-603,CY_BAL_LP_228_Du-604	0	100780	302340	0	0	nan	0	3
chloroplast	CY_BGL	2	CY_BGL_LP_210_Du-577,CY_BGL_LP_212_Du-579	44	102595	102595	0.000428870802671	0	nan	0	2
chloroplast	CY_BOU	5	CY_BOU_LP_288_Du-737,CY_BOU_LP_290_Du-739,CY_BOU_LP_291_Du-740,CY_BOU_LP_292_Du-741,CY_BOU_LP_354_Du-742	0	101989	1019890	0	1	0	4	1
chloroplast	CY_CAS	5	CY_CAS_LP_328_Du-610,CY_CAS_LP_329_Du-611,CY_CAS_LP_330_Du-607,CY_CAS_LP_331_Du-608,CY_CAS_LP_332_Du-609	2130	101089	1010890	0.00210705417998	0	nan	0	5
chloroplast	CY_HICN	3	CY_HICN_LP_236_Du-614,CY_HICN_LP_333_Du-612,CY_HICN_LP_335_Du-615	4	101206	303618	1.31744494727e-05	0	nan	0	3
chloroplast	CY_HICS	5	CY_HICS_LP_293_Du-757,CY_HICS_LP_295_Du-759,CY_HICS_LP_297_Du-761,CY_HICS_LP_355_Du-762,CY_HICS_LP_356_Du-763	0	100298	1002980	0	1	0	1	4
chloroplast	CY_HUN	5	CY_HUN_LP_264_Du-683,CY_HUN_LP_265_Du-684,CY_HUN_LP_266_Du-685,CY_HUN_LP_267_Du-686,CY_HUN_LP_268_Du-687	4	80117	801170	4.99269817891e-06	0	nan	0	5
