organelle	population_1	population_2	n_population_1	n_population_2	numerator	denominator	callable_sites_with_at_least_two_calls_per_population	hudson_fst
mitochondria	ABAB_MAD	ABBE_BERN	7	4	32.1904761905	33.3928571429	43156	0.963992869875
mitochondria	ABAB_MAD	ABMU_HOR	7	6	4.52380952381	6.64285714286	43164	0.681003584229
mitochondria	ABAB_MAD	BAI	7	10	24.2571428571	25.5428571429	43166	0.94966442953
mitochondria	ABAB_MAD	COM	7	9	30.1904761905	31.3650793651	43166	0.962550607287
mitochondria	ABAB_MAD	CROB	7	10	22.9904761905	24.3650793651	43166	0.943583061889
mitochondria	ABAB_MAD	CROS	7	10	22.2793650794	24.8678571429	43166	0.895910128138
mitochondria	ABAB_MAD	CY_ALA	7	3	24.1904761905	25.1428571429	43162	0.962121212121
mitochondria	ABAB_MAD	CY_BAL	7	3	34.1904761905	35	42853	0.976870748299
mitochondria	ABAB_MAD	CY_BGL	7	2	32.1904761905	34.6428571429	43148	0.929209621993
mitochondria	ABAB_MAD	CY_BOU	7	5	21.1904761905	22.1428571429	43161	0.956989247312
mitochondria	ABAB_MAD	CY_CAS	7	5	18.7904761905	27.1428571429	43161	0.692280701754
mitochondria	ABAB_MAD	CY_HICN	7	5	43.9904761905	46.0428571429	43161	0.955424552694
mitochondria	ABAB_MAD	CY_HICS	7	5	21.1904761905	22.1428571429	43165	0.956989247312
mitochondria	ABAB_MAD	CY_HUN	7	4	38.1904761905	39.1428571429	43154	0.975669099757
mitochondria	ABAB_MAD	CY_SIE	7	4	29.6904761905	40.8928571429	43166	0.726055312955
mitochondria	ABAB_MAD	CY_WOO	7	5	21.7904761905	22.9428571429	43159	0.949771689498
mitochondria	ABAB_MAD	DAN	7	5	29.1904761905	30.1428571429	42979	0.968404423381
mitochondria	ABAB_MAD	DOV	7	7	24.1904761905	25.1428571429	43166	0.962121212121
mitochondria	ABAB_MAD	DUD	7	8	22.6904761905	24.0178571429	43166	0.944733581165
mitochondria	ABAB_MAD	KIRN	7	9	24.1904761905	25.1428571429	43166	0.962121212121
mitochondria	ABAB_MAD	KIRT	7	10	24.1904761905	25.1428571429	43166	0.962121212121
mitochondria	ABAB_MAD	MALV	7	10	25.1904761905	26.1428571429	43166	0.963570127505
mitochondria	ABAB_MAD	OCO	7	10	39.5015873016	41.5317460317	43157	0.951117905599
mitochondria	ABAB_MAD	QUI1	7	9	21.2738095238	22.4761904762	43163	0.946504237288
mitochondria	ABAB_MAD	QUI2	7	10	26.1904761905	27.1428571429	43038	0.964912280702
mitochondria	ABAB_MAD	QUIN	7	10	26.1904761905	27.1428571429	43024	0.964912280702
mitochondria	ABAB_MAD	RIC	7	10	23.7904761905	24.9428571429	43166	0.953799159985
mitochondria	ABAB_MAD	RSV	7	9	25.2738095238	26.5873015873	43156	0.950597014925
mitochondria	ABAB_MAD	SILG	7	10	24.9238095238	26.9428571429	43159	0.925061859314
mitochondria	ABAB_MAD	SILR	7	6	28.1904761905	29.1428571429	43165	0.967320261438
mitochondria	ABAB_MAD	STI	7	16	24.4226190476	26.2589285714	43155	0.930069137482
mitochondria	ABAB_MAD	TIL	7	8	24.5833333333	26.8928571429	43155	0.914121292607
mitochondria	ABAB_MAD	TULP	7	17	23.3673924115	24.8389355742	43166	0.94075659328
mitochondria	ABBE_BERN	ABMU_HOR	4	6	28.3333333333	29.75	43161	0.952380952381
mitochondria	ABBE_BERN	BAI	4	10	28.0666666667	28.65	43170	0.979639325189
mitochondria	ABBE_BERN	COM	4	9	32	32.4722222222	43170	0.985457656116
mitochondria	ABBE_BERN	CROB	4	10	30.3555555556	31.0277777778	43170	0.978334825425
mitochondria	ABBE_BERN	CROS	4	10	28.4888888889	30.375	43170	0.937905807042
mitochondria	ABBE_BERN	CY_ALA	4	3	26	26.25	43161	0.990476190476
mitochondria	ABBE_BERN	CY_BAL	4	3	2	2.25	42865	0.888888888889
mitochondria	ABBE_BERN	CY_BGL	4	2	0	1.75	43162	0
mitochondria	ABBE_BERN	CY_BOU	4	5	23	23.25	43167	0.989247311828
mitochondria	ABBE_BERN	CY_CAS	4	5	18.6	26.25	43167	0.708571428571
mitochondria	ABBE_BERN	CY_HICN	4	5	29.8	31.15	43166	0.956661316212
mitochondria	ABBE_BERN	CY_HICS	4	5	23	23.25	43167	0.989247311828
mitochondria	ABBE_BERN	CY_HUN	4	4	20	20.25	43161	0.987654320988
mitochondria	ABBE_BERN	CY_SIE	4	4	19.5	30	43167	0.65
mitochondria	ABBE_BERN	CY_WOO	4	5	23.6	24.05	43161	0.981288981289
mitochondria	ABBE_BERN	DAN	4	5	31	31.25	42983	0.992
mitochondria	ABBE_BERN	DOV	4	7	28	28.25	43170	0.991150442478
mitochondria	ABBE_BERN	DUD	4	8	27	27.625	43170	0.977375565611
mitochondria	ABBE_BERN	KIRN	4	9	28	28.25	43170	0.991150442478
mitochondria	ABBE_BERN	KIRT	4	10	28	28.25	43170	0.991150442478
mitochondria	ABBE_BERN	MALV	4	10	29	29.25	43170	0.991452991453
mitochondria	ABBE_BERN	OCO	4	10	19.3111111111	20.6388888889	43162	0.935666218035
mitochondria	ABBE_BERN	QUI1	4	9	25.0833333333	25.5833333333	43167	0.980456026059
mitochondria	ABBE_BERN	QUI2	4	10	30	30.25	43046	0.99173553719
mitochondria	ABBE_BERN	QUIN	4	10	30	30.25	43028	0.99173553719
mitochondria	ABBE_BERN	RIC	4	10	28	28.45	43170	0.984182776801
mitochondria	ABBE_BERN	RSV	4	9	29.0833333333	29.6944444444	43160	0.979420018709
mitochondria	ABBE_BERN	SILG	4	10	28.7333333333	30.05	43163	0.956184137549
mitochondria	ABBE_BERN	SILR	4	6	30	30.25	43169	0.99173553719
mitochondria	ABBE_BERN	STI	4	16	28.6071428571	29.7410714286	43159	0.961873311318
mitochondria	ABBE_BERN	TIL	4	8	28.3928571429	30	43159	0.946428571429
mitochondria	ABBE_BERN	TULP	4	17	27.176916221	27.9460784314	43170	0.972476917925
mitochondria	ABMU_HOR	BAI	6	10	19.4	20.9	43170	0.928229665072
mitochondria	ABMU_HOR	COM	6	9	25.3333333333	26.7222222222	43170	0.948024948025
mitochondria	ABMU_HOR	CROB	6	10	19.6148148148	21.2037037037	43170	0.925065502183
mitochondria	ABMU_HOR	CROS	6	10	18.4222222222	21.225	43170	0.867949221306
mitochondria	ABMU_HOR	CY_ALA	6	3	19.3333333333	20.5	43161	0.943089430894
mitochondria	ABMU_HOR	CY_BAL	6	3	30.3333333333	31.5	42858	0.962962962963
mitochondria	ABMU_HOR	CY_BGL	6	2	28.3333333333	30.5	43153	0.928961748634
mitochondria	ABMU_HOR	CY_BOU	6	5	16.3333333333	17.5	43166	0.933333333333
mitochondria	ABMU_HOR	CY_CAS	6	5	13.9333333333	22.5	43166	0.619259259259
mitochondria	ABMU_HOR	CY_HICN	6	5	40.1333333333	42.4	43167	0.946540880503
mitochondria	ABMU_HOR	CY_HICS	6	5	16.3333333333	17.5	43169	0.933333333333
mitochondria	ABMU_HOR	CY_HUN	6	4	35	36.1666666667	43158	0.967741935484
mitochondria	ABMU_HOR	CY_SIE	6	4	25.8333333333	37	43170	0.698198198198
mitochondria	ABMU_HOR	CY_WOO	6	5	16.9333333333	18.3	43164	0.925318761384
mitochondria	ABMU_HOR	DAN	6	5	24.3333333333	25.5	42983	0.954248366013
mitochondria	ABMU_HOR	DOV	6	7	19.3333333333	20.5	43170	0.943089430894
mitochondria	ABMU_HOR	DUD	6	8	18.0416666667	19.5833333333	43170	0.921276595745
mitochondria	ABMU_HOR	KIRN	6	9	19.3333333333	20.5	43170	0.943089430894
mitochondria	ABMU_HOR	KIRT	6	10	19.3333333333	20.5	43170	0.943089430894
mitochondria	ABMU_HOR	MALV	6	10	20.3333333333	21.5	43170	0.945736434109
mitochondria	ABMU_HOR	OCO	6	10	36.3111111111	38.5555555556	43161	0.941786743516
mitochondria	ABMU_HOR	QUI1	6	9	16.4166666667	17.8333333333	43167	0.920560747664
mitochondria	ABMU_HOR	QUI2	6	10	21.3333333333	22.5	43043	0.948148148148
mitochondria	ABMU_HOR	QUIN	6	10	21.3333333333	22.5	43028	0.948148148148
mitochondria	ABMU_HOR	RIC	6	10	18.9333333333	20.3	43170	0.932676518883
mitochondria	ABMU_HOR	RSV	6	9	20.4166666667	21.9444444444	43160	0.930379746835
mitochondria	ABMU_HOR	SILG	6	10	20.0666666667	22.3	43163	0.899850523169
mitochondria	ABMU_HOR	SILR	6	6	23.3333333333	24.5	43169	0.952380952381
mitochondria	ABMU_HOR	STI	6	16	19.5654761905	21.6160714286	43159	0.90513561889
mitochondria	ABMU_HOR	TIL	6	8	19.7261904762	22.25	43159	0.88657035848
mitochondria	ABMU_HOR	TULP	6	17	18.5102495544	20.1960784314	43170	0.916526919682
mitochondria	BAI	COM	10	9	10.0666666667	10.6222222222	43181	0.94769874477
mitochondria	BAI	CROB	10	10	8.42222222222	9.17777777778	43181	0.917675544794
mitochondria	BAI	CROS	10	10	6.55555555556	8.525	43181	0.768980123819
mitochondria	BAI	CY_ALA	10	3	8.06666666667	8.4	43167	0.960317460317
mitochondria	BAI	CY_BAL	10	3	30.0666666667	30.4	42867	0.989035087719
mitochondria	BAI	CY_BGL	10	2	27.0666666667	28.9	43162	0.936562860438
mitochondria	BAI	CY_BOU	10	5	5.06666666667	5.4	43172	0.938271604938
mitochondria	BAI	CY_CAS	10	5	6.66666666667	14.4	43172	0.462962962963
mitochondria	BAI	CY_HICN	10	5	40.8666666667	42.3	43172	0.966115051221
mitochondria	BAI	CY_HICS	10	5	5.06666666667	5.4	43176	0.938271604938
mitochondria	BAI	CY_HUN	10	4	34.0666666667	34.4	43168	0.990310077519
mitochondria	BAI	CY_SIE	10	4	24.0666666667	34.65	43177	0.694564694565
mitochondria	BAI	CY_WOO	10	5	5.66666666667	6.2	43170	0.913978494624
mitochondria	BAI	DAN	10	5	11.0666666667	11.4	42994	0.970760233918
mitochondria	BAI	DOV	10	7	6.06666666667	6.4	43181	0.947916666667
mitochondria	BAI	DUD	10	8	5.06666666667	5.775	43181	0.877344877345
mitochondria	BAI	KIRN	10	9	6.06666666667	6.4	43181	0.947916666667
mitochondria	BAI	KIRT	10	10	6.06666666667	6.4	43181	0.947916666667
mitochondria	BAI	MALV	10	10	7.06666666667	7.4	43181	0.954954954955
mitochondria	BAI	OCO	10	10	33.3777777778	34.7888888889	43171	0.959437879272
mitochondria	BAI	QUI1	10	9	5.15	5.73333333333	43174	0.898255813953
mitochondria	BAI	QUI2	10	10	10.0666666667	10.4	43053	0.967948717949
mitochondria	BAI	QUIN	10	10	10.0666666667	10.4	43039	0.967948717949
mitochondria	BAI	RIC	10	10	6.06666666667	6.6	43181	0.919191919192
mitochondria	BAI	RSV	10	9	8.48333333333	9.17777777778	43171	0.924334140436
mitochondria	BAI	SILG	10	10	6.8	8.2	43174	0.829268292683
mitochondria	BAI	SILR	10	6	10.0666666667	10.4	43180	0.967948717949
mitochondria	BAI	STI	10	16	8.67380952381	9.89107142857	43170	0.876933261118
mitochondria	BAI	TIL	10	8	8.45952380952	10.15	43170	0.833450621628
mitochondria	BAI	TULP	10	17	5.00828877005	5.86078431373	43181	0.85454241309
mitochondria	COM	CROB	9	10	10.3555555556	11	43182	0.941414141414
mitochondria	COM	CROS	9	10	8.48888888889	10.3472222222	43182	0.820402684564
mitochondria	COM	CY_ALA	9	3	14	14.2222222222	43167	0.984375
mitochondria	COM	CY_BAL	9	3	32	32.2222222222	42867	0.993103448276
