organelle	population_1	population_2	n_population_1	n_population_2	numerator	denominator	callable_sites_with_at_least_two_calls_per_population	hudson_fst
chloroplast	ABAB_MAD	ABBE_BERN	7	4	516.904761905	537.595238095	101283	0.961512910226
chloroplast	ABAB_MAD	ABMU_HOR	7	6	40.9523809524	59.780952381	101558	0.685040624502
chloroplast	ABAB_MAD	BAI	7	10	450.041269841	472.914285714	101559	0.951633907953
chloroplast	ABAB_MAD	COM	7	9	461.035714286	473.589285714	101560	0.973492703895
chloroplast	ABAB_MAD	CROB	7	10	458.00952381	470.438095238	101557	0.97358085675
chloroplast	ABAB_MAD	CROS	7	10	452.20952381	473.638095238	101563	0.954757500201
chloroplast	ABAB_MAD	CY_ALA	7	3	413.952380952	425.380952381	101432	0.97313332587
chloroplast	ABAB_MAD	CY_BAL	7	3	525.904761905	537.095238095	101155	0.979164819576
chloroplast	ABAB_MAD	CY_BGL	7	2	507.904761905	541.095238095	101280	0.938660564992
chloroplast	ABAB_MAD	CY_BOU	7	5	423.666666667	435.095238095	101556	0.973733172814
chloroplast	ABAB_MAD	CY_CAS	7	5	333.104761905	451.152380952	101352	0.738342023601
chloroplast	ABAB_MAD	CY_HICN	7	5	603.952380952	615.914285714	101282	0.98057862102
chloroplast	ABAB_MAD	CY_HICS	7	5	419.952380952	431.380952381	101551	0.973507009604
chloroplast	ABAB_MAD	CY_HUN	7	4	612.738095238	624.416666667	101258	0.981296829422
chloroplast	ABAB_MAD	CY_SIE	7	4	408.952380952	571.130952381	101480	0.71603960396
chloroplast	ABAB_MAD	CY_WOO	7	5	423.152380952	434.980952381	101469	0.972806691043
chloroplast	ABAB_MAD	DAN	7	5	464.452380952	477.380952381	101542	0.972917705736
chloroplast	ABAB_MAD	DOV	7	7	453.380952381	465.738095238	101546	0.97346761413
chloroplast	ABAB_MAD	DUD	7	8	459.095238095	477.238095238	101564	0.961983636001
chloroplast	ABAB_MAD	KIRN	7	9	457.55952381	470.46031746	101563	0.972578359594
chloroplast	ABAB_MAD	KIRT	7	10	457.80952381	469.238095238	101482	0.975644408362
chloroplast	ABAB_MAD	MALV	7	10	461.542857143	474.038095238	101562	0.973640856672
