organelle	population_1	population_2	n_population_1	n_population_2	numerator	denominator	callable_sites_with_at_least_two_calls_per_population	hudson_fst
mitochondria	ABAB_MAD	ABBE_BERN	4	3	31.5	33.0833333333	43141	0.952141057935
mitochondria	ABAB_MAD	ABMU_HOR	4	6	3.83333333333	6.25	43153	0.613333333333
mitochondria	ABAB_MAD	BAI	4	9	22.5833333333	24.1944444444	43153	0.933409873708
mitochondria	ABAB_MAD	COM	4	9	28.5	29.9722222222	43153	0.950880444856
mitochondria	ABAB_MAD	CROB	4	9	21.2777777778	22.9722222222	43153	0.926239419589
mitochondria	ABAB_MAD	CROS	4	10	20.5888888889	23.35	43153	0.881751130145
mitochondria	ABAB_MAD	CY_ALA	4	3	22.5	23.75	43146	0.947368421053
mitochondria	ABAB_MAD	CY_BAL	4	1	0	0	0	nan
mitochondria	ABAB_MAD	CY_BGL	4	2	31.5	33.75	43141	0.933333333333
mitochondria	ABAB_MAD	CY_BOU	4	4	19.5	20.75	43152	0.939759036145
mitochondria	ABAB_MAD	CY_CAS	4	4	16.5	26.8333333333	43150	0.614906832298
mitochondria	ABAB_MAD	CY_HICN	4	5	43	45.5	43153	0.945054945055
mitochondria	ABAB_MAD	CY_HICS	4	3	19.5	20.75	43147	0.939759036145
mitochondria	ABAB_MAD	CY_SIE	4	4	29	40.25	43153	0.72049689441
mitochondria	ABAB_MAD	CY_WOO	4	2	20.5	21.75	42946	0.942528735632
mitochondria	ABAB_MAD	DAN	4	5	27.5	28.75	42966	0.95652173913
mitochondria	ABAB_MAD	DOV	4	6	22.5	23.75	43153	0.947368421053
mitochondria	ABAB_MAD	DUD	4	7	20.8333333333	22.5595238095	43153	0.923482849604
mitochondria	ABAB_MAD	KIRN	4	9	22.5	23.75	43153	0.947368421053
mitochondria	ABAB_MAD	KIRT	4	10	22.5	23.75	43153	0.947368421053
mitochondria	ABAB_MAD	MALV	4	10	23.5	24.75	43153	0.949494949495
mitochondria	ABAB_MAD	OCO	4	8	38.4761904762	40.7142857143	43144	0.945029239766
mitochondria	ABAB_MAD	QUI1	4	6	19.5666666667	21.0833333333	43152	0.928063241107
mitochondria	ABAB_MAD	QUI2	4	9	24.5	25.75	43009	0.95145631068
mitochondria	ABAB_MAD	QUIN	4	10	24.5	25.75	43009	0.95145631068
mitochondria	ABAB_MAD	RIC	4	10	22.1	23.55	43153	0.938428874735
mitochondria	ABAB_MAD	RSV	4	9	23.5833333333	25.1944444444	43138	0.93605292172
mitochondria	ABAB_MAD	SILG	4	6	23.4333333333	25.85	43146	0.906511927789
mitochondria	ABAB_MAD	SILR	4	6	26.5	27.75	43152	0.954954954955
mitochondria	ABAB_MAD	STI	4	12	23.1666666667	24.8333333333	43138	0.93288590604
mitochondria	ABAB_MAD	TIL	4	6	23.1333333333	25.85	43138	0.894906511928
mitochondria	ABAB_MAD	TULP	4	15	21.7	23.2833333333	43153	0.931997136722
mitochondria	ABBE_BERN	ABMU_HOR	3	6	28.3333333333	29.8333333333	43145	0.949720670391
mitochondria	ABBE_BERN	BAI	3	9	27.0833333333	27.7777777778	43161	0.975
mitochondria	ABBE_BERN	COM	3	9	31	31.5555555556	43161	0.982394366197
mitochondria	ABBE_BERN	CROB	3	9	29.3333333333	30.1111111111	43161	0.974169741697
mitochondria	ABBE_BERN	CROS	3	10	27.4888888889	29.3333333333	43161	0.937121212121
mitochondria	ABBE_BERN	CY_ALA	3	3	25	25.3333333333	43144	0.986842105263
mitochondria	ABBE_BERN	CY_BAL	3	1	0	0	0	nan
mitochondria	ABBE_BERN	CY_BGL	3	2	1.38777878078e-17	1.33333333333	43161	1.04083408559e-17
mitochondria	ABBE_BERN	CY_BOU	3	4	22	22.3333333333	43156	0.985074626866
mitochondria	ABBE_BERN	CY_CAS	3	4	16	25.4166666667	43154	0.629508196721
mitochondria	ABBE_BERN	CY_HICN	3	5	29.5	31.0833333333	43158	0.949061662198
mitochondria	ABBE_BERN	CY_HICS	3	3	22	22.3333333333	43151	0.985074626866
mitochondria	ABBE_BERN	CY_SIE	3	4	19.5	29.8333333333	43158	0.653631284916
mitochondria	ABBE_BERN	CY_WOO	3	2	23	23.3333333333	42950	0.985714285714
