organelle	population	sample_count	sample_ids	pairwise_differences	jointly_callable_sites	pairwise_callable_sites	nucleotide_diversity	haplotype_count	haplotype_diversity	haplotype_assigned_samples	haplotype_ambiguous_samples
mitochondria	ABAB_MAD	4	ABAB_MAD_LP_322_Du-593,ABAB_MAD_LP_324_Du-595,ABAB_MAD_LP_325_Du-596,ABAB_MAD_LP_326_Du-597	15	43133	258798	5.79602624441e-05	1	0	1	3
mitochondria	ABBE_BERN	3	ABBE_BERN_LP_311_Du-780,ABBE_BERN_LP_312_Du-781,ABBE_BERN_LP_314_Du-783	2	43161	129483	1.54460431099e-05	1	0	1	2
mitochondria	ABMU_HOR	6	ABMU_HOR_LP_306_Du-775,ABMU_HOR_LP_308_Du-777,ABMU_HOR_LP_358_Du-770,ABMU_HOR_LP_359_Du-771,ABMU_HOR_LP_360_Du-772,ABMU_HOR_LP_361_Du-773	35	43151	647265	5.40736792504e-05	1	0	1	5
mitochondria	BAI	9	BAI_LP_105_Du-222,BAI_LP_106_Du-223,BAI_LP_108_Du-225,BAI_LP_109_Du-226,BAI_LP_110_Du-227,BAI_LP_111_Du-228,BAI_LP_112_Du-230,BAI_LP_113_Du-231,BAI_LP_114_Du-232	26	43163	1553868	1.67324380192e-05	3	0.638888888889	9	0
mitochondria	COM	9	COM_LP_269_Du-703,COM_LP_270_Du-704,COM_LP_272_Du-707,COM_LP_274_Du-709,COM_LP_276_Du-711,COM_LP_277_Du-712,COM_LP_341_Du-713,COM_LP_342_Du-714,COM_LP_343_Du-715	16	42931	1545516	1.03525295112e-05	1	0	3	6
mitochondria	CROB	9	CROB_LP_170_Du-382,CROB_LP_172_Du-384,CROB_LP_173_Du-385,CROB_LP_174_Du-386,CROB_LP_175_Du-387,CROB_LP_176_Du-388,CROB_LP_177_Du-389,CROB_LP_320_Du-395,CROB_LP_321_Du-396	32	43177	1554372	2.05870924077e-05	2	0.222222222222	9	0
mitochondria	CROS	10	CROS_LP_085_Du-181,CROS_LP_086_Du-182,CROS_LP_087_Du-183,CROS_LP_088_Du-184,CROS_LP_089_Du-185,CROS_LP_090_Du-186,CROS_LP_091_Du-187,CROS_LP_092_Du-188,CROS_LP_093_Du-189,CROS_LP_094_Du-190	136	43175	1942875	6.99993566236e-05	4	0.711111111111	10	0
mitochondria	CY_ALA	3	CY_ALA_LP_298-Du-767,CY_ALA_LP_299-Du-768,CY_ALA_LP_357_Du-769	0	43152	129456	0	1	0	3	0
mitochondria	CY_BAL	1	CY_BAL_LP_226_Du-602	0	42873	0	nan	0	nan	0	1
mitochondria	CY_BGL	2	CY_BGL_LP_210_Du-577,CY_BGL_LP_212_Du-579	3	43162	43162	6.95055836152e-05	2	1	2	0
mitochondria	CY_BOU	4	CY_BOU_LP_290_Du-739,CY_BOU_LP_291_Du-740,CY_BOU_LP_292_Du-741,CY_BOU_LP_354_Du-742	0	43165	258990	0	1	0	4	0
mitochondria	CY_CAS	4	CY_CAS_LP_328_Du-610,CY_CAS_LP_329_Du-611,CY_CAS_LP_331_Du-608,CY_CAS_LP_332_Du-609	105	42190	253140	0.000414790234653	1	0	2	2
mitochondria	CY_HICN	5	CY_HICN_LP_236_Du-614,CY_HICN_LP_333_Du-612,CY_HICN_LP_334_Du-613,CY_HICN_LP_335_Du-615,CY_HICN_LP_336_Du-616	0	42853	428530	0	0	nan	0	5
mitochondria	CY_HICS	3	CY_HICS_LP_293_Du-757,CY_HICS_LP_355_Du-762,CY_HICS_LP_356_Du-763	0	42593	127779	0	1	0	2	1
mitochondria	CY_SIE	4	CY_SIE_LP_188_Du-445,CY_SIE_LP_189_Du-446,CY_SIE_LP_190_Du-447,CY_SIE_LP_191_Du-448	117	43160	258960	0.000451807228916	2	1	2	2
mitochondria	CY_WOO	2	CY_WOO_LP_262_Du-668,CY_WOO_LP_263_Du-669	0	42963	42963	0	1	0	2	0
mitochondria	DAN	5	DAN_LP_043_Du-68,DAN_LP_044_Du-69,DAN_LP_045_Du-70,DAN_LP_046_Du-71,DAN_LP_047_Du-72	0	42692	426920	0	0	nan	0	5
mitochondria	DOV	6	DOV_LP_079_Du-175,DOV_LP_080_Du-176,DOV_LP_081_Du-177,DOV_LP_082_Du-178,DOV_LP_083_Du-179,DOV_LP_084_Du-180	0	43169	647535	0	1	0	6	0
mitochondria	DUD	7	DUD_LP_132_Du-283,DUD_LP_133_Du-284,DUD_LP_134_Du-285,DUD_LP_135_Du-286,DUD_LP_136_Du-287,DUD_LP_137_Du-288,DUD_LP_138_Du-289	6	40308	846468	7.08827740682e-06	1	0	5	2
mitochondria	KIRN	9	KIRN_LP_179_Du-421,KIRN_LP_180_Du-422,KIRN_LP_181_Du-423,KIRN_LP_182_Du-424,KIRN_LP_183_Du-425,KIRN_LP_184_Du-426,KIRN_LP_185_Du-427,KIRN_LP_186_Du-428,KIRN_LP_187_Du-429	0	43176	1554336	0	1	0	9	0
mitochondria	KIRT	10	KIRT_LP_159_Du-364,KIRT_LP_160_Du-365,KIRT_LP_161_Du-366,KIRT_LP_162_Du-367,KIRT_LP_163_Du-368,KIRT_LP_164_Du-369,KIRT_LP_165_Du-370,KIRT_LP_166_Du-371,KIRT_LP_167_Du-372,KIRT_LP_168_Du-373	0	38601	1737045	0	1	0	8	2
mitochondria	MALV	10	MALV_LP_095_Du-201,MALV_LP_096_Du-202,MALV_LP_097_Du-203,MALV_LP_098_Du-204,MALV_LP_099_Du-205,MALV_LP_100_Du-206,MALV_LP_101_Du-207,MALV_LP_102_Du-208,MALV_LP_103_Du-209,MALV_LP_104_Du-210	0	43181	1943145	0	1	0	10	0
mitochondria	OCO	8	OCO_LP_058_Du-115,OCO_LP_059_Du-106,OCO_LP_060_Du-107,OCO_LP_061_Du-108,OCO_LP_062_Du-109,OCO_LP_063_Du-110,OCO_LP_064_Du-111,OCO_LP_065_Du-112	42	41035	1148980	3.6554161082e-05	2	1	2	6
mitochondria	QUI1	6	QUI1_LP_249_Du-648,QUI1_LP_250_Du-649,QUI1_LP_252_Du-651,QUI1_LP_253_Du-652,QUI1_LP_255_Du-654,QUI1_LP_258_Du-657	8	43161	647415	1.23568344879e-05	2	0.533333333333	6	0
mitochondria	QUI2	9	QUI2_LP_243_Du-631,QUI2_LP_244_Du-632,QUI2_LP_245_Du-633,QUI2_LP_246_Du-634,QUI2_LP_247_Du-635,QUI2_LP_248_Du-636,QUI2_LP_337_Du-638,QUI2_LP_339_Du-640,QUI2_LP_340_Du-641	0	41640	1499040	0	1	0	8	1
mitochondria	QUIN	10	QUIN_LP_069_Du-155,QUIN_LP_070_Du-156,QUIN_LP_071_Du-157,QUIN_LP_072_Du-158,QUIN_LP_073_Du-159,QUIN_LP_074_Du-160,QUIN_LP_075_Du-161,QUIN_LP_076_Du-162,QUIN_LP_077_Du-163,QUIN_LP_318_Du-164	0	42853	1928385	0	1	0	10	0
mitochondria	RIC	10	RIC_LP_192_Du-521,RIC_LP_193_Du-522,RIC_LP_194_Du-523,RIC_LP_195_Du-524,RIC_LP_196_Du-525,RIC_LP_197_Du-526,RIC_LP_198_Du-527,RIC_LP_199_Du-528,RIC_LP_200_Du-529,RIC_LP_201_Du-530	18	43091	1939095	9.28268083823e-06	1	0	9	1
mitochondria	RSV	9	RSV_LP_049_Du-85,RSV_LP_050_Du-87,RSV_LP_051_Du-88,RSV_LP_052_Du-89,RSV_LP_053_Du-90,RSV_LP_055_Du-92,RSV_LP_057_Du-94,RSV_LP_315_Du-95,RSV_LP_316_Du-96	26	42270	1521720	1.70859290803e-05	3	0.666666666667	7	2
mitochondria	SILG	6	SILG_LP_150_Du-344,SILG_LP_151_Du-345,SILG_LP_152_Du-346,SILG_LP_154_Du-348,SILG_LP_155_Du-349,SILG_LP_156_Du-350	16	41944	629160	2.54307330409e-05	2	1	2	4
mitochondria	SILR	6	SILR_LP_346_Du-729,SILR_LP_347_Du-730,SILR_LP_348_Du-731,SILR_LP_349_Du-732,SILR_LP_351_Du-734,SILR_LP_353_Du-736	0	43175	647625	0	1	0	1	5
mitochondria	STI	12	STI_LP_028_Du-46,STI_LP_030_Du-48,STI_LP_031_Du-49,STI_LP_032_Du-50,STI_LP_034_Du-52,STI_LP_035_Du-53,STI_LP_036_Du-54,STI_LP_037_Du-55,STI_LP_038_Du-56,STI_LP_039_Du-57,STI_LP_041_Du-60,STI_LP_042_Du-61	55	42395	2798070	1.96564060227e-05	2	0.222222222222	9	3
