sample_1	sample_2	mash_distance	p_value	shared_hashes	calibrated_candidate	interpretation
ABAB_MAD_LP_222_Du-589	ABAB_MAD_LP_223_Du-590	0.143623	0	586/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_222_Du-589	ABAB_MAD_LP_322_Du-593	0.191315	0	133/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_222_Du-589	ABAB_MAD_LP_323_Du-594	0.155402	0	406/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_222_Du-589	ABAB_MAD_LP_324_Du-595	0.185563	0	159/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_222_Du-589	ABAB_MAD_LP_325_Du-596	0.189433	0	141/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_222_Du-589	ABAB_MAD_LP_326_Du-597	0.18744	0	150/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_222_Du-589	ABAB_MAD_LP_327_Du-598	0.155961	0	399/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_222_Du-589	ABBE_BERN_LP_311_Du-780	0.255793	2.75005e-160	18/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_222_Du-589	ABBE_BERN_LP_312_Du-781	0.271677	3.54922e-96	11/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_222_Du-589	ABBE_BERN_LP_313_Du-782	0.254049	1.48008e-169	19/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_222_Du-589	ABBE_BERN_LP_314_Du-783	0.259592	7.90604e-142	16/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_222_Du-589	ABMU_HOR_LP_306_Du-775	0.254049	1.49209e-169	19/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_222_Du-589	ABMU_HOR_LP_308_Du-777	0.250821	3.77848e-188	21/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_222_Du-589	ABMU_HOR_LP_358_Du-770	0.240412	2.78703e-263	29/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_222_Du-589	ABMU_HOR_LP_359_Du-771	0.246515	3.40867e-216	24/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_222_Du-589	ABMU_HOR_LP_360_Du-772	0.245198	1.40545e-225	25/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_222_Du-589	ABMU_HOR_LP_361_Du-773	0.241544	7.81613e-254	28/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_222_Du-589	BAI_LP_105_Du-222	0.249321	1.75479e-197	22/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_222_Du-589	BAI_LP_106_Du-223	0.254049	1.48637e-169	19/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_222_Du-589	BAI_LP_108_Du-225	0.239319	9.1815e-273	30/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_222_Du-589	BAI_LP_109_Du-226	0.249321	1.7528e-197	22/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_222_Du-589	BAI_LP_110_Du-227	0.252395	7.66488e-179	20/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_222_Du-589	BAI_LP_111_Du-228	0.249321	1.75348e-197	22/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_222_Du-589	BAI_LP_112_Du-230	0.235283	9.06744e-311	34/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_222_Du-589	BAI_LP_113_Du-231	0.249321	1.76163e-197	22/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_222_Du-589	BAI_LP_114_Du-232	0.242716	2.0597e-244	27/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_222_Du-589	BAI_LP_319_Du-233	0.222208	0	51/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_222_Du-589	COM_LP_269_Du-703	0.249321	1.75815e-197	22/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_222_Du-589	COM_LP_270_Du-704	0.237237	9.96268e-292	32/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_222_Du-589	COM_LP_272_Du-707	0.250821	3.75909e-188	21/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_222_Du-589	COM_LP_274_Du-709	0.246515	3.37712e-216	24/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_222_Du-589	COM_LP_276_Du-711	0.249321	1.76477e-197	22/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_222_Du-589	COM_LP_277_Du-712	0.249321	1.76375e-197	22/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_222_Du-589	COM_LP_341_Du-713	0.247888	7.8705e-207	23/100000	no	not_flagged_negative_screen_not_proof
