query_genome	feature_type	gene	name	product	query_start	query_end	strand	method	confidence	pident	query_coverage	aligned_length	evalue	bitscore	ref_accession	ref_description	ref_start	ref_end
chloroplast	gene	trnR-UCU	trnR-UCU		1	42	+	blastn_feature_transfer	low	100.0	0.583	42	6.32e-17	77.0	PX244394.1	Dudleya sp. T72600-1 chloroplast, complete genome	11411	11482
chloroplast	tRNA	trnR-UCU	trnR-UCU	tRNA-Arg	1	42	+	blastn_feature_transfer	low	100.0	0.583	42	6.32e-17	77.0	PX244394.1	Dudleya sp. T72600-1 chloroplast, complete genome	11411	11482
chloroplast	gene	atpA	atpA		100	1618	-	blastn_feature_transfer	medium	88.545	0.997	1519	0.0	1956.0	PX244394.1	Dudleya sp. T72600-1 chloroplast, complete genome	11948	13471
chloroplast	CDS	atpA	atpA	ATP synthase CF1 alpha subunit	100	1618	-	blastn_feature_transfer	medium	88.545	0.997	1519	0.0	1956.0	PX244394.1	Dudleya sp. T72600-1 chloroplast, complete genome	11948	13471
chloroplast	gene	atpA	atpA		100	1623	-	blastn_feature_transfer	high	99.672	1.0	1524	0.0	2727.0	PX244389.1	Dudleya virens chloroplast, complete genome	10447	11970
chloroplast	CDS	atpA	atpA	ATP synthase CF1 alpha subunit	100	1623	-	blastn_feature_transfer	high	99.672	1.0	1524	0.0	2727.0	PX244389.1	Dudleya virens chloroplast, complete genome	10447	11970
chloroplast	CDS	atpA	atpA	ATP synthase CF1 alpha subunit	106	1623	-	tblastn_protein_transfer	high	92.095	0.998	506	0.0	945.0	PX244394.1	Dudleya sp. T72600-1 chloroplast, complete genome	11948	13471
chloroplast	CDS	atpA	atpA	ATP synthase CF1 alpha subunit	142	1623	-	tblastn_protein_transfer	high	99.798	0.974	494	0.0	955.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	10428	11951
chloroplast	CDS	atpF	atpF	ATP synthase CF0 subunit b	1682	2092	-	blastn_feature_transfer	medium	98.783	0.741	411	0.0	719.0	PX244389.1	Dudleya virens chloroplast, complete genome	12029	13317
chloroplast	gene	atpF	atpF		1682	2968	-	blastn_feature_transfer	high	99.456	1.0	1287	0.0	2290.0	PX244391.1	Dudleya lanceolata chloroplast, complete genome	12008	13294
chloroplast	CDS	atpF	atpF	ATP synthase CF0 subunit b	1685	2071	-	tblastn_protein_transfer	medium	83.721	0.701	129	3.56e-69	221.0	PX244392.1	Dudleya greenei chloroplast, complete genome	11668	12914
chloroplast	CDS	atpF	atpF	ATP synthase CF0 subunit b	1685	2158	-	tblastn_protein_transfer	high	86.076	0.859	158	1.56e-84	265.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	12010	13295
chloroplast	gene	atpH	atpH		3358	3603	-	blastn_feature_transfer	high	99.593	1.0	246	1.99e-125	440.0	PX244389.1	Dudleya virens chloroplast, complete genome	13708	13953
chloroplast	CDS	atpH	atpH	ATP synthase CF0 subunit III	3358	3603	-	blastn_feature_transfer	high	99.593	1.0	246	1.99e-125	440.0	PX244389.1	Dudleya virens chloroplast, complete genome	13708	13953
chloroplast	CDS	atpH	atpH	ATP synthase CF0 subunit III	3361	3603	-	tblastn_protein_transfer	high	98.765	1.0	81	1.05e-46	151.0	PX244392.1	Dudleya greenei chloroplast, complete genome	13278	13523
chloroplast	gene	atpI	atpI		4279	5013	-	blastn_feature_transfer	high	99.728	1.0	735	0.0	1317.0	PX244389.1	Dudleya virens chloroplast, complete genome	14633	15367
chloroplast	CDS	atpI	atpI	ATP synthase CF0 subunit a	4279	5013	-	blastn_feature_transfer	high	99.728	1.0	735	0.0	1317.0	PX244389.1	Dudleya virens chloroplast, complete genome	14633	15367
chloroplast	gene	atpI	atpI		4281	5013	-	blastn_feature_transfer	medium	87.197	0.997	742	0.0	914.0	PX244394.1	Dudleya sp. T72600-1 chloroplast, complete genome	16129	16872
chloroplast	CDS	atpI	atpI	ATP synthase CF0 subunit a	4281	5013	-	blastn_feature_transfer	medium	87.197	0.997	742	0.0	914.0	PX244394.1	Dudleya sp. T72600-1 chloroplast, complete genome	16129	16872
chloroplast	CDS	atpI	atpI	ATP synthase CF0 subunit a	4282	5013	-	tblastn_protein_transfer	high	99.59	1.0	244	2.06e-137	419.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	14606	15340
chloroplast	gene	rps2	rps2		5204	5914	-	blastn_feature_transfer	high	99.297	1.0	711	0.0	1260.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	15531	16241
chloroplast	CDS	rps2	rps2	ribosomal protein S2	5204	5914	-	blastn_feature_transfer	high	99.297	1.0	711	0.0	1260.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	15531	16241
chloroplast	CDS	rps2	rps2	ribosomal protein S2	5207	5914	-	tblastn_protein_transfer	high	91.949	1.0	236	3.24e-147	447.0	PX244394.1	Dudleya sp. T72600-1 chloroplast, complete genome	17079	17789
chloroplast	gene	rpoC2	rpoC2		6164	10303	-	blastn_feature_transfer	medium	82.592	1.008	4205	0.0	4272.0	PX244392.1	Dudleya greenei chloroplast, complete genome	16403	20575
chloroplast	CDS	rpoC2	rpoC2	RNA polymerase beta'' subunit	6164	10303	-	blastn_feature_transfer	medium	82.592	1.008	4205	0.0	4272.0	PX244392.1	Dudleya greenei chloroplast, complete genome	16403	20575
chloroplast	CDS	rpoC2	rpoC2	RNA polymerase beta'' subunit	6170	10303	-	tblastn_protein_transfer	medium	76.774	1.004	1395	0.0	2083.0	PX244392.1	Dudleya greenei chloroplast, complete genome	16403	20575
chloroplast	CDS	rpoC2	rpoC2	RNA polymerase beta'' subunit	6191	10303	-	tblastn_protein_transfer	medium	75.199	1.013	1383	0.0	2002.0	PX244394.1	Dudleya sp. T72600-1 chloroplast, complete genome	18014	22111
chloroplast	gene	rpoC2	rpoC2		6193	10303	-	blastn_feature_transfer	medium	82.718	1.011	4143	0.0	4246.0	PX244394.1	Dudleya sp. T72600-1 chloroplast, complete genome	18014	22111
chloroplast	CDS	rpoC2	rpoC2	RNA polymerase beta'' subunit	6193	10303	-	blastn_feature_transfer	medium	82.718	1.011	4143	0.0	4246.0	PX244394.1	Dudleya sp. T72600-1 chloroplast, complete genome	18014	22111
chloroplast	gene	rpoC2	rpoC2		6224	10315	-	blastn_feature_transfer	high	99.56	1.0	4092	0.0	7299.0	PX244389.1	Dudleya virens chloroplast, complete genome	16578	20669
chloroplast	CDS	rpoC2	rpoC2	RNA polymerase beta'' subunit	6224	10315	-	blastn_feature_transfer	high	99.56	1.0	4092	0.0	7299.0	PX244389.1	Dudleya virens chloroplast, complete genome	16578	20669
chloroplast	CDS	rpoC2	rpoC2	RNA polymerase beta'' subunit	6227	10315	-	tblastn_protein_transfer	high	99.266	1.0	1363	0.0	2739.0	PX244389.1	Dudleya virens chloroplast, complete genome	16578	20669
chloroplast	CDS	rpoC1	rpoC1	RNA polymerase beta' subunit	10476	12094	-	blastn_feature_transfer	medium	99.753	0.79	1619	0.0	2902.0	PX244389.1	Dudleya virens chloroplast, complete genome	20830	23617
chloroplast	CDS	rpoC1	rpoC1	RNA polymerase beta' subunit	10476	12101	-	blastn_feature_transfer	medium	99.569	0.789	1626	0.0	2902.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	20803	23603
chloroplast	gene	rpoC1	rpoC1		10476	13265	-	blastn_feature_transfer	high	99.57	1.001	2790	0.0	4975.0	PX244389.1	Dudleya virens chloroplast, complete genome	20830	23617
chloroplast	CDS	rpoC1	rpoC1	RNA polymerase beta' subunit	10479	12101	-	tblastn_protein_transfer	medium	99.261	0.789	541	0.0	1073.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	20803	23603
chloroplast	gene	rpoB	rpoB		13302	16513	-	blastn_feature_transfer	high	99.782	1.0	3213	0.0	5760.0	NC_085682.1	Dudleya farinosa chloroplast, complete genome	23642	26854
chloroplast	CDS	rpoB	rpoB	RNA polymerase beta subunit	13302	16513	-	blastn_feature_transfer	high	99.782	1.0	3213	0.0	5760.0	NC_085682.1	Dudleya farinosa chloroplast, complete genome	23642	26854
chloroplast	CDS	rpoB	rpoB	RNA polymerase beta subunit	13305	16052	-	tblastn_protein_transfer	high	99.563	0.856	916	0.0	1882.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	23640	26852
chloroplast	gene	trnC-GCA	trnC-GCA		17637	17715	+	blastn_feature_transfer	high	100.0	1.0	79	5.84e-37	143.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	27976	28054
chloroplast	tRNA	trnC-GCA	trnC-GCA	tRNA-Cys	17637	17715	+	blastn_feature_transfer	high	100.0	1.0	79	5.84e-37	143.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	27976	28054
chloroplast	CDS	petN	petN	cytochrome b6-f complex subunit VIII	18557	18643	+	tblastn_protein_transfer	high	100.0	1.0	29	4.01e-14	55.8	PX244394.1	Dudleya sp. T72600-1 chloroplast, complete genome	30710	30799
chloroplast	gene	petN	petN		18557	18645	+	blastn_feature_transfer	high	95.506	0.989	89	6.88e-37	143.0	PX244394.1	Dudleya sp. T72600-1 chloroplast, complete genome	30710	30799
chloroplast	CDS	petN	petN	cytochrome b6-f complex subunit VIII	18557	18645	+	blastn_feature_transfer	high	95.506	0.989	89	6.88e-37	143.0	PX244394.1	Dudleya sp. T72600-1 chloroplast, complete genome	30710	30799
chloroplast	gene	petN	petN		18557	18646	+	blastn_feature_transfer	high	100.0	1.0	90	7.34e-43	163.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	28896	28985
chloroplast	CDS	petN	petN	cytochrome b6-f complex subunit VIII	18557	18646	+	blastn_feature_transfer	high	100.0	1.0	90	7.34e-43	163.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	28896	28985
chloroplast	gene	psbM	psbM		19448	19552	-	blastn_feature_transfer	high	100.0	1.0	105	6.29e-51	190.0	PX244389.1	Dudleya virens chloroplast, complete genome	29803	29907
chloroplast	CDS	psbM	psbM	photosystem II reaction center protein M	19448	19552	-	blastn_feature_transfer	high	100.0	1.0	105	6.29e-51	190.0	PX244389.1	Dudleya virens chloroplast, complete genome	29803	29907
chloroplast	CDS	psbM	psbM	photosystem II reaction center protein M	19451	19552	-	tblastn_protein_transfer	high	100.0	1.0	34	1.80e-17	65.9	PX244393.1	Dudleya candelabrum chloroplast, complete genome	29780	29884
chloroplast	gene	trnD-GUC	trnD-GUC		20497	20570	-	blastn_feature_transfer	high	100.0	1.0	74	2.78e-34	134.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	30833	30906
chloroplast	tRNA	trnD-GUC	trnD-GUC	tRNA-Asp	20497	20570	-	blastn_feature_transfer	high	100.0	1.0	74	2.78e-34	134.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	30833	30906
chloroplast	gene	trnY-GUA	trnY-GUA		20872	20955	-	blastn_feature_transfer	high	100.0	1.0	84	1.22e-39	152.0	PX244394.1	Dudleya sp. T72600-1 chloroplast, complete genome	33558	33641
chloroplast	tRNA	trnY-GUA	trnY-GUA	tRNA-Tyr	20872	20955	-	blastn_feature_transfer	high	100.0	1.0	84	1.22e-39	152.0	PX244394.1	Dudleya sp. T72600-1 chloroplast, complete genome	33558	33641
chloroplast	gene	trnE-UUC	trnE-UUC		21015	21087	-	blastn_feature_transfer	high	100.0	1.0	73	9.54e-34	132.0	PX244394.1	Dudleya sp. T72600-1 chloroplast, complete genome	33706	33778
chloroplast	tRNA	trnE-UUC	trnE-UUC	tRNA-Glu	21015	21087	-	blastn_feature_transfer	high	100.0	1.0	73	9.54e-34	132.0	PX244394.1	Dudleya sp. T72600-1 chloroplast, complete genome	33706	33778
chloroplast	gene	trnT-GGU	trnT-GGU		21470	21541	+	blastn_feature_transfer	high	100.0	1.0	72	3.27e-33	131.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	31805	31876
chloroplast	tRNA	trnT-GGU	trnT-GGU	tRNA-Thr	21470	21541	+	blastn_feature_transfer	high	100.0	1.0	72	3.27e-33	131.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	31805	31876
chloroplast	CDS	psbD	psbD	photosystem II P680 reaction center D2 protein	22220	23278	+	tblastn_protein_transfer	high	99.433	1.0	353	0.0	692.0	PX244394.1	Dudleya sp. T72600-1 chloroplast, complete genome	36383	37444
chloroplast	gene	psbD	psbD		22220	23281	+	blastn_feature_transfer	high	99.906	1.0	1062	0.0	1911.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	32611	33672
chloroplast	CDS	psbD	psbD	photosystem II P680 reaction center D2 protein	22220	23281	+	blastn_feature_transfer	high	99.906	1.0	1062	0.0	1911.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	32611	33672
chloroplast	CDS	psbA	psbA	photosystem II P680 reaction center D1 protein	22247	23116	+	tblastn_protein_transfer	weak	30.537	0.844	298	2.47e-36	133.0	PX244394.1	Dudleya sp. T72600-1 chloroplast, complete genome	281	1342
chloroplast	CDS	psbA	psbA	photosystem II P680 reaction center D1 protein	22295	23116	+	tblastn_protein_transfer	weak	31.673	0.796	281	3.28e-36	132.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	345	1406
chloroplast	CDS	psbC	psbC	photosystem II CP43 chlorophyll apoprotein	23229	24647	+	tblastn_protein_transfer	high	100.0	1.0	473	0.0	864.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	33620	35041
chloroplast	gene	psbC	psbC		23229	24650	+	blastn_feature_transfer	high	99.93	1.0	1422	0.0	2561.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	33620	35041
chloroplast	CDS	psbC	psbC	photosystem II CP43 chlorophyll apoprotein	23229	24650	+	blastn_feature_transfer	high	99.93	1.0	1422	0.0	2561.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	33620	35041
chloroplast	CDS	psbC	psbC	photosystem II CP43 chlorophyll apoprotein	23265	24647	+	tblastn_protein_transfer	high	97.614	1.0	461	0.0	825.0	PX244394.1	Dudleya sp. T72600-1 chloroplast, complete genome	37428	38813
chloroplast	gene	psbC	psbC		23265	24650	+	blastn_feature_transfer	high	91.919	1.0	1386	0.0	1995.0	PX244394.1	Dudleya sp. T72600-1 chloroplast, complete genome	37428	38813
chloroplast	CDS	psbC	psbC	photosystem II CP43 chlorophyll apoprotein	23265	24650	+	blastn_feature_transfer	high	91.919	1.0	1386	0.0	1995.0	PX244394.1	Dudleya sp. T72600-1 chloroplast, complete genome	37428	38813
chloroplast	gene	trnS-UGA	trnS-UGA		24836	24928	-	blastn_feature_transfer	high	100.0	1.0	93	1.80e-44	168.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	35220	35312
chloroplast	tRNA	trnS-UGA	trnS-UGA	tRNA-Ser	24836	24928	-	blastn_feature_transfer	high	100.0	1.0	93	1.80e-44	168.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	35220	35312
chloroplast	gene	trnS-UGA	trnS-UGA		24875	24928	-	blastn_feature_transfer	high	98.148	1.0	54	5.68e-22	94.2	PX244394.1	Dudleya sp. T72600-1 chloroplast, complete genome	39099	39152
chloroplast	tRNA	trnS-UGA	trnS-UGA	tRNA-Ser	24875	24928	-	blastn_feature_transfer	high	98.148	1.0	54	5.68e-22	94.2	PX244394.1	Dudleya sp. T72600-1 chloroplast, complete genome	39099	39152
chloroplast	CDS	lhbA	lhbA	LhbA	25233	25418	+	tblastn_protein_transfer	high	100.0	1.0	62	1.81e-34	115.0	NC_085682.1	Dudleya farinosa chloroplast, complete genome	36029	36217
chloroplast	CDS	psbZ	psbZ	photosystem II reaction center protein Z	25233	25418	+	tblastn_protein_transfer	high	100.0	1.0	62	1.81e-34	115.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	35618	35806
chloroplast	gene	lhbA	lhbA		25233	25421	+	blastn_feature_transfer	high	100.0	1.0	189	3.10e-96	342.0	NC_085682.1	Dudleya farinosa chloroplast, complete genome	36029	36217
chloroplast	CDS	lhbA	lhbA	LhbA	25233	25421	+	blastn_feature_transfer	high	100.0	1.0	189	3.10e-96	342.0	NC_085682.1	Dudleya farinosa chloroplast, complete genome	36029	36217
chloroplast	gene	psbZ	psbZ		25233	25421	+	blastn_feature_transfer	high	100.0	1.0	189	3.10e-96	342.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	35618	35806
chloroplast	CDS	psbZ	psbZ	photosystem II reaction center protein Z	25233	25421	+	blastn_feature_transfer	high	100.0	1.0	189	3.10e-96	342.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	35618	35806
chloroplast	gene	trnG-UCC	trnG-UCC		26077	26146	+	blastn_feature_transfer	high	97.143	1.0	70	1.99e-29	118.0	PX244394.1	Dudleya sp. T72600-1 chloroplast, complete genome	40032	40101
chloroplast	tRNA	trnG-UCC	trnG-UCC	tRNA-Gly	26077	26146	+	blastn_feature_transfer	high	97.143	1.0	70	1.99e-29	118.0	PX244394.1	Dudleya sp. T72600-1 chloroplast, complete genome	40032	40101
chloroplast	gene	trnG-UCC	trnG-UCC		26077	26147	+	blastn_feature_transfer	high	100.0	1.0	71	1.12e-32	129.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	36477	36547
chloroplast	tRNA	trnG-UCC	trnG-UCC	tRNA-Gly	26077	26147	+	blastn_feature_transfer	high	100.0	1.0	71	1.12e-32	129.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	36477	36547
chloroplast	gene	trnfM-CAU	trnfM-CAU		26285	26358	-	blastn_feature_transfer	high	100.0	1.0	74	2.78e-34	134.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	36685	36758
chloroplast	tRNA	trnfM-CAU	trnfM-CAU	tRNA-fMet	26285	26358	-	blastn_feature_transfer	high	100.0	1.0	74	2.78e-34	134.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	36685	36758
chloroplast	gene	trnfM-CAU	trnfM-CAU		26286	26358	-	blastn_feature_transfer	high	98.63	1.0	73	4.06e-32	128.0	PX244394.1	Dudleya sp. T72600-1 chloroplast, complete genome	40270	40342
chloroplast	tRNA	trnfM-CAU	trnfM-CAU	tRNA-fMet	26286	26358	-	blastn_feature_transfer	high	98.63	1.0	73	4.06e-32	128.0	PX244394.1	Dudleya sp. T72600-1 chloroplast, complete genome	40270	40342
chloroplast	gene	rps14	rps14		26521	26823	-	blastn_feature_transfer	high	99.34	1.0	303	3.46e-155	538.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	36921	37223
chloroplast	CDS	rps14	rps14	ribosomal protein S14	26521	26823	-	blastn_feature_transfer	high	99.34	1.0	303	3.46e-155	538.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	36921	37223
chloroplast	CDS	rps14	rps14	ribosomal protein S14	26524	26823	-	tblastn_protein_transfer	high	99.0	1.0	100	9.48e-65	204.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	36921	37223
chloroplast	gene	psaB	psaB		26938	29142	-	blastn_feature_transfer	high	99.909	1.0	2205	0.0	3968.0	PX244389.1	Dudleya virens chloroplast, complete genome	37313	39517
chloroplast	CDS	psaB	psaB	photosystem I P700 chlorophyll a apoprotein A2	26938	29142	-	blastn_feature_transfer	high	99.909	1.0	2205	0.0	3968.0	PX244389.1	Dudleya virens chloroplast, complete genome	37313	39517
chloroplast	CDS	psaB	psaB	photosystem I P700 chlorophyll a apoprotein A2	26941	29142	-	tblastn_protein_transfer	high	99.864	1.0	734	0.0	1425.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	37338	39542
chloroplast	CDS	psaA	psaA	photosystem I P700 chlorophyll a apoprotein A1	26962	29121	-	tblastn_protein_transfer	low	45.319	0.983	737	3.60e-180	565.0	PX244392.1	Dudleya greenei chloroplast, complete genome	39175	41427
chloroplast	CDS	psaA	psaA	photosystem I P700 chlorophyll a apoprotein A1	26962	29133	-	tblastn_protein_transfer	low	45.614	0.988	741	0.0	571.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	39568	41820
chloroplast	gene	psaA	psaA		29168	31420	-	blastn_feature_transfer	high	99.911	1.0	2253	0.0	4055.0	PX244389.1	Dudleya virens chloroplast, complete genome	39543	41795
chloroplast	CDS	psaA	psaA	photosystem I P700 chlorophyll a apoprotein A1	29168	31420	-	blastn_feature_transfer	high	99.911	1.0	2253	0.0	4055.0	PX244389.1	Dudleya virens chloroplast, complete genome	39543	41795
chloroplast	CDS	psaA	psaA	photosystem I P700 chlorophyll a apoprotein A1	29171	31420	-	tblastn_protein_transfer	high	99.867	1.0	750	0.0	1447.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	39568	41820
chloroplast	CDS	psaB	psaB	photosystem I P700 chlorophyll a apoprotein A2	29189	31327	-	tblastn_protein_transfer	low	45.935	1.005	738	1.49e-177	557.0	PX244392.1	Dudleya greenei chloroplast, complete genome	36945	39149
chloroplast	CDS	psaB	psaB	photosystem I P700 chlorophyll a apoprotein A2	29189	31339	-	tblastn_protein_transfer	low	46.226	1.011	742	3.64e-179	562.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	37338	39542
chloroplast	gene	pafI	pafI		32057	34016	-	blastn_feature_transfer	high	99.439	1.002	1960	0.0	3484.0	PX244389.1	Dudleya virens chloroplast, complete genome	42432	44388
chloroplast	gene	ycf3	ycf3		32057	34016	-	blastn_feature_transfer	high	99.185	1.003	1964	0.0	3470.0	NC_085682.1	Dudleya farinosa chloroplast, complete genome	42856	44814
chloroplast	CDS	pafI	pafI	Photosystem I assembly protein Ycf3	32954	33181	-	blastn_feature_transfer	weak	91.228	0.45	228	8.27e-90	322.0	PX244394.1	Dudleya sp. T72600-1 chloroplast, complete genome	46112	48115
chloroplast	CDS	pafI	pafI	Photosystem I assembly protein Ycf3	32954	33181	-	tblastn_protein_transfer	weak	100.0	0.45	76	1.44e-48	161.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	42445	44402
chloroplast	CDS	ycf3	ycf3	hypothetical chloroplast RF34	32954	33181	-	tblastn_protein_transfer	weak	100.0	0.45	76	1.44e-48	161.0	NC_085682.1	Dudleya farinosa chloroplast, complete genome	42856	44814
chloroplast	CDS	pafI	pafI	Photosystem I assembly protein Ycf3	32954	33182	-	blastn_feature_transfer	weak	100.0	0.449	229	1.71e-117	414.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	42445	44402
chloroplast	CDS	ycf3	ycf3	hypothetical chloroplast RF34	32954	33182	-	blastn_feature_transfer	weak	100.0	0.449	229	1.71e-117	414.0	NC_085682.1	Dudleya farinosa chloroplast, complete genome	42856	44814
chloroplast	CDS	pafI	pafI	Photosystem I assembly protein Ycf3	32954	33183	-	blastn_feature_transfer	low	94.783	0.454	230	9.43e-102	361.0	PX244392.1	Dudleya greenei chloroplast, complete genome	42153	44084
