sample_id	reference_length	callable_bases	callable_fraction	reference_matches	nonreference_bases	callable_reference_identity
ABAB_MAD_LP_223_Du-590	243359	42555	0.174865116967	42533	22	0.999483021972
ABAB_MAD_LP_322_Du-593	243359	46983	0.193060458006	46959	24	0.999489176936
ABAB_MAD_LP_323_Du-594	243359	46598	0.191478433097	46573	25	0.999463496287
ABAB_MAD_LP_324_Du-595	243359	46983	0.193060458006	46958	25	0.999467892642
ABAB_MAD_LP_325_Du-596	243359	46977	0.193035803073	46956	21	0.999552972731
ABAB_MAD_LP_326_Du-597	243359	46982	0.193056348851	46959	23	0.999510450811
ABAB_MAD_LP_327_Du-598	243359	46026	0.189127996088	46003	23	0.999500282449
ABBE_BERN_LP_311_Du-780	243359	43298	0.177918219585	43271	27	0.999376414615
ABBE_BERN_LP_312_Du-781	243359	43297	0.177914110429	43271	26	0.999399496501
ABBE_BERN_LP_313_Du-782	243359	43113	0.177158025797	43086	27	0.999373738779
ABBE_BERN_LP_314_Du-783	243359	43298	0.177918219585	43271	27	0.999376414615
ABMU_HOR_LP_306_Du-775	243359	46986	0.193072785473	46967	19	0.999595624228
ABMU_HOR_LP_308_Du-777	243359	46986	0.193072785473	46967	19	0.999595624228
ABMU_HOR_LP_358_Du-770	243359	46983	0.193060458006	46961	22	0.999531745525
ABMU_HOR_LP_359_Du-771	243359	46982	0.193056348851	46963	19	0.9995955898
ABMU_HOR_LP_360_Du-772	243359	46981	0.193052239695	46961	20	0.999574295992
ABMU_HOR_LP_361_Du-773	243359	46981	0.193052239695	46962	19	0.999595581192
BAI_LP_105_Du-222	243359	43306	0.17795109283	43301	5	0.999884542558
BAI_LP_106_Du-223	243359	44797	0.184077843844	44791	6	0.99986606246
BAI_LP_108_Du-225	243359	43311	0.177971638608	43306	5	0.999884555886
BAI_LP_109_Du-226	243359	43316	0.177992184386	43311	5	0.999884569212
BAI_LP_110_Du-227	243359	43309	0.177963420297	43303	6	0.999861460666
BAI_LP_111_Du-228	243359	43313	0.177979856919	43307	6	0.999861473461
BAI_LP_112_Du-230	243359	43309	0.177963420297	43304	5	0.999884550555
BAI_LP_113_Du-231	243359	43315	0.17798807523	43309	6	0.999861479857
BAI_LP_114_Du-232	243359	43305	0.177946983674	43300	5	0.999884539891
BAI_LP_319_Du-233	243359	43299	0.177922328741	43294	5	0.999884523892
COM_LP_269_Du-703	243359	43328	0.178041494253	43320	8	0.999815361891
COM_LP_270_Du-704	243359	43313	0.177979856919	43307	6	0.999861473461
COM_LP_272_Du-707	243359	43629	0.179278350092	43623	6	0.999862476793
COM_LP_274_Du-709	243359	43317	0.177996293542	43310	7	0.999838400628
COM_LP_276_Du-711	243359	43347	0.17811956821	43341	6	0.999861582116
COM_LP_277_Du-712	243359	43313	0.177979856919	43306	7	0.999838385704
COM_LP_341_Du-713	243359	43311	0.177971638608	43305	6	0.999861467064
COM_LP_342_Du-714	243359	43311	0.177971638608	43305	6	0.999861467064
COM_LP_343_Du-715	243359	43314	0.177983966075	43307	7	0.999838389435
CROB_LP_169_Du-381	243359	46009	0.189058140443	46008	1	0.999978265122
CROB_LP_170_Du-382	243359	47008	0.193163186897	47004	4	0.999914908101
CROB_LP_172_Du-384	243359	47003	0.193142641119	47001	2	0.999957449524
CROB_LP_173_Du-385	243359	47004	0.193146750274	47000	4	0.99991490086
CROB_LP_174_Du-386	243359	47007	0.193159077741	47003	4	0.999914906291
CROB_LP_175_Du-387	243359	47004	0.193146750274	47000	4	0.99991490086
CROB_LP_176_Du-388	243359	47008	0.193163186897	47004	4	0.999914908101
CROB_LP_177_Du-389	243359	47007	0.193159077741	47003	4	0.999914906291
CROB_LP_320_Du-395	243359	47004	0.193146750274	47000	4	0.99991490086
CROB_LP_321_Du-396	243359	47004	0.193146750274	47000	4	0.99991490086
CROS_LP_085_Du-181	243359	47008	0.193163186897	47004	4	0.999914908101
CROS_LP_086_Du-182	243359	47008	0.193163186897	47004	4	0.999914908101
CROS_LP_087_Du-183	243359	47007	0.193159077741	47003	4	0.999914906291
CROS_LP_088_Du-184	243359	47008	0.193163186897	47004	4	0.999914908101
CROS_LP_089_Du-185	243359	47008	0.193163186897	47005	3	0.999936181076
CROS_LP_090_Du-186	243359	47008	0.193163186897	47004	4	0.999914908101
CROS_LP_091_Du-187	243359	47005	0.19315085943	47003	2	0.999957451335
CROS_LP_092_Du-188	243359	47001	0.193134422807	46999	2	0.999957447714
CROS_LP_093_Du-189	243359	47008	0.193163186897	47007	1	0.999978727025
CROS_LP_094_Du-190	243359	47002	0.193138531963	47000	2	0.999957448619
CY_ALA_LP_298-Du-767	243359	43299	0.177922328741	43292	7	0.999838333449
CY_ALA_LP_299-Du-768	243359	43300	0.177926437896	43293	7	0.999838337182
CY_ALA_LP_357_Du-769	243359	43302	0.177934656207	43295	7	0.999838344649
CY_BAL_LP_226_Du-602	243359	46458	0.190903151311	46429	29	0.999375780275
CY_BAL_LP_227_Du-603	243359	46212	0.189892299031	46185	27	0.999415736172
CY_BGL_LP_210_Du-577	243359	43300	0.177926437896	43272	28	0.99935334873
CY_BGL_LP_212_Du-579	243359	43297	0.177914110429	43270	27	0.999376400212
CY_BOU_LP_288_Du-737	243359	42693	0.175432180441	42690	3	0.999929730869
CY_BOU_LP_290_Du-739	243359	43307	0.177955201986	43303	4	0.999907636179
CY_BOU_LP_291_Du-740	243359	43306	0.17795109283	43302	4	0.999907634046
CY_BOU_LP_292_Du-741	243359	43306	0.17795109283	43302	4	0.999907634046
CY_BOU_LP_354_Du-742	243359	43307	0.177955201986	43303	4	0.999907636179
CY_CAS_LP_328_Du-610	243359	43284	0.177860691407	43243	41	0.999052767766
CY_CAS_LP_329_Du-611	243359	43306	0.17795109283	43300	6	0.999861451069
CY_CAS_LP_330_Du-607	243359	43202	0.177523740647	43197	5	0.999884264617
CY_CAS_LP_331_Du-608	243359	43298	0.177918219585	43292	6	0.99986142547
CY_CAS_LP_332_Du-609	243359	43308	0.177959311141	43302	6	0.999861457467
CY_HICN_LP_236_Du-614	243359	46998	0.193122095341	46956	42	0.999106344951
CY_HICN_LP_333_Du-612	243359	46985	0.193068676318	46951	34	0.999276364797
CY_HICN_LP_334_Du-613	243359	46993	0.193101549563	46953	40	0.999148809397
CY_HICN_LP_335_Du-615	243359	46996	0.193113877029	46955	41	0.999127585326
CY_HICN_LP_336_Du-616	243359	46995	0.193109767874	46953	42	0.999106287903
CY_HICS_LP_293_Du-757	243359	43307	0.177955201986	43303	4	0.999907636179
CY_HICS_LP_297_Du-761	243359	42753	0.175678729778	42749	4	0.999906439314
CY_HICS_LP_355_Du-762	243359	43306	0.17795109283	43302	4	0.999907634046
CY_HICS_LP_356_Du-763	243359	43293	0.177897673807	43289	4	0.99990760631
CY_HUN_LP_264_Du-683	243359	45484	0.186900833748	45453	31	0.99931844165
CY_HUN_LP_266_Du-685	243359	46759	0.19214000715	46726	33	0.999294253513
CY_HUN_LP_267_Du-686	243359	46658	0.191724982433	46626	32	0.999314158344
CY_HUN_LP_268_Du-687	243359	44852	0.184303847402	44821	31	0.999308837956
CY_SIE_LP_188_Du-445	243359	47002	0.193138531963	46960	42	0.999106421003
CY_SIE_LP_189_Du-446	243359	47003	0.193142641119	46960	43	0.999085164777
CY_SIE_LP_190_Du-447	243359	46997	0.193117986185	46955	42	0.999106325936
CY_SIE_LP_191_Du-448	243359	46998	0.193122095341	46993	5	0.999893612494
CY_WOO_LP_259_Du-664	243359	43291	0.177889455496	43286	5	0.999884502552
CY_WOO_LP_260_Du-665	243359	43242	0.177688106871	43237	5	0.999884371676
CY_WOO_LP_261_Du-667	243359	40546	0.166609823347	40544	2	0.999950673309
CY_WOO_LP_262_Du-668	243359	43297	0.177914110429	43292	5	0.999884518558
CY_WOO_LP_263_Du-669	243359	43300	0.177926437896	43295	5	0.999884526559
DAN_LP_043_Du-68	243359	46818	0.192382447331	46812	6	0.999871844163
DAN_LP_044_Du-69	243359	46814	0.192366010708	46809	5	0.999893194344
DAN_LP_045_Du-70	243359	46820	0.192390665642	46815	5	0.999893208031
DAN_LP_046_Du-71	243359	46850	0.19251394031	46843	7	0.99985058698
DAN_LP_047_Du-72	243359	46815	0.192370119864	46810	5	0.999893196625
DOV_LP_078_Du-174	243359	43194	0.177490867402	43189	5	0.999884243182
DOV_LP_079_Du-175	243359	43312	0.177975747764	43307	5	0.999884558552
DOV_LP_080_Du-176	243359	43316	0.177992184386	43311	5	0.999884569212
DOV_LP_081_Du-177	243359	43316	0.177992184386	43311	5	0.999884569212
DOV_LP_082_Du-178	243359	43309	0.177963420297	43304	5	0.999884550555
DOV_LP_083_Du-179	243359	43316	0.177992184386	43311	5	0.999884569212
DOV_LP_084_Du-180	243359	43316	0.177992184386	43311	5	0.999884569212
DU-173	243359	46730	0.192020841637	46721	9	0.999807404237
DU-229	243359	43309	0.177963420297	43303	6	0.999861460666
DU-247	243359	47008	0.193163186897	47008	0	1
DU-254	243359	47008	0.193163186897	47008	0	1
DU-270	243359	46859	0.192550922711	46850	9	0.999807934442
DU-297	243359	47008	0.193163186897	47008	0	1
DU-443	243359	47003	0.193142641119	46960	43	0.999085164777
DU-4A	243359	47008	0.193163186897	47004	4	0.999914908101
DU014LP012	243359	43349	0.178127786521	43345	4	0.999907725668
DU037LP013	243359	43312	0.177975747764	43308	4	0.999907646842
DU059LP015	243359	46859	0.192550922711	46851	8	0.999829275059
DU078LP011	243359	46822	0.192398883953	46815	7	0.999850497629
DU079LP010	243359	46870	0.192596123423	46862	8	0.999829315127
DUD_LP_132_Du-283	243359	46982	0.193056348851	46982	0	1
DUD_LP_133_Du-284	243359	47004	0.193146750274	47004	0	1
