query_genome	feature_type	gene	name	product	query_start	query_end	strand	method	confidence	pident	query_coverage	aligned_length	evalue	bitscore	ref_accession	ref_description	ref_start	ref_end
chloroplast	gene	atpA	atpA		100	1623	-	blastn_feature_transfer	high	99.672	1.0	1524	0.0	2727.0	PX244389.1	Dudleya virens chloroplast, complete genome	10447	11970
chloroplast	CDS	atpA	atpA	ATP synthase CF1 alpha subunit	100	1623	-	blastn_feature_transfer	high	99.672	1.0	1524	0.0	2727.0	PX244389.1	Dudleya virens chloroplast, complete genome	10447	11970
chloroplast	gene	atpF	atpF		1682	2968	-	blastn_feature_transfer	high	99.456	1.0	1287	0.0	2290.0	PX244391.1	Dudleya lanceolata chloroplast, complete genome	12008	13294
chloroplast	CDS	atpF	atpF	ATP synthase CF0 subunit b	1685	2158	-	tblastn_protein_transfer	high	86.076	0.859	158	1.56e-84	265.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	12010	13295
chloroplast	gene	atpH	atpH		3358	3603	-	blastn_feature_transfer	high	99.593	1.0	246	1.99e-125	440.0	PX244389.1	Dudleya virens chloroplast, complete genome	13708	13953
chloroplast	CDS	atpH	atpH	ATP synthase CF0 subunit III	3358	3603	-	blastn_feature_transfer	high	99.593	1.0	246	1.99e-125	440.0	PX244389.1	Dudleya virens chloroplast, complete genome	13708	13953
chloroplast	gene	atpI	atpI		4279	5013	-	blastn_feature_transfer	high	99.728	1.0	735	0.0	1317.0	PX244389.1	Dudleya virens chloroplast, complete genome	14633	15367
chloroplast	CDS	atpI	atpI	ATP synthase CF0 subunit a	4279	5013	-	blastn_feature_transfer	high	99.728	1.0	735	0.0	1317.0	PX244389.1	Dudleya virens chloroplast, complete genome	14633	15367
chloroplast	gene	rps2	rps2		5204	5914	-	blastn_feature_transfer	high	99.297	1.0	711	0.0	1260.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	15531	16241
chloroplast	CDS	rps2	rps2	ribosomal protein S2	5204	5914	-	blastn_feature_transfer	high	99.297	1.0	711	0.0	1260.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	15531	16241
chloroplast	gene	rpoC2	rpoC2		6224	10315	-	blastn_feature_transfer	high	99.56	1.0	4092	0.0	7299.0	PX244389.1	Dudleya virens chloroplast, complete genome	16578	20669
chloroplast	CDS	rpoC2	rpoC2	RNA polymerase beta'' subunit	6224	10315	-	blastn_feature_transfer	high	99.56	1.0	4092	0.0	7299.0	PX244389.1	Dudleya virens chloroplast, complete genome	16578	20669
chloroplast	CDS	rpoC1	rpoC1	RNA polymerase beta' subunit	10476	12094	-	blastn_feature_transfer	medium	99.753	0.79	1619	0.0	2902.0	PX244389.1	Dudleya virens chloroplast, complete genome	20830	23617
chloroplast	gene	rpoC1	rpoC1		10476	13265	-	blastn_feature_transfer	high	99.57	1.001	2790	0.0	4975.0	PX244389.1	Dudleya virens chloroplast, complete genome	20830	23617
chloroplast	gene	rpoB	rpoB		13302	16513	-	blastn_feature_transfer	high	99.782	1.0	3213	0.0	5760.0	NC_085682.1	Dudleya farinosa chloroplast, complete genome	23642	26854
chloroplast	CDS	rpoB	rpoB	RNA polymerase beta subunit	13302	16513	-	blastn_feature_transfer	high	99.782	1.0	3213	0.0	5760.0	NC_085682.1	Dudleya farinosa chloroplast, complete genome	23642	26854
chloroplast	gene	trnC-GCA	trnC-GCA		17637	17715	+	blastn_feature_transfer	high	100.0	1.0	79	5.84e-37	143.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	27976	28054
chloroplast	tRNA	trnC-GCA	trnC-GCA	tRNA-Cys	17637	17715	+	blastn_feature_transfer	high	100.0	1.0	79	5.84e-37	143.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	27976	28054
chloroplast	CDS	petN	petN	cytochrome b6-f complex subunit VIII	18557	18646	+	blastn_feature_transfer	high	100.0	1.0	90	7.34e-43	163.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	28896	28985
chloroplast	gene	petN	petN		18557	18646	+	blastn_feature_transfer	high	100.0	1.0	90	7.34e-43	163.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	28896	28985
chloroplast	gene	psbM	psbM		19448	19552	-	blastn_feature_transfer	high	100.0	1.0	105	6.29e-51	190.0	PX244389.1	Dudleya virens chloroplast, complete genome	29803	29907
chloroplast	CDS	psbM	psbM	photosystem II reaction center protein M	19448	19552	-	blastn_feature_transfer	high	100.0	1.0	105	6.29e-51	190.0	PX244389.1	Dudleya virens chloroplast, complete genome	29803	29907
chloroplast	gene	trnD-GUC	trnD-GUC		20497	20570	-	blastn_feature_transfer	high	100.0	1.0	74	2.78e-34	134.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	30833	30906
chloroplast	tRNA	trnD-GUC	trnD-GUC	tRNA-Asp	20497	20570	-	blastn_feature_transfer	high	100.0	1.0	74	2.78e-34	134.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	30833	30906
chloroplast	gene	trnY-GUA	trnY-GUA		20872	20955	-	blastn_feature_transfer	high	100.0	1.0	84	1.22e-39	152.0	PX244394.1	Dudleya sp. T72600-1 chloroplast, complete genome	33558	33641
chloroplast	tRNA	trnY-GUA	trnY-GUA	tRNA-Tyr	20872	20955	-	blastn_feature_transfer	high	100.0	1.0	84	1.22e-39	152.0	PX244394.1	Dudleya sp. T72600-1 chloroplast, complete genome	33558	33641
chloroplast	gene	trnE-UUC	trnE-UUC		21015	21087	-	blastn_feature_transfer	high	100.0	1.0	73	9.54e-34	132.0	PX244394.1	Dudleya sp. T72600-1 chloroplast, complete genome	33706	33778
chloroplast	tRNA	trnE-UUC	trnE-UUC	tRNA-Glu	21015	21087	-	blastn_feature_transfer	high	100.0	1.0	73	9.54e-34	132.0	PX244394.1	Dudleya sp. T72600-1 chloroplast, complete genome	33706	33778
chloroplast	gene	trnT-GGU	trnT-GGU		21470	21541	+	blastn_feature_transfer	high	100.0	1.0	72	3.27e-33	131.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	31805	31876
chloroplast	tRNA	trnT-GGU	trnT-GGU	tRNA-Thr	21470	21541	+	blastn_feature_transfer	high	100.0	1.0	72	3.27e-33	131.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	31805	31876
chloroplast	CDS	psbD	psbD	photosystem II P680 reaction center D2 protein	22220	23281	+	blastn_feature_transfer	high	99.906	1.0	1062	0.0	1911.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	32611	33672
chloroplast	gene	psbD	psbD		22220	23281	+	blastn_feature_transfer	high	99.906	1.0	1062	0.0	1911.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	32611	33672
chloroplast	CDS	psbC	psbC	photosystem II CP43 chlorophyll apoprotein	23229	24647	+	tblastn_protein_transfer	high	100.0	1.0	473	0.0	864.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	33620	35041
chloroplast	gene	psbC	psbC		23229	24650	+	blastn_feature_transfer	high	99.93	1.0	1422	0.0	2561.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	33620	35041
chloroplast	gene	trnS-UGA	trnS-UGA		24836	24928	-	blastn_feature_transfer	high	100.0	1.0	93	1.80e-44	168.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	35220	35312
chloroplast	tRNA	trnS-UGA	trnS-UGA	tRNA-Ser	24836	24928	-	blastn_feature_transfer	high	100.0	1.0	93	1.80e-44	168.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	35220	35312
chloroplast	CDS	lhbA	lhbA	LhbA	25233	25421	+	blastn_feature_transfer	high	100.0	1.0	189	3.10e-96	342.0	NC_085682.1	Dudleya farinosa chloroplast, complete genome	36029	36217
chloroplast	CDS	psbZ	psbZ	photosystem II reaction center protein Z	25233	25421	+	blastn_feature_transfer	high	100.0	1.0	189	3.10e-96	342.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	35618	35806
chloroplast	gene	lhbA	lhbA		25233	25421	+	blastn_feature_transfer	high	100.0	1.0	189	3.10e-96	342.0	NC_085682.1	Dudleya farinosa chloroplast, complete genome	36029	36217
chloroplast	gene	psbZ	psbZ		25233	25421	+	blastn_feature_transfer	high	100.0	1.0	189	3.10e-96	342.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	35618	35806
chloroplast	gene	trnG-UCC	trnG-UCC		26077	26147	+	blastn_feature_transfer	high	100.0	1.0	71	1.12e-32	129.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	36477	36547
chloroplast	tRNA	trnG-UCC	trnG-UCC	tRNA-Gly	26077	26147	+	blastn_feature_transfer	high	100.0	1.0	71	1.12e-32	129.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	36477	36547
chloroplast	gene	trnfM-CAU	trnfM-CAU		26285	26358	-	blastn_feature_transfer	high	100.0	1.0	74	2.78e-34	134.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	36685	36758
chloroplast	tRNA	trnfM-CAU	trnfM-CAU	tRNA-fMet	26285	26358	-	blastn_feature_transfer	high	100.0	1.0	74	2.78e-34	134.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	36685	36758
chloroplast	gene	rps14	rps14		26521	26823	-	blastn_feature_transfer	high	99.34	1.0	303	3.46e-155	538.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	36921	37223
chloroplast	CDS	rps14	rps14	ribosomal protein S14	26521	26823	-	blastn_feature_transfer	high	99.34	1.0	303	3.46e-155	538.0	PX244393.1	Dudleya candelabrum chloroplast, complete genome	36921	37223
chloroplast	gene	psaB	psaB		26938	29142	-	blastn_feature_transfer	high	99.909	1.0	2205	0.0	3968.0	PX244389.1	Dudleya virens chloroplast, complete genome	37313	39517
chloroplast	CDS	psaB	psaB	photosystem I P700 chlorophyll a apoprotein A2	26938	29142	-	blastn_feature_transfer	high	99.909	1.0	2205	0.0	3968.0	PX244389.1	Dudleya virens chloroplast, complete genome	37313	39517
chloroplast	CDS	psaA	psaA	photosystem I P700 chlorophyll a apoprotein A1	29168	31420	-	blastn_feature_transfer	high	99.911	1.0	2253	0.0	4055.0	PX244389.1	Dudleya virens chloroplast, complete genome	39543	41795
chloroplast	gene	psaA	psaA		29168	31420	-	blastn_feature_transfer	high	99.911	1.0	2253	0.0	4055.0	PX244389.1	Dudleya virens chloroplast, complete genome	39543	41795
