feature_id	gene	copy_number	product	ref_location	strand	transl_table	codon_start	projection_status	projection_orientation	candidate_projected_strand	projected_query_coverage	projected_candidate_start	projected_candidate_end	ref_cds_length_bp	candidate_projected_cds_length_bp	codons_compared	nucleotide_differences_in_compared_codons	single_nt_synonymous_substitutions	single_nt_nonsynonymous_substitutions	complex_codon_changes	amino_acid_changes	codons_with_candidate_gaps	ambiguous_codons	candidate_internal_stop	partial_codon_or_frameshift_flag	inclusion_reason
CDS:rps12:3	rps12	1	ribosomal protein S12	complement(join(96297..96323,96860..97090,68143..68256))	-	11	1	present_by_projection	-	+	1.000000	67671	136534	372	372	124	0	0	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:psbA:7	psbA	1	photosystem II protein D1	complement(343..1404)	-	11	1	present_by_projection	+	-	1.000000	320	1381	1062	1062	354	1	0	1	0	1	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:matK:11	matK	1	maturase K	complement(1909..3411)	-	11	1	present_by_projection	+	-	1.000000	1892	3394	1503	1503	501	21	6	15	0	15	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:rps16:13	rps16	1	ribosomal protein S16	complement(join(4806..5033,5815..5856))	-	11	1	present_by_projection	+	-	1.000000	4773	5828	270	270	90	3	1	2	0	2	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:psbK:17	psbK	1	photosystem II protein K	7746..7931	+	11	1	present_by_projection	+	+	1.000000	7686	7871	186	186	62	0	0	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:psbI:19	psbI	1	photosystem II protein I	8323..8433	+	11	1	present_by_projection	+	+	1.000000	8264	8374	111	111	37	0	0	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:atpA:27	atpA	1	ATP synthase CF1 alpha subunit	complement(10429..11952)	-	11	1	present_by_projection	+	-	1.000000	10357	11880	1524	1524	508	7	6	1	0	1	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:atpF:29	atpF	1	ATP synthase CF0 subunit I	complement(join(12011..12420,13153..13297))	-	11	1	present_by_projection	+	-	1.000000	11939	13225	555	555	185	6	2	4	0	4	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:atpH:31	atpH	1	ATP synthase CF0 subunit III	complement(13687..13932)	-	11	1	present_by_projection	+	-	1.000000	13615	13860	246	246	82	1	1	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:atpI:33	atpI	1	ATP synthase CF0 subunit IV	complement(14608..15342)	-	11	1	present_by_projection	+	-	1.000000	14536	15270	735	735	245	3	2	1	0	1	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:rps2:35	rps2	1	ribosomal protein S2	complement(15533..16243)	-	11	1	present_by_projection	+	-	1.000000	15461	16171	711	711	237	5	3	2	0	2	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:rpoC2:37	rpoC2	1	RNA polymerase beta'' subunit	complement(16553..20644)	-	11	1	present_by_projection	+	-	1.000000	16481	20572	4092	4092	1364	37	15	22	0	22	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:rpoC1:39	rpoC1	1	RNA polymerase beta' subunit	complement(join(20805..22430,23171..23605))	-	11	1	present_by_projection	+	-	1.000000	20733	23522	2061	2061	687	7	3	4	0	4	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:rpoB:41	rpoB	1	RNA polymerase beta subunit	complement(23642..26854)	-	11	1	present_by_projection	+	-	0.999689	23559	26770	3213	3212	1071	6	3	3	0	3	1	0	yes	yes	excluded_from_clean_syn_nonsyn_totals_candidate_gap
CDS:petN:45	petN	1	cytochrome b6/f complex subunit VIII	28898..28987	+	11	1	present_by_projection	+	+	1.000000	28814	28903	90	90	30	0	0	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
