sample	accession	description	length_bp	gc_percent	terminal_duplicate_bp	ir_a_start	ir_a_end	ir_b_start	ir_b_end	ir_length_bp	ir_identity_percent	lsc_length_bp	ssc_length_bp	status	note
D_setchellii_candidate_chloroplast_raw	candidate_raw	raw chloroplast input FASTA raw sequence	176964	37.77	26690	71834	97569	114282	140017	25742	99.953	108780	16712	IR_detected	raw candidate includes any terminal redundancy
D_setchellii_candidate_chloroplast_terminal_deduplicated	candidate_terminal_deduplicated	reference-verification chloroplast after removing terminal direct duplicate once for structure comparison only	150274	37.965	0	71834	97569	114282	140017	25742	99.953	82090	16712	IR_detected	trimmed suffix starting at 150275 based on reference-verification package self-BLAST evidence
PX244394.1	PX244394.1	Dudleya sp. T72600-1 chloroplast, complete genome	166371	37.197	0	90860	121852	135379	166371	30993	100.0	90859	13526	IR_detected	reference-verification cached complete Dudleya chloroplast reference
PX244393.1	PX244393.1	Dudleya candelabrum chloroplast, complete genome	150419	37.974	0	82213	107941	124691	150419	25729	100.0	82212	16749	IR_detected	reference-verification cached complete Dudleya chloroplast reference
PX244392.1	PX244392.1	Dudleya greenei chloroplast, complete genome	152899	38.211	0	84015	109679	127236	152899	25665	99.988	84014	17556	IR_detected	reference-verification cached complete Dudleya chloroplast reference
PX244391.1	PX244391.1	Dudleya lanceolata chloroplast, complete genome	150313	37.967	0	82086	107814	124585	150313	25729	100.0	82085	16770	IR_detected	reference-verification cached complete Dudleya chloroplast reference
PX244390.1	PX244390.1	Dudleya nesiotica chloroplast, complete genome	150405	37.974	0	82199	107927	124677	150405	25729	100.0	82198	16749	IR_detected	reference-verification cached complete Dudleya chloroplast reference
PX244389.1	PX244389.1	Dudleya virens chloroplast, complete genome	150377	37.967	0	82171	107905	124643	150377	25735	100.0	82170	16737	IR_detected	reference-verification cached complete Dudleya chloroplast reference
NC_085682.1	NC_085682.1	Dudleya farinosa chloroplast, complete genome	150780	37.947	0	82564	108293	125051	150780	25730	99.992	82563	16757	IR_detected	reference-verification cached complete Dudleya chloroplast reference
OQ076651.1	OQ076651.1	Dudleya farinosa chloroplast, complete genome	150780	37.947	0	82564	108293	125051	150780	25730	99.992	82563	16757	IR_detected	reference-verification cached complete Dudleya chloroplast reference
