sample_id	reference_length	callable_bases	callable_fraction	reference_matches	nonreference_bases	callable_reference_identity
ABAB_MAD_LP_223_Du-590	150274	101454	0.675126768436	100967	487	0.995199794981
ABAB_MAD_LP_322_Du-593	150274	103905	0.691436975125	103412	493	0.995255281267
ABAB_MAD_LP_323_Du-594	150274	101310	0.674168518839	100828	482	0.995242325535
ABAB_MAD_LP_324_Du-595	150274	101297	0.674082010195	100816	481	0.995251586918
ABAB_MAD_LP_325_Du-596	150274	102117	0.679538709291	101631	486	0.995240753254
ABAB_MAD_LP_326_Du-597	150274	101888	0.678014826251	101402	486	0.995230056533
ABAB_MAD_LP_327_Du-598	150274	101282	0.673982192528	100796	486	0.995201516558
ABBE_BERN_LP_311_Du-780	150274	103309	0.687470886514	102717	592	0.994269618329
ABBE_BERN_LP_312_Du-781	150274	102205	0.680124306267	101618	587	0.994256641065
ABBE_BERN_LP_313_Du-782	150274	102029	0.678953112315	101443	586	0.994256534907
ABBE_BERN_LP_314_Du-783	150274	101748	0.677083194698	101173	575	0.994348783268
ABMU_HOR_LP_306_Du-775	150274	102757	0.683797596391	102263	494	0.995192541627
ABMU_HOR_LP_308_Du-777	150274	103058	0.68580060423	102565	493	0.995216285975
ABMU_HOR_LP_358_Du-770	150274	103630	0.689606984575	103134	496	0.995213741195
ABMU_HOR_LP_359_Du-771	150274	103657	0.689786656374	103163	494	0.995234282296
ABMU_HOR_LP_360_Du-772	150274	104092	0.6926813687	103595	497	0.995225377551
ABMU_HOR_LP_361_Du-773	150274	103743	0.690358944328	103246	497	0.995209315327
BAI_LP_105_Du-222	150274	106268	0.707161584838	106093	175	0.99835322016
BAI_LP_106_Du-223	150274	106254	0.707068421683	106077	177	0.99833418036
BAI_LP_108_Du-225	150274	106002	0.705391484888	105831	171	0.99838682289
BAI_LP_109_Du-226	150274	105750	0.703714548092	105575	175	0.998345153664
BAI_LP_110_Du-227	150274	106598	0.709357573499	106420	178	0.99833017505
BAI_LP_111_Du-228	150274	106451	0.708379360368	106274	177	0.998337263154
BAI_LP_112_Du-230	150274	105748	0.70370123907	105577	171	0.998382948141
BAI_LP_113_Du-231	150274	106286	0.707281366038	106111	175	0.99835349905
BAI_LP_114_Du-232	150274	106057	0.705757482998	105886	171	0.998387659466
BAI_LP_319_Du-233	150274	103254	0.687104888404	103078	176	0.998295465551
COM_LP_269_Du-703	150274	103463	0.688495681222	103357	106	0.998975479157
COM_LP_270_Du-704	150274	102486	0.681994223884	102383	103	0.998994984681
COM_LP_272_Du-707	150274	103497	0.688721934599	103394	103	0.999004802072
COM_LP_274_Du-709	150274	103546	0.689048005643	103442	104	0.998995615475
COM_LP_276_Du-711	150274	102463	0.681841170129	102360	103	0.998994759084
COM_LP_277_Du-712	150274	102898	0.684735882455	102796	102	0.999008727089
COM_LP_341_Du-713	150274	103963	0.691822936769	103860	103	0.999009262911
COM_LP_342_Du-714	150274	102987	0.685328133942	102885	102	0.999009583734
COM_LP_343_Du-715	150274	103467	0.688522299267	103364	103	0.999004513516
CROB_LP_169_Du-381	150274	102328	0.680942811132	102284	44	0.999570010163
CROB_LP_170_Du-382	150274	104338	0.694318378429	104295	43	0.999587877858
CROB_LP_172_Du-384	150274	103138	0.686332965117	103093	45	0.999563691365
CROB_LP_173_Du-385	150274	104603	0.696081823868	104560	43	0.999588921924
