query	reference	title	query_covered_bp	query_coverage	reference_coverage	weighted_identity	hsp_count	total_hsp_aligned_bp	bitscore_sum
chloroplast	gb|PV256627.1|	Graptopetalum paraguayense mitochondrion, complete genome	33483	0.1892	0.1382	92.695	25	36481	51721.0
chloroplast	gb|PP024540.1|	Rhodiola rosea mitochondrion, complete genome	27428	0.155	0.0742	93.484	25	27853	40900.0
chloroplast	gb|OP573219.1|	Rhodiola tangutica mitochondrion, complete genome	22071	0.1247	0.0757	92.961	14	22346	32175.0
chloroplast	ref|NC_072122.1|	Rhodiola tangutica mitochondrion, complete genome	22071	0.1247	0.0757	92.961	14	22346	32175.0
chloroplast	gb|OR188139.1|	Rhodiola juparensis mitochondrion, complete genome	16658	0.0941	0.0555	91.726	20	19423	26679.0
chloroplast	ref|NC_082108.1|	Rhodiola juparensis mitochondrion, complete genome	16658	0.0941	0.0555	91.726	20	19423	26679.0
chloroplast	gb|OP588116.1|	Sedum plumbizincicola voucher KPBK001 mitochondrion, complete genome	13607	0.0769	0.0539	90.071	14	13919	17651.0
chloroplast	ref|NC_069572.1|	Sedum plumbizincicola voucher KPBK001 mitochondrion, complete genome	13607	0.0769	0.0539	90.071	14	13919	17651.0
chloroplast	gb|OP312069.1|	Rhodiola wallichiana chromosome 2 mitochondrion, complete sequence	13230	0.0748	0.083	98.212	5	13308	23175.0
chloroplast	gb|OP312068.1|	Rhodiola wallichiana chromosome 1 mitochondrion, complete sequence	10979	0.062	0.0548	90.898	13	11096	14687.0
chloroplast	gb|OP312070.1|	Rhodiola sacra chromosome 1 mitochondrion, complete sequence	9023	0.051	0.0351	89.769	10	9119	11486.0
chloroplast	gb|CM082116.1|	Rhodiola kirilowii isolate R_Ki mitochondrion, complete sequence, whole genome shotgun sequence	8616	0.0487	0.0537	96.798	8	8618	14344.0
chloroplast	gb|PV608516.1|	Sedum sarmentosum mitochondrion, complete genome	6810	0.0385	0.0289	86.04	10	6970	7156.0
chloroplast	gb|OP312067.1|	Rhodiola crenulata mitochondrion, complete genome	6261	0.0354	0.0224	85.239	12	6375	6343.0
chloroplast	ref|NC_070303.1|	Rhodiola crenulata mitochondrion, complete genome	6261	0.0354	0.0224	85.239	12	6375	6343.0
chloroplast	gb|OP312071.1|	Rhodiola sacra chromosome 2 mitochondrion, complete sequence	6077	0.0343	0.0383	96.125	5	6091	9926.0
