organelle	sample_1	sample_2	differences	sites_compared	p_distance
chloroplast	ABAB_MAD_LP_223_Du-590	ABAB_MAD_LP_322_Du-593	12	101131	0.000118657978266
chloroplast	ABAB_MAD_LP_223_Du-590	ABAB_MAD_LP_323_Du-594	24	100922	0.000237807415628
chloroplast	ABAB_MAD_LP_223_Du-590	ABAB_MAD_LP_324_Du-595	23	100951	0.000227833305267
chloroplast	ABAB_MAD_LP_223_Du-590	ABAB_MAD_LP_325_Du-596	45	101130	0.000444971818451
chloroplast	ABAB_MAD_LP_223_Du-590	ABAB_MAD_LP_326_Du-597	16	101105	0.000158251322882
chloroplast	ABAB_MAD_LP_223_Du-590	ABAB_MAD_LP_327_Du-598	15	100918	0.000148635525872
chloroplast	ABAB_MAD_LP_223_Du-590	ABBE_BERN_LP_311_Du-780	543	101084	0.00537177001306
chloroplast	ABAB_MAD_LP_223_Du-590	ABBE_BERN_LP_312_Du-781	540	101039	0.00534447094686
chloroplast	ABAB_MAD_LP_223_Du-590	ABBE_BERN_LP_313_Du-782	539	100953	0.00533911820352
chloroplast	ABAB_MAD_LP_223_Du-590	ABBE_BERN_LP_314_Du-783	528	100896	0.00523311132255
chloroplast	ABAB_MAD_LP_223_Du-590	ABMU_HOR_LP_306_Du-775	63	101113	0.000623065283396
chloroplast	ABAB_MAD_LP_223_Du-590	ABMU_HOR_LP_308_Du-777	63	101052	0.000623441396509
chloroplast	ABAB_MAD_LP_223_Du-590	ABMU_HOR_LP_358_Du-770	61	101131	0.000603178056185
chloroplast	ABAB_MAD_LP_223_Du-590	ABMU_HOR_LP_359_Du-771	64	101130	0.000632848808464
chloroplast	ABAB_MAD_LP_223_Du-590	ABMU_HOR_LP_360_Du-772	64	101129	0.000632855066301
chloroplast	ABAB_MAD_LP_223_Du-590	ABMU_HOR_LP_361_Du-773	65	101130	0.000642737071097
chloroplast	ABAB_MAD_LP_223_Du-590	BAI_LP_105_Du-222	478	101128	0.00472668301558
chloroplast	ABAB_MAD_LP_223_Du-590	BAI_LP_106_Du-223	480	101130	0.00474636606348
chloroplast	ABAB_MAD_LP_223_Du-590	BAI_LP_108_Du-225	478	101095	0.00472822592611
chloroplast	ABAB_MAD_LP_223_Du-590	BAI_LP_109_Du-226	476	101119	0.00470732503288
chloroplast	ABAB_MAD_LP_223_Du-590	BAI_LP_110_Du-227	481	101127	0.00475639542358
chloroplast	ABAB_MAD_LP_223_Du-590	BAI_LP_111_Du-228	480	101127	0.0047465068676
chloroplast	ABAB_MAD_LP_223_Du-590	BAI_LP_112_Du-230	478	101072	0.00472930188381
chloroplast	ABAB_MAD_LP_223_Du-590	BAI_LP_113_Du-231	475	101126	0.00469711053537
chloroplast	ABAB_MAD_LP_223_Du-590	BAI_LP_114_Du-232	478	101112	0.00472743096764
chloroplast	ABAB_MAD_LP_223_Du-590	BAI_LP_319_Du-233	479	101075	0.00473905515706
chloroplast	ABAB_MAD_LP_223_Du-590	COM_LP_269_Du-703	481	101132	0.00475616026579
chloroplast	ABAB_MAD_LP_223_Du-590	COM_LP_270_Du-704	478	101112	0.00472743096764
chloroplast	ABAB_MAD_LP_223_Du-590	COM_LP_272_Du-707	478	101129	0.00472663627644
chloroplast	ABAB_MAD_LP_223_Du-590	COM_LP_274_Du-709	473	100925	0.00468664850136
chloroplast	ABAB_MAD_LP_223_Du-590	COM_LP_276_Du-711	478	101132	0.00472649606455
chloroplast	ABAB_MAD_LP_223_Du-590	COM_LP_277_Du-712	477	101132	0.00471660799747
chloroplast	ABAB_MAD_LP_223_Du-590	COM_LP_341_Du-713	478	101131	0.00472654280092
chloroplast	ABAB_MAD_LP_223_Du-590	COM_LP_342_Du-714	476	101043	0.00471086567105
chloroplast	ABAB_MAD_LP_223_Du-590	COM_LP_343_Du-715	478	101133	0.0047264493291
chloroplast	ABAB_MAD_LP_223_Du-590	CROB_LP_169_Du-381	474	101062	0.00469019018029
chloroplast	ABAB_MAD_LP_223_Du-590	CROB_LP_170_Du-382	474	101120	0.0046875
chloroplast	ABAB_MAD_LP_223_Du-590	CROB_LP_172_Du-384	474	101083	0.00468921579296
chloroplast	ABAB_MAD_LP_223_Du-590	CROB_LP_173_Du-385	474	101122	0.0046874072902
chloroplast	ABAB_MAD_LP_223_Du-590	CROB_LP_174_Du-386	474	101117	0.00468763907157
chloroplast	ABAB_MAD_LP_223_Du-590	CROB_LP_175_Du-387	474	101126	0.00468722188161
chloroplast	ABAB_MAD_LP_223_Du-590	CROB_LP_176_Du-388	474	101126	0.00468722188161
chloroplast	ABAB_MAD_LP_223_Du-590	CROB_LP_177_Du-389	474	101126	0.00468722188161
chloroplast	ABAB_MAD_LP_223_Du-590	CROB_LP_320_Du-395	474	101130	0.00468703648769
chloroplast	ABAB_MAD_LP_223_Du-590	CROB_LP_321_Du-396	474	101123	0.00468736093668
chloroplast	ABAB_MAD_LP_223_Du-590	CROS_LP_085_Du-181	474	101133	0.00468689745187
chloroplast	ABAB_MAD_LP_223_Du-590	CROS_LP_086_Du-182	474	101132	0.00468694379623
chloroplast	ABAB_MAD_LP_223_Du-590	CROS_LP_087_Du-183	475	101088	0.00469887622665
chloroplast	ABAB_MAD_LP_223_Du-590	CROS_LP_088_Du-184	475	101132	0.00469683186331
chloroplast	ABAB_MAD_LP_223_Du-590	CROS_LP_089_Du-185	476	101132	0.00470671993039
chloroplast	ABAB_MAD_LP_223_Du-590	CROS_LP_090_Du-186	474	101132	0.00468694379623
chloroplast	ABAB_MAD_LP_223_Du-590	CROS_LP_091_Du-187	484	101133	0.00478577714495
chloroplast	ABAB_MAD_LP_223_Du-590	CROS_LP_092_Du-188	484	101132	0.00478582446703
chloroplast	ABAB_MAD_LP_223_Du-590	CROS_LP_093_Du-189	478	101133	0.0047264493291
chloroplast	ABAB_MAD_LP_223_Du-590	CROS_LP_094_Du-190	483	101132	0.00477593639995
chloroplast	ABAB_MAD_LP_223_Du-590	CY_ALA_LP_298-Du-767	430	101119	0.00425241547088
chloroplast	ABAB_MAD_LP_223_Du-590	CY_ALA_LP_299-Du-768	427	101106	0.00422329040809
chloroplast	ABAB_MAD_LP_223_Du-590	CY_ALA_LP_357_Du-769	430	101129	0.00425199497671
chloroplast	ABAB_MAD_LP_223_Du-590	CY_BAL_LP_226_Du-602	545	101081	0.00539171555485
chloroplast	ABAB_MAD_LP_223_Du-590	CY_BAL_LP_227_Du-603	541	101058	0.00535336143601
chloroplast	ABAB_MAD_LP_223_Du-590	CY_BAL_LP_228_Du-604	544	100578	0.00540873749727
chloroplast	ABAB_MAD_LP_223_Du-590	CY_BGL_LP_210_Du-577	545	101015	0.00539523833094
chloroplast	ABAB_MAD_LP_223_Du-590	CY_BGL_LP_212_Du-579	551	101082	0.00545101996399
chloroplast	ABAB_MAD_LP_223_Du-590	CY_BOU_LP_288_Du-737	437	101106	0.00432219650664
chloroplast	ABAB_MAD_LP_223_Du-590	CY_BOU_LP_290_Du-739	438	101130	0.00433105903293
chloroplast	ABAB_MAD_LP_223_Du-590	CY_BOU_LP_291_Du-740	438	101128	0.00433114468792
chloroplast	ABAB_MAD_LP_223_Du-590	CY_BOU_LP_292_Du-741	438	101130	0.00433105903293
chloroplast	ABAB_MAD_LP_223_Du-590	CY_BOU_LP_354_Du-742	438	101130	0.00433105903293
chloroplast	ABAB_MAD_LP_223_Du-590	CY_CAS_LP_328_Du-610	556	101077	0.00550075684874
chloroplast	ABAB_MAD_LP_223_Du-590	CY_CAS_LP_329_Du-611	432	100969	0.00427854093831
