feature_id	reason
feature_00002	below_threshold:coverage=0.3351;identity=98.058
feature_00003	below_threshold:coverage=0.3906;identity=99.302
feature_00004	below_threshold:coverage=0.2846;identity=98.481
feature_00005	below_threshold:coverage=0.6051;identity=99.754
feature_00006	no_hit
feature_00007	no_hit
feature_00009	below_threshold:coverage=0.5845;identity=99.609
feature_00010	below_threshold:coverage=0.6832;identity=98.863
feature_00011	below_threshold:coverage=0.3941;identity=100.000
feature_00014	no_hit
feature_00015	no_hit
feature_00028	below_threshold:coverage=0.2067;identity=99.227
feature_00029	below_threshold:coverage=0.3967;identity=99.227
feature_00038	no_hit
feature_00041	no_hit
feature_00042	no_hit
feature_00043	no_hit
feature_00044	no_hit
feature_00045	no_hit
feature_00046	no_hit
feature_00049	no_hit
feature_00050	no_hit
feature_00051	no_hit
feature_00052	no_hit
feature_00053	no_hit
feature_00054	no_hit
feature_00055	no_hit
feature_00056	no_hit
feature_00057	no_hit
feature_00065	below_threshold:coverage=0.3461;identity=99.612
feature_00076	no_hit
feature_00077	no_hit
feature_00078	below_threshold:coverage=0.5123;identity=97.238
feature_00079	below_threshold:coverage=0.4879;identity=98.429
feature_00089	below_threshold:coverage=0.0704;identity=69.130
feature_00090	below_threshold:coverage=0.0704;identity=69.130
feature_00091	below_threshold:coverage=0.9863;identity=83.333
feature_00092	below_threshold:coverage=0.9863;identity=83.333
feature_00095	no_hit
feature_00096	no_hit
feature_00097	no_hit
feature_00098	no_hit
