feature_id	reason
feature_00003	below_threshold:coverage=0.6210;identity=100.000
feature_00009	below_threshold:coverage=0.6528;identity=93.617
feature_00023	below_threshold:coverage=0.6032;identity=100.000
feature_00024	below_threshold:coverage=0.5833;identity=100.000
feature_00025	below_threshold:coverage=0.5833;identity=100.000
feature_00029	below_threshold:coverage=0.7405;identity=98.540
feature_00039	below_threshold:coverage=0.7889;identity=99.569
feature_00075	below_threshold:coverage=0.4490;identity=100.000
feature_00083	below_threshold:coverage=0.5747;identity=100.000
feature_00092	below_threshold:coverage=0.5067;identity=100.000
feature_00136	below_threshold:coverage=0.6210;identity=100.000
feature_00138	below_threshold:coverage=0.5051;identity=99.327
feature_00173	below_threshold:coverage=0.5273;identity=100.000
feature_00184	below_threshold:coverage=0.5068;identity=100.000
feature_00192	below_threshold:coverage=0.5513;identity=100.000
feature_00194	below_threshold:coverage=0.5205;identity=100.000
feature_00225	below_threshold:coverage=0.5083;identity=99.275
feature_00244	below_threshold:coverage=0.5205;identity=100.000
feature_00246	below_threshold:coverage=0.5513;identity=100.000
feature_00254	below_threshold:coverage=0.5068;identity=100.000
feature_00265	below_threshold:coverage=0.5273;identity=100.000
