query_genome	feature_type	gene	name	product	query_start	query_end	strand	method	confidence	pident	query_coverage	aligned_length	evalue	bitscore	ref_accession	ref_description	ref_start	ref_end
mitochondria	CDS	ccmFC	ccmFC	ccmFC	3653	4419	+	blastn_feature_transfer	low	99.478	0.584	767	0.0	1366.0	PV608516.1	Sedum sarmentosum mitochondrion, complete genome	1	156728
mitochondria	CDS	ccmFc	ccmFc	cytochrome c biogenesis FC	3653	4420	+	blastn_feature_transfer	low	99.609	0.584	768	0.0	1372.0	PV256627.1	Graptopetalum paraguayense mitochondrion, complete genome	3529	5783
mitochondria	CDS	ccmFC	ccmFC	ccmFC	3653	4420	+	tblastn_protein_transfer	low	99.609	0.586	256	1.21e-151	470.0	PV608516.1	Sedum sarmentosum mitochondrion, complete genome	1	156728
mitochondria	CDS	ccmFc	ccmFc	cytochrome c biogenesis FC	3653	4420	+	tblastn_protein_transfer	low	99.219	0.586	256	6.04e-151	468.0	PV256627.1	Graptopetalum paraguayense mitochondrion, complete genome	3529	5783
mitochondria	CDS	ccmFc	ccmFc	CcmFc	3653	4421	+	blastn_feature_transfer	low	99.22	0.583	769	0.0	1361.0	NC_070303.1	Rhodiola crenulata mitochondrion, complete genome	95583	97833
mitochondria	gene	ccmFc	ccmFc		3653	5907	+	blastn_feature_transfer	high	99.512	1.0	2255	0.0	4018.0	PV256627.1	Graptopetalum paraguayense mitochondrion, complete genome	3529	5783
mitochondria	gene	ccmFC	ccmFC		3653	5907	+	blastn_feature_transfer	high	99.024	1.0	2255	0.0	3968.0	NC_069572.1	Sedum plumbizincicola voucher KPBK001 mitochondrion, complete genome	49522	51776
mitochondria	gene		QQ045_002857		3655	6088	+	blastn_feature_transfer	medium	98.605	0.66	2438	0.0	4242.0	CM082116.1	Rhodiola kirilowii isolate R_Ki mitochondrion, complete sequence, whole genome shotgun sequence	56478	60172
mitochondria	CDS	ccmFc	ccmFc	CcmFc	3692	4420	+	tblastn_protein_transfer	low	98.354	0.57	243	1.02e-140	438.0	NC_082108.1	Rhodiola juparensis mitochondrion, complete genome	6793	9004
mitochondria	CDS	ccmFc	ccmFc	CcmFc	3692	4421	+	blastn_feature_transfer	low	99.178	0.57	730	0.0	1290.0	NC_082108.1	Rhodiola juparensis mitochondrion, complete genome	6793	9004
mitochondria	CDS		QQ045_002857	hypothetical protein	3692	4534	+	tblastn_protein_transfer	high	98.577	1.0	281	4.05e-170	515.0	CM082116.1	Rhodiola kirilowii isolate R_Ki mitochondrion, complete sequence, whole genome shotgun sequence	59049	59894
mitochondria	CDS		QQ045_002857	hypothetical protein	3692	4537	+	blastn_feature_transfer	high	99.173	1.0	846	0.0	1495.0	CM082116.1	Rhodiola kirilowii isolate R_Ki mitochondrion, complete sequence, whole genome shotgun sequence	59049	59894
mitochondria	gene	ccmFc	ccmFc		3692	5907	+	blastn_feature_transfer	high	98.872	1.002	2216	0.0	3883.0	NC_082108.1	Rhodiola juparensis mitochondrion, complete genome	6793	9004
mitochondria	CDS	ccmFc	ccmFc	CcmFc	5344	5904	+	tblastn_protein_transfer	weak	98.396	0.439	187	3.12e-110	350.0	NC_082108.1	Rhodiola juparensis mitochondrion, complete genome	6793	9004
mitochondria	CDS	ccmFc	ccmFc	CcmFc	5355	5907	+	blastn_feature_transfer	weak	99.458	0.432	553	0.0	985.0	NC_082108.1	Rhodiola juparensis mitochondrion, complete genome	6793	9004
mitochondria	CDS	ccmFC	ccmFC	ccmFC	5359	5904	+	tblastn_protein_transfer	weak	98.901	0.416	182	3.68e-108	345.0	PV608516.1	Sedum sarmentosum mitochondrion, complete genome	1	156728
mitochondria	CDS	ccmFc	ccmFc	cytochrome c biogenesis FC	5359	5904	+	tblastn_protein_transfer	weak	98.901	0.416	182	3.47e-108	345.0	PV256627.1	Graptopetalum paraguayense mitochondrion, complete genome	3529	5783
mitochondria	CDS	ccmFC	ccmFC	ccmFC	5360	5907	+	blastn_feature_transfer	weak	99.818	0.417	548	0.0	985.0	PV608516.1	Sedum sarmentosum mitochondrion, complete genome	1	156728
mitochondria	CDS	ccmFc	ccmFc	cytochrome c biogenesis FC	5362	5907	+	blastn_feature_transfer	weak	99.817	0.416	546	0.0	981.0	PV256627.1	Graptopetalum paraguayense mitochondrion, complete genome	3529	5783
mitochondria	gene	cox1	cox1		6974	8543	+	blastn_feature_transfer	high	99.236	0.991	1570	0.0	2778.0	OP312069.1	Rhodiola wallichiana chromosome 2 mitochondrion, complete sequence	75779	77362
mitochondria	CDS	cox1	cox1	cytochrome c oxidase subunit 1	6974	8543	+	blastn_feature_transfer	high	99.236	0.991	1570	0.0	2778.0	OP312069.1	Rhodiola wallichiana chromosome 2 mitochondrion, complete sequence	75779	77362
mitochondria	CDS	cox1	cox1	cytochrome c oxidase subunit 1	6974	8545	+	tblastn_protein_transfer	high	99.618	0.994	524	0.0	984.0	OP312069.1	Rhodiola wallichiana chromosome 2 mitochondrion, complete sequence	75779	77362
mitochondria	CDS	COX1	COX1	cytochrome c oxidase subunit I	6974	8554	+	tblastn_protein_transfer	high	100.0	1.0	527	0.0	994.0	PV256627.1	Graptopetalum paraguayense mitochondrion, complete genome	102894	104477
mitochondria	CDS	cox1	cox1	cox1	6974	8554	+	tblastn_protein_transfer	high	100.0	1.0	527	0.0	994.0	PV608516.1	Sedum sarmentosum mitochondrion, complete genome	23359	24942
mitochondria	gene	COX1	COX1		6974	8557	+	blastn_feature_transfer	high	99.242	1.0	1584	0.0	2803.0	PV256627.1	Graptopetalum paraguayense mitochondrion, complete genome	102894	104477
