feature_type	gene	nc085682_feature_count	candidate_projected_present_count	candidate_projected_partial_count	candidate_projected_absent_count	candidate_draft_feature_count	status
CDS	accD	1	1	0	0	1	match
CDS	atpA	1	1	0	0	1	match
CDS	atpB	1	1	0	0	1	match
CDS	atpE	1	1	0	0	1	match
CDS	atpF	1	1	0	0	1	match
CDS	atpH	1	1	0	0	1	match
CDS	atpI	1	1	0	0	1	match
CDS	ccsA	1	1	0	0	1	match
CDS	cemA	1	1	0	0	1	match
CDS	clpP	1	1	0	0	1	match
CDS	infA	1	1	0	0	1	match
CDS	lhbA	1	1	0	0	1	match
CDS	matK	1	1	0	0	1	match
CDS	ndhA	1	1	0	0	1	match
CDS	ndhB	2	2	0	0	1	present_by_alignment_draft_count_diff
CDS	ndhC	1	1	0	0	1	match
CDS	ndhD	1	1	0	0	1	match
CDS	ndhE	1	1	0	0	1	match
CDS	ndhF	1	1	0	0	1	match
CDS	ndhG	1	1	0	0	1	match
CDS	ndhH	1	1	0	0	1	match
CDS	ndhI	1	1	0	0	1	match
CDS	ndhJ	1	1	0	0	1	match
CDS	petA	1	1	0	0	1	match
CDS	petB	1	1	0	0	1	match
CDS	petD	1	1	0	0	1	match
CDS	petG	1	1	0	0	1	match
CDS	petL	1	1	0	0	1	match
CDS	petN	1	1	0	0	1	match
CDS	psaA	1	1	0	0	1	match
CDS	psaB	1	1	0	0	1	match
CDS	psaC	1	1	0	0	1	match
CDS	psaI	1	1	0	0	1	match
CDS	psaJ	1	1	0	0	1	match
CDS	psbA	1	1	0	0	1	match
CDS	psbB	1	1	0	0	1	match
CDS	psbC	1	1	0	0	1	match
CDS	psbD	1	1	0	0	1	match
CDS	psbE	1	1	0	0	1	match
CDS	psbF	1	1	0	0	1	match
CDS	psbH	1	1	0	0	1	match
CDS	psbI	1	1	0	0	1	match
CDS	psbJ	1	1	0	0	1	match
CDS	psbK	1	1	0	0	1	match
CDS	psbL	1	1	0	0	1	match
CDS	psbM	1	1	0	0	1	match
CDS	psbN	1	1	0	0	1	match
CDS	psbT	1	1	0	0	1	match
CDS	rbcL	1	1	0	0	1	match
CDS	rpl14	1	1	0	0	1	match
CDS	rpl16	1	1	0	0	1	match
CDS	rpl2	2	2	0	0	1	present_by_alignment_draft_count_diff
CDS	rpl20	1	1	0	0	1	match
CDS	rpl22	1	1	0	0	1	match
CDS	rpl23	2	2	0	0	1	present_by_alignment_draft_count_diff
CDS	rpl32	1	1	0	0	1	match
CDS	rpl33	1	1	0	0	1	match
CDS	rpl36	1	1	0	0	1	match
CDS	rpoA	1	1	0	0	1	match
CDS	rpoB	1	1	0	0	1	match
CDS	rpoC1	1	1	0	0	1	match
CDS	rpoC2	1	1	0	0	1	match
CDS	rps11	1	1	0	0	1	match
CDS	rps12	2	2	0	0	1	present_by_alignment_draft_count_diff
CDS	rps14	1	1	0	0	1	match
CDS	rps15	1	1	0	0	1	match
CDS	rps16	1	1	0	0	1	match
CDS	rps18	1	1	0	0	1	match
CDS	rps19	1	1	0	0	1	match
CDS	rps2	1	1	0	0	1	match
CDS	rps3	1	1	0	0	1	match
CDS	rps4	1	1	0	0	1	match
CDS	rps7	2	2	0	0	1	present_by_alignment_draft_count_diff
CDS	rps8	1	1	0	0	1	match
CDS	ycf1	1	1	0	0	1	match
CDS	ycf2	2	2	0	0	1	present_by_alignment_draft_count_diff
CDS	ycf3	1	1	0	0	1	match
CDS	ycf4	1	1	0	0	1	match
gene	accD	1	1	0	0	1	match
gene	atpA	1	1	0	0	1	match
gene	atpB	1	1	0	0	1	match
gene	atpE	1	1	0	0	1	match
gene	atpF	1	1	0	0	1	match
gene	atpH	1	1	0	0	1	match
gene	atpI	1	1	0	0	1	match
gene	ccsA	1	1	0	0	1	match
gene	cemA	1	1	0	0	1	match
gene	clpP	1	1	0	0	1	match
gene	infA	1	1	0	0	1	match
gene	lhbA	1	1	0	0	1	match
gene	matK	1	1	0	0	1	match
gene	ndhA	1	1	0	0	1	match
