organelle	target_type	label	coordinates	reason
chloroplast	IR_boundary	IR-A	71834-97569	Confirm IR/single-copy junction and annotation placement in IGV.
chloroplast	IR_boundary	IR-B	114282-140017	Confirm IR/single-copy junction and annotation placement in IGV.
chloroplast	terminal_duplicate	terminal direct duplicate removal point	150275-176964	Raw cpDNA contains terminal redundancy; inspect before final coordinate use.
chloroplast	CDS_REVIEW	ycf3	32954-33181:-	no_terminal_stop:TAC;partial_homology_coverage:0.450;weak_confidence
chloroplast	CDS_REVIEW	pafI	32954-33183:-	length_not_multiple_of_3;non_ATG_start:GGA;no_terminal_stop:TAC;internal_stop_count:5;partial_homology_coverage:0.454;low_confidence
chloroplast	CDS_REVIEW	clpP1	57676-58002:-	non_ATG_start:CCG;no_terminal_stop:GAG;partial_homology_coverage:0.559;low_confidence
chloroplast	CDS_REVIEW	clpP	57676-58002:-	non_ATG_start:CCG;no_terminal_stop:GAG;partial_homology_coverage:0.559;low_confidence
chloroplast	CDS_REVIEW	rpl2	71998-72432:-	non_ATG_start:ACC;partial_homology_coverage:0.527;low_confidence
chloroplast	CDS_REVIEW	ndhB	83955-84731:-	no_terminal_stop:GGA;partial_homology_coverage:0.508;low_confidence
chloroplast	CDS_REVIEW	rps12	86133-86366:-	non_ATG_start:ACT;no_terminal_stop:AGT;partial_homology_coverage:0.634;low_confidence
chloroplast	CDS_REVIEW	ndhA	103403-103954:+	no_terminal_stop:CTA;partial_homology_coverage:0.508;low_confidence
chloroplast	CDS_REVIEW	NADH dehydrogenase subunit A	103403-103954:+	no_terminal_stop:CTA;partial_homology_coverage:0.506;low_confidence
mitochondria	CDS_REVIEW	ccmFC	3653-4420:+	no_terminal_stop:TCG;partial_homology_coverage:0.586;low_confidence
mitochondria	CDS_REVIEW	ND7	64292-64758:+	length_not_multiple_of_3;non_ATG_start:CTA;no_terminal_stop:GTC;internal_stop_count:4;partial_homology_coverage:0.394;weak_confidence
mitochondria	CDS_REVIEW	nad7	64292-64758:+	length_not_multiple_of_3;non_ATG_start:CTA;no_terminal_stop:GTC;internal_stop_count:4;partial_homology_coverage:0.394;weak_confidence
mitochondria	CDS_REVIEW	ND1	93740-94127:-	length_not_multiple_of_3;non_ATG_start:ACG;no_terminal_stop:ATT;partial_homology_coverage:0.397;weak_confidence
mitochondria	CDS_REVIEW	nad1	93740-94127:-	length_not_multiple_of_3;non_ATG_start:ACG;no_terminal_stop:ATT;partial_homology_coverage:0.397;weak_confidence
mitochondria	CDS_REVIEW	nad5	96490-97710:-	non_ATG_start:GTG;no_terminal_stop:GTG;partial_homology_coverage:0.613;low_confidence
mitochondria	CDS_REVIEW	ND5	96493-97710:-	non_ATG_start:GTG;no_terminal_stop:AAA;partial_homology_coverage:0.606;low_confidence
mitochondria	CDS_REVIEW	QQ045_002858	107726-108136:-	non_ATG_start:CAA;no_terminal_stop:AGA;weak_confidence
mitochondria	CDS_REVIEW	ND2	151406-152176:+	non_ATG_start:CTA;no_terminal_stop:CTT;partial_homology_coverage:0.531;low_confidence
chloroplast	overlapping_CDS	lhbA|psbZ	25233-25421 overlaps 25233-25421 by 189 bp (1.00 of shorter)	Likely duplicate or synonym call to inspect before curated use.
chloroplast	overlapping_CDS	ycf3|pafI	32954-33181 overlaps 32954-33183 by 228 bp (1.00 of shorter)	Likely duplicate or synonym call to inspect before curated use.
chloroplast	overlapping_CDS	pafII|ycf4	48149-48703 overlaps 48149-48703 by 555 bp (1.00 of shorter)	Likely duplicate or synonym call to inspect before curated use.
chloroplast	overlapping_CDS	clpP1|clpP	57676-58002 overlaps 57676-58002 by 327 bp (1.00 of shorter)	Likely duplicate or synonym call to inspect before curated use.
chloroplast	overlapping_CDS	pbf1|psbN	62001-62132 overlaps 62001-62132 by 132 bp (1.00 of shorter)	Likely duplicate or synonym call to inspect before curated use.
chloroplast	overlapping_CDS	ndhA|NADH_dehydrogenase_subunit_A	103403-103954 overlaps 103403-103954 by 552 bp (1.00 of shorter)	Likely duplicate or synonym call to inspect before curated use.
mitochondria	overlapping_CDS	ccmFC|QQ045_002857	3653-4420 overlaps 3692-4537 by 729 bp (0.95 of shorter)	Likely duplicate or synonym call to inspect before curated use.
mitochondria	overlapping_CDS	ND7|nad7	64292-64758 overlaps 64292-64758 by 467 bp (1.00 of shorter)	Likely duplicate or synonym call to inspect before curated use.
mitochondria	overlapping_CDS	ND9|nad9	80519-81088 overlaps 80519-81088 by 570 bp (1.00 of shorter)	Likely duplicate or synonym call to inspect before curated use.
mitochondria	overlapping_CDS	ND1|nad1	93740-94127 overlaps 93740-94127 by 388 bp (1.00 of shorter)	Likely duplicate or synonym call to inspect before curated use.
mitochondria	overlapping_CDS	nad5|ND5	96490-97710 overlaps 96493-97710 by 1218 bp (1.00 of shorter)	Likely duplicate or synonym call to inspect before curated use.
mitochondria	overlapping_CDS	rps7|QQ045_002858	107717-108163 overlaps 107726-108136 by 411 bp (1.00 of shorter)	Likely duplicate or synonym call to inspect before curated use.
mitochondria	overlapping_CDS	CYTB|cob	111447-112628 overlaps 111471-112628 by 1158 bp (1.00 of shorter)	Likely duplicate or synonym call to inspect before curated use.
mitochondria	overlapping_CDS	ND4L|nad4L	121584-121886 overlaps 121584-121886 by 303 bp (1.00 of shorter)	Likely duplicate or synonym call to inspect before curated use.
mitochondria	overlapping_CDS	ND2|nad2	151406-152176 overlaps 151412-152176 by 765 bp (1.00 of shorter)	Likely duplicate or synonym call to inspect before curated use.
mitochondria	overlapping_CDS	QQ045_002855|ATP1	241601-243133 overlaps 241604-243133 by 1530 bp (1.00 of shorter)	Likely duplicate or synonym call to inspect before curated use.
