sample_id	reference_length	analysis_mask_bases	callable_bases	callable_fraction_of_reference	callable_fraction_of_analysis_mask	reference_matches_at_callable_bases	nonreference_callable_bases	callable_reference_identity
ABAB_MAD_LP_223_Du-590	150274	124538	101133	0.67299067	0.81206539	100646	487	0.995184558947
ABAB_MAD_LP_322_Du-593	150274	124538	103592	0.68935411	0.83181037	103099	493	0.995240945247
ABAB_MAD_LP_323_Du-594	150274	124538	101049	0.67243169	0.81139090	100567	482	0.995230036913
ABAB_MAD_LP_324_Du-595	150274	124538	101160	0.67317034	0.81228219	100680	480	0.995255041518
ABAB_MAD_LP_325_Du-596	150274	124538	101936	0.67833424	0.81851322	101451	485	0.995242112698
ABAB_MAD_LP_326_Du-597	150274	124538	101576	0.67593862	0.81562254	101092	484	0.995235094904
ABAB_MAD_LP_327_Du-598	150274	124538	101061	0.67251155	0.81148726	100578	483	0.995220708285
ABBE_BERN_LP_311_Du-780	150274	124538	103018	0.68553442	0.82720134	102427	591	0.994263138481
ABBE_BERN_LP_312_Du-781	150274	124538	101794	0.67738930	0.81737301	101208	586	0.994243275635
ABBE_BERN_LP_313_Du-782	150274	124538	101658	0.67648429	0.81628097	101073	585	0.994245411084
ABBE_BERN_LP_314_Du-783	150274	124538	101419	0.67489386	0.81436188	100847	572	0.994360031158
ABMU_HOR_LP_306_Du-775	150274	124538	102538	0.68234026	0.82334709	102047	491	0.995211531335
ABMU_HOR_LP_308_Du-777	150274	124538	102713	0.68350480	0.82475228	102225	488	0.995248897413
ABMU_HOR_LP_358_Du-770	150274	124538	103391	0.68801656	0.83019641	102896	495	0.995212349237
ABMU_HOR_LP_359_Du-771	150274	124538	103333	0.68763059	0.82973068	102841	492	0.995238694318
ABMU_HOR_LP_360_Du-772	150274	124538	103743	0.69035894	0.83302285	103249	494	0.995238232941
ABMU_HOR_LP_361_Du-773	150274	124538	103376	0.68791674	0.83007596	102883	493	0.995231001393
BAI_LP_105_Du-222	150274	124538	105977	0.70522512	0.85096115	105802	175	0.998348698302
BAI_LP_106_Du-223	150274	124538	106000	0.70537818	0.85114584	105823	177	0.998330188679
BAI_LP_108_Du-225	150274	124538	105610	0.70278292	0.84801426	105439	171	0.998380835148
BAI_LP_109_Du-226	150274	124538	105608	0.70276961	0.84799820	105433	175	0.998342928566
BAI_LP_110_Du-227	150274	124538	106328	0.70756086	0.85377957	106150	178	0.998325934843
