sample_id	reference_length	analysis_mask_bases	callable_bases	callable_fraction_of_reference	callable_fraction_of_analysis_mask	reference_matches_at_callable_bases	nonreference_callable_bases	callable_reference_identity
ABAB_MAD_LP_223_Du-590	243359	43182	38963	0.16010503	0.90229725	38941	22	0.999435361753
ABAB_MAD_LP_322_Du-593	243359	43182	43159	0.17734705	0.99946737	43135	24	0.99944391668
ABAB_MAD_LP_323_Du-594	243359	43182	42859	0.17611430	0.99252003	42834	25	0.999416691943
ABAB_MAD_LP_324_Du-595	243359	43182	43159	0.17734705	0.99946737	43134	25	0.999420746542
ABAB_MAD_LP_325_Du-596	243359	43182	43155	0.17733061	0.99937474	43134	21	0.999513381995
ABAB_MAD_LP_326_Du-597	243359	43182	43158	0.17734294	0.99944421	43135	23	0.999467074471
ABAB_MAD_LP_327_Du-598	243359	43182	42260	0.17365292	0.97864851	42237	23	0.999455750118
ABBE_BERN_LP_311_Du-780	243359	43182	43163	0.17736348	0.99956000	43136	27	0.99937446424
ABBE_BERN_LP_312_Du-781	243359	43182	43162	0.17735937	0.99953684	43136	26	0.999397618275
ABBE_BERN_LP_313_Du-782	243359	43182	42978	0.17660329	0.99527581	42951	27	0.999371771604
ABBE_BERN_LP_314_Du-783	243359	43182	43163	0.17736348	0.99956000	43136	27	0.99937446424
ABMU_HOR_LP_306_Du-775	243359	43182	43164	0.17736759	0.99958316	43145	19	0.999559818367
ABMU_HOR_LP_308_Du-777	243359	43182	43164	0.17736759	0.99958316	43145	19	0.999559818367
ABMU_HOR_LP_358_Du-770	243359	43182	43159	0.17734705	0.99946737	43137	22	0.999490256957
ABMU_HOR_LP_359_Du-771	243359	43182	43160	0.17735116	0.99949053	43141	19	0.999559777572
ABMU_HOR_LP_360_Du-772	243359	43182	43159	0.17734705	0.99946737	43139	20	0.999536597233
ABMU_HOR_LP_361_Du-773	243359	43182	43159	0.17734705	0.99946737	43140	19	0.999559767372
BAI_LP_105_Du-222	243359	43182	43171	0.17739636	0.99974526	43166	5	0.999884181511
BAI_LP_106_Du-223	243359	43182	43181	0.17743745	0.99997684	43175	6	0.999861049999
BAI_LP_108_Du-225	243359	43182	43176	0.17741690	0.99986105	43171	5	0.999884194923
BAI_LP_109_Du-226	243359	43182	43181	0.17743745	0.99997684	43176	5	0.999884208332
BAI_LP_110_Du-227	243359	43182	43174	0.17740868	0.99981474	43168	6	0.99986102747
BAI_LP_111_Du-228	243359	43182	43178	0.17742512	0.99990737	43172	6	0.999861040345
BAI_LP_112_Du-230	243359	43182	43174	0.17740868	0.99981474	43169	5	0.999884189559
BAI_LP_113_Du-231	243359	43182	43180	0.17743334	0.99995368	43174	6	0.999861046781
BAI_LP_114_Du-232	243359	43182	43170	0.17739225	0.99972211	43165	5	0.999884178828
BAI_LP_319_Du-233	243359	43182	43164	0.17736759	0.99958316	43159	5	0.999884162728
COM_LP_269_Du-703	243359	43182	43180	0.17743334	0.99995368	43172	8	0.999814729041
COM_LP_270_Du-704	243359	43182	43178	0.17742512	0.99990737	43172	6	0.999861040345
COM_LP_272_Du-707	243359	43182	43181	0.17743745	0.99997684	43175	6	0.999861049999
COM_LP_274_Du-709	243359	43182	43182	0.17744156	1.00000000	43175	7	0.999837895419
COM_LP_276_Du-711	243359	43182	43179	0.17742923	0.99993053	43173	6	0.999861043563
COM_LP_277_Du-712	243359	43182	43178	0.17742512	0.99990737	43171	7	0.999837880402
COM_LP_341_Du-713	243359	43182	43176	0.17741690	0.99986105	43170	6	0.999861033908
COM_LP_342_Du-714	243359	43182	43176	0.17741690	0.99986105	43170	6	0.999861033908
COM_LP_343_Du-715	243359	43182	43179	0.17742923	0.99993053	43172	7	0.999837884157
CROB_LP_169_Du-381	243359	43182	42189	0.17336117	0.97700431	42188	1	0.999976297139
CROB_LP_170_Du-382	243359	43182	43182	0.17744156	1.00000000	43178	4	0.999907368811
CROB_LP_172_Du-384	243359	43182	43177	0.17742101	0.99988421	43175	2	0.999953679042
CROB_LP_173_Du-385	243359	43182	43178	0.17742512	0.99990737	43174	4	0.99990736023
CROB_LP_174_Du-386	243359	43182	43181	0.17743745	0.99997684	43177	4	0.999907366666
CROB_LP_175_Du-387	243359	43182	43178	0.17742512	0.99990737	43174	4	0.99990736023
CROB_LP_176_Du-388	243359	43182	43182	0.17744156	1.00000000	43178	4	0.999907368811
CROB_LP_177_Du-389	243359	43182	43181	0.17743745	0.99997684	43177	4	0.999907366666
CROB_LP_320_Du-395	243359	43182	43178	0.17742512	0.99990737	43174	4	0.99990736023
CROB_LP_321_Du-396	243359	43182	43178	0.17742512	0.99990737	43174	4	0.99990736023
CROS_LP_085_Du-181	243359	43182	43182	0.17744156	1.00000000	43178	4	0.999907368811
CROS_LP_086_Du-182	243359	43182	43182	0.17744156	1.00000000	43178	4	0.999907368811
CROS_LP_087_Du-183	243359	43182	43181	0.17743745	0.99997684	43177	4	0.999907366666
CROS_LP_088_Du-184	243359	43182	43182	0.17744156	1.00000000	43178	4	0.999907368811
CROS_LP_089_Du-185	243359	43182	43182	0.17744156	1.00000000	43179	3	0.999930526608
CROS_LP_090_Du-186	243359	43182	43182	0.17744156	1.00000000	43178	4	0.999907368811
CROS_LP_091_Du-187	243359	43182	43179	0.17742923	0.99993053	43177	2	0.999953681188
CROS_LP_092_Du-188	243359	43182	43175	0.17741279	0.99983790	43173	2	0.999953676896
CROS_LP_093_Du-189	243359	43182	43182	0.17744156	1.00000000	43181	1	0.999976842203
CROS_LP_094_Du-190	243359	43182	43176	0.17741690	0.99986105	43174	2	0.999953677969
CY_ALA_LP_298-Du-767	243359	43182	43164	0.17736759	0.99958316	43157	7	0.999837827819
CY_ALA_LP_299-Du-768	243359	43182	43165	0.17737170	0.99960632	43158	7	0.999837831577
CY_ALA_LP_357_Du-769	243359	43182	43167	0.17737992	0.99965263	43160	7	0.99983783909
CY_BAL_LP_226_Du-602	243359	43182	42879	0.17619648	0.99298319	42850	29	0.999323678257
CY_BAL_LP_227_Du-603	243359	43182	42638	0.17520618	0.98740216	42611	27	0.999366762043
CY_BGL_LP_210_Du-577	243359	43182	43165	0.17737170	0.99960632	43137	28	0.999351326306
CY_BGL_LP_212_Du-579	243359	43182	43162	0.17735937	0.99953684	43135	27	0.999374449747
CY_BOU_LP_288_Du-737	243359	43182	42558	0.17487744	0.98554953	42555	3	0.999929507966
CY_BOU_LP_290_Du-739	243359	43182	43172	0.17740047	0.99976842	43168	4	0.999907347355
CY_BOU_LP_291_Du-740	243359	43182	43171	0.17739636	0.99974526	43167	4	0.999907345209
CY_BOU_LP_292_Du-741	243359	43182	43171	0.17739636	0.99974526	43167	4	0.999907345209
CY_BOU_LP_354_Du-742	243359	43182	43172	0.17740047	0.99976842	43168	4	0.999907347355
CY_CAS_LP_328_Du-610	243359	43182	43149	0.17730596	0.99923579	43108	41	0.999049804167
CY_CAS_LP_329_Du-611	243359	43182	43171	0.17739636	0.99974526	43165	6	0.999861017813
CY_CAS_LP_330_Du-607	243359	43182	43067	0.17696900	0.99733685	43062	5	0.999883901827
CY_CAS_LP_331_Du-608	243359	43182	43163	0.17736348	0.99956000	43157	6	0.999860992053
CY_CAS_LP_332_Du-609	243359	43182	43173	0.17740458	0.99979158	43167	6	0.999861024251
CY_HICN_LP_236_Du-614	243359	43182	43172	0.17740047	0.99976842	43130	42	0.999027147225
CY_HICN_LP_333_Du-612	243359	43182	43159	0.17734705	0.99946737	43125	34	0.999212215297
CY_HICN_LP_334_Du-613	243359	43182	43167	0.17737992	0.99965263	43127	40	0.999073366229
CY_HICN_LP_335_Du-615	243359	43182	43170	0.17739225	0.99972211	43129	41	0.999050266389
CY_HICN_LP_336_Du-616	243359	43182	43169	0.17738814	0.99969895	43127	42	0.999027079617
CY_HICS_LP_293_Du-757	243359	43182	43172	0.17740047	0.99976842	43168	4	0.999907347355
CY_HICS_LP_297_Du-761	243359	43182	42618	0.17512399	0.98693900	42614	4	0.999906142944
CY_HICS_LP_355_Du-762	243359	43182	43171	0.17739636	0.99974526	43167	4	0.999907345209
CY_HICS_LP_356_Du-763	243359	43182	43158	0.17734294	0.99944421	43154	4	0.999907317299
CY_HUN_LP_264_Du-683	243359	43182	41789	0.17171750	0.96774119	41758	31	0.999258177989
CY_HUN_LP_266_Du-685	243359	43182	42937	0.17643481	0.99432634	42904	33	0.999231432098
