ref_order_index	candidate_projected_order_index	gene	ref_start	ref_end	ref_strand	candidate_projected_start	candidate_projected_end	candidate_projected_strand	projection_orientation	projected_query_coverage	block_order_status	ir_copy_note
1	1	trnH-GUG	1	73	-	1	73	-	+	1.000000	collinear_same_orientation	single_copy_region
2	2	psbA	343	1404	-	320	1381	-	+	1.000000	collinear_same_orientation	single_copy_region
3	3	trnK-UUU	1639	4133	-	1622	4110	-	+	0.997595	collinear_same_orientation	single_copy_region
4	4	matK	1909	3411	-	1892	3394	-	+	1.000000	collinear_same_orientation	single_copy_region
5	5	rps16	4806	5856	-	4773	5828	-	+	0.998097	collinear_same_orientation	single_copy_region
6	6	trnQ-UUG	7346	7417	-	7320	7391	-	+	1.000000	collinear_same_orientation	single_copy_region
7	7	psbK	7746	7931	+	7686	7871	+	+	1.000000	collinear_same_orientation	single_copy_region
8	8	psbI	8323	8433	+	8264	8374	+	+	1.000000	collinear_same_orientation	single_copy_region
9	9	trnS-GCU	8603	8690	-	8543	8630	-	+	1.000000	collinear_same_orientation	single_copy_region
10	10	trnG-GCC	9329	10066	+	9270	10008	+	+	0.998645	collinear_same_orientation	single_copy_region
11	11	trnR-UCU	10300	10371	+	10228	10299	+	+	1.000000	collinear_same_orientation	single_copy_region
12	12	atpA	10429	11952	-	10357	11880	-	+	1.000000	collinear_same_orientation	single_copy_region
13	13	atpF	12011	13297	-	11939	13225	-	+	1.000000	collinear_same_orientation	single_copy_region
14	14	atpH	13687	13932	-	13615	13860	-	+	1.000000	collinear_same_orientation	single_copy_region
15	15	atpI	14608	15342	-	14536	15270	-	+	1.000000	collinear_same_orientation	single_copy_region
16	16	rps2	15533	16243	-	15461	16171	-	+	1.000000	collinear_same_orientation	single_copy_region
17	17	rpoC2	16553	20644	-	16481	20572	-	+	1.000000	collinear_same_orientation	single_copy_region
18	18	rpoC1	20805	23605	-	20733	23522	-	+	0.996073	collinear_same_orientation	single_copy_region
19	19	rpoB	23642	26854	-	23559	26770	-	+	0.999689	collinear_same_orientation	single_copy_region
20	20	trnC-GCA	27978	28056	+	27894	27972	+	+	1.000000	collinear_same_orientation	single_copy_region
21	21	petN	28898	28987	+	28814	28903	+	+	1.000000	collinear_same_orientation	single_copy_region
22	22	psbM	29782	29886	-	29705	29809	-	+	1.000000	collinear_same_orientation	single_copy_region
23	23	trnD-GUC	30835	30908	-	30754	30827	-	+	1.000000	collinear_same_orientation	single_copy_region
24	24	trnY-GUA	31210	31293	-	31129	31212	-	+	1.000000	collinear_same_orientation	single_copy_region
25	25	trnE-UUC	31353	31425	-	31272	31344	-	+	1.000000	collinear_same_orientation	single_copy_region
26	26	trnT-GGU	32273	32344	+	31727	31798	+	+	1.000000	collinear_same_orientation	single_copy_region
27	27	psbD	33023	34084	+	32477	33538	+	+	1.000000	collinear_same_orientation	single_copy_region
28	28	psbC	34032	35453	+	33486	34907	+	+	1.000000	collinear_same_orientation	single_copy_region
29	29	trnS-UGA	35631	35723	-	35093	35185	-	+	1.000000	collinear_same_orientation	single_copy_region
30	30	lhbA	36029	36217	+	35490	35678	+	+	1.000000	collinear_same_orientation	single_copy_region
31	31	trnG-UCC	36888	36958	+	36334	36404	+	+	1.000000	collinear_same_orientation	single_copy_region
32	32	trnfM-CAU	37096	37169	-	36542	36615	-	+	1.000000	collinear_same_orientation	single_copy_region
33	33	rps14	37332	37634	-	36778	37080	-	+	1.000000	collinear_same_orientation	single_copy_region
34	34	psaB	37749	39953	-	37195	39399	-	+	1.000000	collinear_same_orientation	single_copy_region
35	35	psaA	39979	42231	-	39425	41677	-	+	1.000000	collinear_same_orientation	single_copy_region
36	36	ycf3	42856	44814	-	42314	44273	-	+	0.997958	collinear_same_orientation	single_copy_region
37	37	trnS-GGA	45068	45154	+	44527	44613	+	+	1.000000	collinear_same_orientation	single_copy_region
38	38	rps4	45371	45976	-	44822	45427	-	+	1.000000	collinear_same_orientation	single_copy_region
39	39	trnT-UGU	46305	46377	-	45756	45828	-	+	1.000000	collinear_same_orientation	single_copy_region
40	40	trnL-UAA	46794	47389	+	46245	46835	+	+	0.991611	collinear_same_orientation	single_copy_region
41	41	trnF-GAA	47635	47707	+	47081	47153	+	+	1.000000	collinear_same_orientation	single_copy_region
42	42	ndhJ	48296	48772	-	47757	48233	-	+	1.000000	collinear_same_orientation	single_copy_region
43	43	ndhK	48880	49569	-	48341	49030	-	+	1.000000	collinear_same_orientation	single_copy_region
44	44	ndhC	49614	49976	-	49075	49437	-	+	1.000000	collinear_same_orientation	single_copy_region
45	45	trnV-UAC	50869	51513	-	50333	50978	-	+	1.000000	collinear_same_orientation	single_copy_region
46	46	trnM-CAU	51687	51759	+	51152	51224	+	+	1.000000	collinear_same_orientation	single_copy_region
47	47	atpE	51924	52325	-	51394	51795	-	+	1.000000	collinear_same_orientation	single_copy_region
48	48	atpB	52322	53818	-	51792	53288	-	+	1.000000	collinear_same_orientation	single_copy_region
49	49	rbcL	54511	55938	+	53982	55409	+	+	1.000000	collinear_same_orientation	single_copy_region
50	50	accD	56582	58027	+	56046	57486	+	+	0.996542	collinear_same_orientation	single_copy_region
51	51	psaI	58600	58710	+	58057	58167	+	+	1.000000	collinear_same_orientation	single_copy_region
52	52	ycf4	58949	59503	+	58406	58960	+	+	1.000000	collinear_same_orientation	single_copy_region
53	53	cemA	60029	60718	+	59557	60246	+	+	1.000000	collinear_same_orientation	single_copy_region
54	54	petA	60943	61905	+	60472	61434	+	+	1.000000	collinear_same_orientation	single_copy_region
55	55	psbJ	62635	62757	-	62163	62285	-	+	1.000000	collinear_same_orientation	single_copy_region
56	56	psbL	62892	63089	-	62420	62618	-	+	1.000000	collinear_same_orientation	single_copy_region
57	57	psbF	63031	63150	-	62560	62679	-	+	1.000000	collinear_same_orientation	single_copy_region
58	58	psbE	63160	63411	-	62689	62940	-	+	1.000000	collinear_same_orientation	single_copy_region
59	59	petL	64468	64563	+	64005	64100	+	+	1.000000	collinear_same_orientation	single_copy_region
60	60	petG	64734	64847	+	64272	64385	+	+	1.000000	collinear_same_orientation	single_copy_region
61	61	trnW-CCA	64974	65047	-	64512	64585	-	+	1.000000	collinear_same_orientation	single_copy_region
62	62	trnP-UGG	65201	65275	-	64739	64813	-	+	1.000000	collinear_same_orientation	single_copy_region
63	63	psaJ	65532	65666	+	65070	65204	+	+	1.000000	collinear_same_orientation	single_copy_region
64	64	rpl33	66105	66305	+	65646	65846	+	+	1.000000	collinear_same_orientation	single_copy_region
65	65	rps18	66472	66777	+	65989	66294	+	+	1.000000	collinear_same_orientation	single_copy_region
66	66	rpl20	67222	67302	-	66761	66842	-	+	1.000000	collinear_same_orientation	single_copy_region
67	67	rps12	68143	97090	-	67671	136534	+	-	1.000000	collinear_opposite_strand	IR_A_or_boundary
68	68	rps12	68143	137047	+	67671	136534	+	+	1.000000	collinear_same_orientation	IR_B_or_boundary
69	69	clpP	68402	70421	-	67930	69949	-	+	1.000000	collinear_same_orientation	single_copy_region
70	70	psbB	70862	72388	+	70390	71916	+	+	1.000000	collinear_same_orientation	single_copy_region
71	71	psbT	72568	72669	+	72096	72197	+	+	1.000000	collinear_same_orientation	single_copy_region
72	72	psbN	72730	72861	-	72258	72389	-	+	1.000000	collinear_same_orientation	single_copy_region
73	73	psbH	72964	73185	+	72492	72713	+	+	1.000000	collinear_same_orientation	single_copy_region
74	74	petB	73303	74783	+	72831	74299	+	+	0.991897	collinear_same_orientation	single_copy_region
75	75	petD	74978	76187	+	74499	75710	+	+	1.000000	collinear_same_orientation	single_copy_region
76	76	rpoA	76375	77376	-	75898	76899	-	+	1.000000	collinear_same_orientation	single_copy_region
77	77	rps11	77442	77858	-	76965	77381	-	+	1.000000	collinear_same_orientation	single_copy_region
78	78	rpl36	77975	78088	-	77498	77611	-	+	1.000000	collinear_same_orientation	single_copy_region
79	79	infA	78209	78451	-	77732	77974	-	+	1.000000	collinear_same_orientation	single_copy_region
80	80	rps8	78573	78977	-	78096	78500	-	+	1.000000	collinear_same_orientation	single_copy_region
81	81	rpl14	79128	79496	-	78651	79019	-	+	1.000000	collinear_same_orientation	single_copy_region
82	82	rpl16	79630	81048	-	79154	80573	-	+	1.000000	collinear_same_orientation	single_copy_region
83	83	rps3	81200	81856	-	80725	81381	-	+	1.000000	collinear_same_orientation	single_copy_region
84	84	rpl22	81972	82352	-	81499	81879	-	+	1.000000	collinear_same_orientation	single_copy_region
85	85	rps19	82395	82673	-	81922	150274	-	+	1.000000	collinear_same_orientation	IR_A_or_boundary
86	132	rpl2	82728	84218	-	148620	150110	+	-	1.000000	shifted_or_reordered_opposite_strand	IR_A_or_boundary
87	130	rpl23	84242	84523	-	148315	148596	+	-	1.000000	shifted_or_reordered_opposite_strand	IR_A_or_boundary
