feature_id	feature_type	gene	start_1based	end_1based	feature_length	high_confidence_overlap_bases	high_confidence_overlap_fraction	overlap_status	annotation_status
feature_00008	gene	ccmFc	3653	5907	2255	0	0.00000000	none	draft_projection
feature_00039	gene	COX1	6974	8557	1584	0	0.00000000	none	draft_projection
feature_00040	CDS	COX1	6974	8557	1584	0	0.00000000	none	draft_projection
feature_00036	gene	rpl5	11531	12088	558	0	0.00000000	none	draft_projection
feature_00037	CDS	rpl5	11531	12088	558	0	0.00000000	none	draft_projection
feature_00034	gene	rps14	12090	12305	216	0	0.00000000	none	draft_projection
feature_00035	CDS	rps14	12090	12305	216	0	0.00000000	none	draft_projection
feature_00032	gene	trnE-TTC	13704	13775	72	0	0.00000000	none	draft_projection
feature_00033	tRNA	trnE-TTC	13704	13775	72	0	0.00000000	none	draft_projection
feature_00047	gene	rpl10	20551	21039	489	0	0.00000000	none	draft_projection
feature_00048	CDS	rpl10	20551	21039	489	0	0.00000000	none	draft_projection
feature_00084	gene	ATP6	60233	61016	784	729	0.92984694	partial	draft_projection
feature_00085	CDS	ATP6	60233	61016	784	729	0.92984694	partial	draft_projection
feature_00074	gene	ND9	80519	81091	573	573	1.00000000	full	draft_projection
feature_00075	CDS	ND9	80519	81091	573	573	1.00000000	full	draft_projection
feature_00072	gene	trnW-CCA	82048	82121	74	74	1.00000000	full	draft_projection
feature_00073	tRNA	trnW-CCA	82048	82121	74	74	1.00000000	full	draft_projection
feature_00070	gene	trnM-CAT	83446	83519	74	74	1.00000000	full	draft_projection
feature_00071	tRNA	trnM-CAT	83446	83519	74	74	1.00000000	full	draft_projection
feature_00030	gene	trnM-CAT	99369	99442	74	0	0.00000000	none	draft_projection
feature_00031	tRNA	trnM-CAT	99369	99442	74	0	0.00000000	none	draft_projection
feature_00016	gene	rps7	107717	108163	447	0	0.00000000	none	draft_projection
feature_00017	CDS	rps7	107717	108163	447	0	0.00000000	none	draft_projection
feature_00018	gene	rrn18	109101	111026	1926	0	0.00000000	none	draft_projection
feature_00019	rRNA	rrn18	109101	111026	1926	0	0.00000000	none	draft_projection
feature_00020	gene	rrn5	111185	111305	121	0	0.00000000	none	draft_projection
feature_00021	rRNA	rrn5	111185	111305	121	0	0.00000000	none	draft_projection
feature_00022	gene	CYTB	111447	112628	1182	0	0.00000000	none	draft_projection
feature_00023	CDS	CYTB	111447	112628	1182	0	0.00000000	none	draft_projection
feature_00024	gene	ATP9	113023	113244	222	0	0.00000000	none	draft_projection
feature_00025	CDS	ATP9	113023	113244	222	0	0.00000000	none	draft_projection
feature_00026	gene	trnQ-TTG	113463	113534	72	0	0.00000000	none	draft_projection
feature_00027	tRNA	trnQ-TTG	113463	113534	72	0	0.00000000	none	draft_projection
feature_00068	gene	ATP4	120814	121410	597	0	0.00000000	none	draft_projection
feature_00069	CDS	ATP4	120814	121410	597	0	0.00000000	none	draft_projection
feature_00066	gene	ND4L	121584	121886	303	0	0.00000000	none	draft_projection
feature_00067	CDS	ND4L	121584	121886	303	0	0.00000000	none	draft_projection
feature_00064	gene	ND4	123186	129626	6441	0	0.00000000	none	draft_projection
feature_00062	gene	matR	133714	135661	1948	0	0.00000000	none	draft_projection
feature_00063	CDS	matR	133714	135661	1948	0	0.00000000	none	draft_projection
feature_00060	gene	trnH-GTG	138538	138611	74	0	0.00000000	none	draft_projection
feature_00061	tRNA	trnH-GTG	138538	138611	74	0	0.00000000	none	draft_projection
feature_00087	gene	COX3	141772	142569	798	0	0.00000000	none	draft_projection
feature_00088	CDS	COX3	141772	142569	798	0	0.00000000	none	draft_projection
feature_00086	gene	sdh4-pseudo	142497	142614	118	0	0.00000000	none	draft_projection
feature_00012	gene	ATP8	142792	143271	480	0	0.00000000	none	draft_projection
feature_00013	CDS	ATP8	142792	143271	480	0	0.00000000	none	draft_projection
feature_00058	gene	trnY-GTA	149258	149340	83	0	0.00000000	none	draft_projection
feature_00059	tRNA	trnY-GTA	149258	149340	83	0	0.00000000	none	draft_projection
feature_00093	gene	ccmB	223336	223956	621	589	0.94847021	partial	draft_projection
feature_00094	CDS	ccmB	223336	223956	621	589	0.94847021	partial	draft_projection
feature_00080	gene	ccmC	240456	241142	687	687	1.00000000	full	draft_projection
feature_00081	CDS	ccmC	240456	241142	687	687	1.00000000	full	draft_projection
feature_00082	gene	ATP1	241601	243133	1533	1288	0.84018265	partial	draft_projection
feature_00083	CDS	ATP1	241601	243133	1533	1288	0.84018265	partial	draft_projection
