query_genome	feature_type	gene	name	product	query_start	query_end	strand	method	confidence	pident	query_coverage	aligned_length	evalue	bitscore	ref_accession	ref_description	ref_start	ref_end
mitochondria	CDS	ccmFC	ccmFC	ccmFC	3653	4420	+	tblastn_protein_transfer	low	99.609	0.586	256	1.21e-151	470.0	PV608516.1	Sedum sarmentosum mitochondrion, complete genome	1	156728
mitochondria	gene		QQ045_002857		3655	6088	+	blastn_feature_transfer	medium	98.605	0.66	2438	0.0	4242.0	CM082116.1	Rhodiola kirilowii isolate R_Ki mitochondrion, complete sequence, whole genome shotgun sequence	56478	60172
mitochondria	CDS		QQ045_002857	hypothetical protein	3692	4537	+	blastn_feature_transfer	high	99.173	1.0	846	0.0	1495.0	CM082116.1	Rhodiola kirilowii isolate R_Ki mitochondrion, complete sequence, whole genome shotgun sequence	59049	59894
mitochondria	gene	ccmFc	ccmFc		3692	5907	+	blastn_feature_transfer	high	98.872	1.002	2216	0.0	3883.0	NC_082108.1	Rhodiola juparensis mitochondrion, complete genome	6793	9004
mitochondria	CDS	COX1	COX1	cytochrome c oxidase subunit I	6974	8554	+	tblastn_protein_transfer	high	100.0	1.0	527	0.0	994.0	PV256627.1	Graptopetalum paraguayense mitochondrion, complete genome	102894	104477
mitochondria	gene	COX1	COX1		6974	8557	+	blastn_feature_transfer	high	99.242	1.0	1584	0.0	2803.0	PV256627.1	Graptopetalum paraguayense mitochondrion, complete genome	102894	104477
mitochondria	CDS	rpl5	rpl5	ribosomal protein L5	11531	12088	+	blastn_feature_transfer	high	100.0	1.0	558	0.0	1007.0	PV256627.1	Graptopetalum paraguayense mitochondrion, complete genome	88079	88636
mitochondria	gene	rpl5	rpl5		11531	12088	+	blastn_feature_transfer	high	100.0	1.0	558	0.0	1007.0	PV256627.1	Graptopetalum paraguayense mitochondrion, complete genome	88079	88636
mitochondria	gene	rps14	rps14		12031	12287	+	blastn_feature_transfer	high	100.0	1.0	257	7.22e-133	464.0	NC_069572.1	Sedum plumbizincicola voucher KPBK001 mitochondrion, complete genome	163157	163413
mitochondria	CDS	rps14	rps14	ribosomal protein S14	12090	12305	+	blastn_feature_transfer	high	99.537	1.0	216	4.60e-109	386.0	PV256627.1	Graptopetalum paraguayense mitochondrion, complete genome	87862	88077
mitochondria	gene	trnE-TTC	trnE-TTC		13704	13775	-	blastn_feature_transfer	high	100.0	1.0	72	4.50e-33	131.0	PV256627.1	Graptopetalum paraguayense mitochondrion, complete genome	86111	86182
mitochondria	tRNA	trnE-TTC	trnE-TTC	tRNA-Glu	13704	13775	-	blastn_feature_transfer	high	100.0	1.0	72	4.50e-33	131.0	PV256627.1	Graptopetalum paraguayense mitochondrion, complete genome	86111	86182
mitochondria	gene	trnE-UUC	trnE-UUC		13704	13775	-	blastn_feature_transfer	high	100.0	1.0	72	4.50e-33	131.0	PV608516.1	Sedum sarmentosum mitochondrion, complete genome	29733	29804
