feature_type	gene_key	ir_a_count	ir_b_count	boundary_count	coordinates	status
CDS	ndhb	1	0	0	IR-A:83955-84731:-	ONE_IR_COPY_ANNOTATED
CDS	ndhf	0	0	1	IR-boundary:112099-114317:+	IR_BOUNDARY_FEATURE
CDS	rpl2	1	0	0	IR-A:71998-72432:-	ONE_IR_COPY_ANNOTATED
CDS	rpl23	1	0	0	IR-A:73512-73793:-	ONE_IR_COPY_ANNOTATED
CDS	rps12	1	0	0	IR-A:86133-86366:-	ONE_IR_COPY_ANNOTATED
CDS	rps19	0	0	1	IR-boundary:71665-71943:-	IR_BOUNDARY_FEATURE
CDS	rps7	1	0	0	IR-A:85052-85519:-	ONE_IR_COPY_ANNOTATED
CDS	ycf1	0	0	1	IR-boundary:96474-101639:+	IR_BOUNDARY_FEATURE
CDS	ycf2	0	1	0	IR-B:130955-137724:-	ONE_IR_COPY_ANNOTATED
gene	ndhb	1	0	0	IR-A:82521-84731:-	ONE_IR_COPY_ANNOTATED
gene	ndhf	0	0	1	IR-boundary:112099-114317:+	IR_BOUNDARY_FEATURE
gene	rpl2	1	0	0	IR-A:71998-73488:-	ONE_IR_COPY_ANNOTATED
gene	rpl23	1	0	0	IR-A:73512-73793:-	ONE_IR_COPY_ANNOTATED
gene	rps12	1	0	0	IR-A:85573-86366:-	ONE_IR_COPY_ANNOTATED
gene	rps19	0	0	1	IR-boundary:71665-71943:-	IR_BOUNDARY_FEATURE
gene	rps7	1	0	0	IR-A:85052-85519:-	ONE_IR_COPY_ANNOTATED
gene	rrn16	1	0	0	IR-A:87911-89400:+	ONE_IR_COPY_ANNOTATED
gene	rrn23	1	0	0	IR-A:91840-94647:+	ONE_IR_COPY_ANNOTATED
gene	rrn45	1	0	0	IR-A:94747-94849:+	ONE_IR_COPY_ANNOTATED
gene	rrn5	1	0	0	IR-A:95069-95189:+	ONE_IR_COPY_ANNOTATED
gene	trnaugc	1	0	0	IR-A:90781-91687:+	ONE_IR_COPY_ANNOTATED
gene	trnicau	1	0	0	IR-A:73959-74032:-	ONE_IR_COPY_ANNOTATED
gene	trnigau	0	1	0	IR-B:121139-122155:-	ONE_IR_COPY_ANNOTATED
gene	trnlcaa	1	0	0	IR-A:81883-81961:-	ONE_IR_COPY_ANNOTATED
gene	trnnguu	1	0	0	IR-A:96087-96159:-	ONE_IR_COPY_ANNOTATED
gene	trnracg	1	0	0	IR-A:95421-95494:+	ONE_IR_COPY_ANNOTATED
gene	trnvgac	1	0	0	IR-A:87612-87683:+	ONE_IR_COPY_ANNOTATED
gene	ycf1	0	0	1	IR-boundary:96474-101639:+	IR_BOUNDARY_FEATURE
gene	ycf15	1	0	0	IR-A:81035-81471:+	ONE_IR_COPY_ANNOTATED
gene	ycf2	0	1	0	IR-B:130955-137724:-	ONE_IR_COPY_ANNOTATED
rRNA	rrn16	1	0	0	IR-A:87911-89400:+	ONE_IR_COPY_ANNOTATED
rRNA	rrn23	1	0	0	IR-A:91840-94647:+	ONE_IR_COPY_ANNOTATED
rRNA	rrn45	1	0	0	IR-A:94747-94849:+	ONE_IR_COPY_ANNOTATED
rRNA	rrn5	1	0	0	IR-A:95069-95189:+	ONE_IR_COPY_ANNOTATED
tRNA	trnaugc	1	0	0	IR-A:90781-90818:+	ONE_IR_COPY_ANNOTATED
tRNA	trnicau	1	0	0	IR-A:73959-74032:-	ONE_IR_COPY_ANNOTATED
tRNA	trnigau	1	0	0	IR-A:89698-89740:+	ONE_IR_COPY_ANNOTATED
tRNA	trnlcaa	1	0	0	IR-A:81883-81961:-	ONE_IR_COPY_ANNOTATED
tRNA	trnnguu	1	0	0	IR-A:96087-96159:-	ONE_IR_COPY_ANNOTATED
tRNA	trnracg	1	0	0	IR-A:95421-95494:+	ONE_IR_COPY_ANNOTATED
tRNA	trnvgac	1	0	0	IR-A:87612-87683:+	ONE_IR_COPY_ANNOTATED
