feature_type	name	start	end	length_bp	confidence	repeat_overlap_bp	repeat_overlap_fraction	high_mapq_consensus_overlap_bp	high_mapq_consensus_overlap_fraction
gene	atpA	100	1623	1524	high	0	0.000000	1524	1.000000
CDS	atpA	100	1623	1524	high	0	0.000000	1524	1.000000
gene	atpF	1682	2968	1287	high	0	0.000000	1287	1.000000
CDS	atpF	1685	2158	474	high	0	0.000000	474	1.000000
gene	atpH	3358	3603	246	high	0	0.000000	246	1.000000
CDS	atpH	3358	3603	246	high	0	0.000000	246	1.000000
gene	atpI	4279	5013	735	high	0	0.000000	735	1.000000
CDS	atpI	4279	5013	735	high	0	0.000000	735	1.000000
gene	rps2	5204	5914	711	high	0	0.000000	711	1.000000
CDS	rps2	5204	5914	711	high	0	0.000000	711	1.000000
gene	rpoC2	6224	10315	4092	high	0	0.000000	4092	1.000000
CDS	rpoC2	6224	10315	4092	high	0	0.000000	4092	1.000000
CDS	rpoC1	10476	12094	1619	medium	0	0.000000	1619	1.000000
gene	rpoC1	10476	13265	2790	high	0	0.000000	2790	1.000000
gene	rpoB	13302	16513	3212	high	0	0.000000	3212	1.000000
CDS	rpoB	13302	16513	3212	high	0	0.000000	3212	1.000000
gene	trnC-GCA	17637	17715	79	high	0	0.000000	79	1.000000
tRNA	trnC-GCA	17637	17715	79	high	0	0.000000	79	1.000000
CDS	petN	18557	18646	90	high	0	0.000000	90	1.000000
gene	petN	18557	18646	90	high	0	0.000000	90	1.000000
gene	psbM	19448	19552	105	high	0	0.000000	105	1.000000
CDS	psbM	19448	19552	105	high	0	0.000000	105	1.000000
gene	trnD-GUC	20497	20570	74	high	0	0.000000	74	1.000000
tRNA	trnD-GUC	20497	20570	74	high	0	0.000000	74	1.000000
gene	trnY-GUA	20872	20955	84	high	0	0.000000	84	1.000000
tRNA	trnY-GUA	20872	20955	84	high	0	0.000000	84	1.000000
gene	trnE-UUC	21015	21087	73	high	0	0.000000	73	1.000000
tRNA	trnE-UUC	21015	21087	73	high	0	0.000000	73	1.000000
gene	trnT-GGU	21470	21541	72	high	0	0.000000	72	1.000000
tRNA	trnT-GGU	21470	21541	72	high	0	0.000000	72	1.000000
CDS	psbD	22220	23281	1062	high	0	0.000000	1062	1.000000
gene	psbD	22220	23281	1062	high	0	0.000000	1062	1.000000
CDS	psbC	23229	24647	1419	high	0	0.000000	1419	1.000000
gene	psbC	23229	24650	1422	high	0	0.000000	1422	1.000000
gene	trnS-UGA	24836	24928	93	high	0	0.000000	93	1.000000
tRNA	trnS-UGA	24836	24928	93	high	0	0.000000	93	1.000000
CDS	lhbA	25233	25421	189	high	0	0.000000	189	1.000000
CDS	psbZ	25233	25421	189	high	0	0.000000	189	1.000000
gene	lhbA	25233	25421	189	high	0	0.000000	189	1.000000
gene	psbZ	25233	25421	189	high	0	0.000000	189	1.000000
gene	trnG-UCC	26077	26147	71	high	0	0.000000	71	1.000000
tRNA	trnG-UCC	26077	26147	71	high	0	0.000000	71	1.000000
gene	trnfM-CAU	26285	26358	74	high	0	0.000000	74	1.000000
tRNA	trnfM-CAU	26285	26358	74	high	0	0.000000	74	1.000000
gene	rps14	26521	26823	303	high	0	0.000000	303	1.000000
CDS	rps14	26521	26823	303	high	0	0.000000	303	1.000000
gene	psaB	26938	29142	2205	high	0	0.000000	2205	1.000000
CDS	psaB	26938	29142	2205	high	0	0.000000	2205	1.000000
CDS	psaA	29168	31420	2253	high	0	0.000000	2253	1.000000
gene	psaA	29168	31420	2253	high	0	0.000000	2253	1.000000
gene	pafI	32057	34016	1960	high	0	0.000000	1960	1.000000
gene	ycf3	32057	34016	1960	high	0	0.000000	1960	1.000000
CDS	ycf3	32954	33181	228	weak	0	0.000000	228	1.000000
CDS	pafI	32954	33183	230	low	0	0.000000	230	1.000000
gene	trnS-GGA	34270	34356	87	high	0	0.000000	87	1.000000
tRNA	trnS-GGA	34270	34356	87	high	0	0.000000	87	1.000000
gene	rps4	34565	35170	606	high	0	0.000000	606	1.000000
CDS	rps4	34568	35170	603	high	0	0.000000	603	1.000000
gene	trnT-UGU	35499	35571	73	high	0	0.000000	73	1.000000
tRNA	trnT-UGU	35499	35571	73	high	0	0.000000	73	1.000000
gene	trnL-UAA	35988	36024	37	high	0	0.000000	37	1.000000
tRNA	trnL-UAA	35988	36024	37	high	0	0.000000	37	1.000000
gene	trnF-GAA	36824	36896	73	high	0	0.000000	73	1.000000
tRNA	trnF-GAA	36824	36896	73	high	0	0.000000	73	1.000000
gene	ndhJ	37500	37976	477	high	0	0.000000	477	1.000000
CDS	ndhJ	37503	37976	474	high	0	0.000000	474	1.000000
gene	ndhK	38084	38761	678	high	0	0.000000	678	1.000000
CDS	ndhK	38087	38761	675	high	0	0.000000	675	1.000000
gene	ndhC	38818	39180	363	high	0	0.000000	363	1.000000
CDS	ndhC	38821	39180	360	high	0	0.000000	360	1.000000
gene	trnV-UAC	40076	40721	646	high	0	0.000000	646	1.000000
tRNA	trnV-UAC	40684	40721	38	low	0	0.000000	38	1.000000
gene	trnM-CAU	40895	40967	73	high	0	0.000000	73	1.000000
tRNA	trnM-CAU	40895	40967	73	high	0	0.000000	73	1.000000
gene	atpE	41137	41538	402	high	0	0.000000	402	1.000000
CDS	atpE	41137	41538	402	high	0	0.000000	402	1.000000
gene	atpB	41535	43031	1497	high	0	0.000000	1497	1.000000
CDS	atpB	41538	43031	1494	high	0	0.000000	1494	1.000000
gene	rbcL	43725	45152	1428	high	0	0.000000	1428	1.000000
CDS	rbcL	43725	45152	1428	high	0	0.000000	1428	1.000000
CDS	accD	45789	47221	1433	high	0	0.000000	1433	1.000000
gene	accD	45789	47221	1433	high	0	0.000000	1433	1.000000
CDS	psaI	47800	47910	111	high	0	0.000000	111	1.000000
gene	psaI	47800	47910	111	high	0	0.000000	111	1.000000
CDS	pafII	48149	48703	555	high	0	0.000000	555	1.000000
CDS	ycf4	48149	48703	555	high	0	0.000000	555	1.000000
gene	pafII	48149	48703	555	high	0	0.000000	555	1.000000
gene	ycf4	48149	48703	555	high	0	0.000000	555	1.000000
gene	cemA	49300	49989	690	high	0	0.000000	690	1.000000
CDS	cemA	49300	49989	690	high	0	0.000000	690	1.000000
CDS	petA	50215	51177	963	high	0	0.000000	963	1.000000
gene	petA	50215	51177	963	high	0	0.000000	963	1.000000
gene	psbJ	51906	52028	123	high	0	0.000000	123	1.000000
CDS	psbJ	51906	52028	123	high	0	0.000000	123	1.000000
gene	psbL	52163	52280	118	high	0	0.000000	118	1.000000
CDS	psbL	52163	52280	118	high	0	0.000000	118	1.000000
gene	psbF	52303	52422	120	high	0	0.000000	120	1.000000
CDS	psbF	52303	52422	120	high	0	0.000000	120	1.000000
gene	psbE	52432	52683	252	high	0	0.000000	252	1.000000
CDS	psbE	52432	52683	252	high	0	0.000000	252	1.000000
CDS	petL	53748	53840	93	high	0	0.000000	93	1.000000
gene	petL	53748	53843	96	high	0	0.000000	96	1.000000
CDS	petG	54015	54128	114	high	0	0.000000	114	1.000000
gene	petG	54015	54128	114	high	0	0.000000	114	1.000000
gene	trnW-CCA	54255	54328	74	high	0	0.000000	74	1.000000
tRNA	trnW-CCA	54255	54328	74	high	0	0.000000	74	1.000000
gene	trnP-UGG	54482	54556	75	high	0	0.000000	75	1.000000
tRNA	trnP-UGG	54482	54556	75	high	0	0.000000	75	1.000000
CDS	psaJ	54813	54947	135	high	0	0.000000	135	1.000000
gene	psaJ	54813	54947	135	high	0	0.000000	135	1.000000
CDS	rpl33	55389	55589	201	high	0	0.000000	201	1.000000
gene	rpl33	55389	55589	201	high	0	0.000000	201	1.000000
gene	rps18	55732	56037	306	high	0	0.000000	306	1.000000
CDS	rps18	55732	56037	306	high	0	0.000000	306	1.000000
gene	rpl20	56504	56585	82	high	0	0.000000	82	1.000000
CDS	rpl20	56504	56585	82	high	0	0.000000	82	1.000000
gene	clpP1	57673	59692	2020	high	0	0.000000	2020	1.000000
gene	clpP	57673	59692	2020	high	0	0.000000	2020	1.000000
CDS	clpP1	57676	58002	327	low	0	0.000000	327	1.000000
CDS	clpP	57676	58002	327	low	0	0.000000	327	1.000000
CDS	psbB	60133	61659	1527	high	0	0.000000	1527	1.000000
gene	psbB	60133	61659	1527	high	0	0.000000	1527	1.000000
CDS	psbT	61839	61940	102	high	0	0.000000	102	1.000000
gene	psbT	61839	61940	102	high	0	0.000000	102	1.000000
gene	pbf1	62001	62132	132	high	0	0.000000	132	1.000000
CDS	pbf1	62001	62132	132	high	0	0.000000	132	1.000000
gene	psbN	62001	62132	132	high	0	0.000000	132	1.000000
CDS	psbN	62001	62132	132	high	0	0.000000	132	1.000000
CDS	psbH	62235	62456	222	high	0	0.000000	222	1.000000
gene	psbH	62235	62456	222	high	0	0.000000	222	1.000000
gene	petB	62574	64042	1469	high	0	0.000000	1469	1.000000
CDS	petB	63400	64042	643	high	0	0.000000	643	1.000000
