threshold_usable_samples	rank	start	end	length_bp
14	1	69794	78724	8931
14	2	223147	231210	8064
14	3	231397	237880	6484
14	4	63979	69787	5809
14	5	237883	243091	5209
14	6	78728	81377	2650
14	7	61215	63843	2629
14	8	81573	83234	1662
14	9	59705	61147	1443
14	10	83265	83987	723
14	11	59591	59703	113
14	12	81384	81422	39
14	13	84353	84383	31
14	14	61193	61200	8
13	1	223140	243102	19963
13	2	59705	69788	10084
13	3	69793	78725	8933
13	4	78727	84394	5668
13	5	59555	59703	149
12	1	59539	84470	24932
12	2	223117	243114	19998
10	1	59494	84489	24996
10	2	223065	243216	20152
10	3	28343	28365	23
10	4	28891	28910	20
10	5	29161	29179	19
7	1	59388	84496	25109
7	2	223018	243272	20255
7	3	29204	31489	2286
7	4	28018	29021	1004
7	5	31557	31831	275
7	6	29112	29130	19
7	7	29161	29179	19
1	1	58957	84913	25957
1	2	222512	243359	20848
1	3	28017	32632	4616
1	4	153417	154152	736
1	5	13512	14013	502
1	6	54558	54941	384
1	7	52116	52444	329
1	8	8184	8491	308
1	9	1452	1745	294
1	10	22612	22902	291
1	11	1088	1375	288
1	12	36103	36368	266
1	13	48114	48377	264
1	14	48459	48720	262
1	15	8611	8808	198
1	16	9894	10081	188
1	17	34747	34932	186
1	18	7845	8026	182
1	19	3774	3923	150
1	20	11186	11335	150
1	21	12352	12501	150
1	22	20067	20216	150
1	23	20445	20594	150
1	24	27348	27497	150
1	25	32795	32944	150
1	26	38378	38527	150
1	27	39167	39316	150
1	28	39917	40066	150
1	29	41178	41327	150
1	30	41791	41940	150
1	31	44428	44577	150
1	32	45207	45356	150
1	33	46116	46265	150
1	34	51847	51996	150
1	35	53143	53292	150
1	36	53466	53615	150
1	37	53870	54019	150
1	38	54118	54267	150
1	39	56440	56589	150
1	40	57571	57720	150
1	41	58770	58919	150
1	42	141971	142120	150
1	43	183905	184054	150
1	44	184587	184733	147
1	45	11916	12061	146
1	46	141527	141672	146
1	47	45450	45594	145
1	48	27515	27658	144
1	49	44872	45015	144
1	50	27049	27190	142
1	51	37972	38111	140
1	52	343	479	137
1	53	45724	45856	133
1	54	56832	56962	131
1	55	10306	10432	127
1	56	89647	89768	122
1	57	11515	11635	121
1	58	5351	5468	118
1	59	18323	18436	114
1	60	22338	22438	101
1	61	89068	89168	101
1	62	43106	43200	95
1	63	50157	50250	94
1	64	21804	21895	92
1	65	51098	51176	79
1	66	154	230	77
1	67	52934	52985	52
1	68	79	129	51
1	69	57738	57781	44
1	70	52551	52585	35
1	71	32958	32987	30
1	72	131	152	22
1	73	58941	58955	15
