organelle	check	status	feature	evidence	interpretation
chloroplast	feature_counts	INFO	all	CDS=85;gene=119;rRNA=4;tRNA=30	Counts from gateVER best_nonredundant GFF3.
chloroplast	strongly_overlapping_CDS	WARN	lhbA|psbZ	25233-25421 overlaps 25233-25421 by 189 bp (1.00 of shorter)	Likely duplicate or synonym call to inspect before curated use.
chloroplast	strongly_overlapping_CDS	WARN	ycf3|pafI	32954-33181 overlaps 32954-33183 by 228 bp (1.00 of shorter)	Likely duplicate or synonym call to inspect before curated use.
chloroplast	strongly_overlapping_CDS	WARN	pafII|ycf4	48149-48703 overlaps 48149-48703 by 555 bp (1.00 of shorter)	Likely duplicate or synonym call to inspect before curated use.
chloroplast	strongly_overlapping_CDS	WARN	clpP1|clpP	57676-58002 overlaps 57676-58002 by 327 bp (1.00 of shorter)	Likely duplicate or synonym call to inspect before curated use.
chloroplast	strongly_overlapping_CDS	WARN	pbf1|psbN	62001-62132 overlaps 62001-62132 by 132 bp (1.00 of shorter)	Likely duplicate or synonym call to inspect before curated use.
chloroplast	strongly_overlapping_CDS	WARN	ndhA|NADH_dehydrogenase_subunit_A	103403-103954 overlaps 103403-103954 by 552 bp (1.00 of shorter)	Likely duplicate or synonym call to inspect before curated use.
mitochondria	feature_counts	INFO	all	CDS=34;gene=47;rRNA=2;tRNA=13	Counts from gateVER best_nonredundant GFF3.
mitochondria	strongly_overlapping_CDS	WARN	ccmFC|QQ045_002857	3653-4420 overlaps 3692-4537 by 729 bp (0.95 of shorter)	Likely duplicate or synonym call to inspect before curated use.
mitochondria	strongly_overlapping_CDS	WARN	ND7|nad7	64292-64758 overlaps 64292-64758 by 467 bp (1.00 of shorter)	Likely duplicate or synonym call to inspect before curated use.
mitochondria	strongly_overlapping_CDS	WARN	ND9|nad9	80519-81088 overlaps 80519-81088 by 570 bp (1.00 of shorter)	Likely duplicate or synonym call to inspect before curated use.
mitochondria	strongly_overlapping_CDS	WARN	ND1|nad1	93740-94127 overlaps 93740-94127 by 388 bp (1.00 of shorter)	Likely duplicate or synonym call to inspect before curated use.
mitochondria	strongly_overlapping_CDS	WARN	nad5|ND5	96490-97710 overlaps 96493-97710 by 1218 bp (1.00 of shorter)	Likely duplicate or synonym call to inspect before curated use.
mitochondria	strongly_overlapping_CDS	WARN	rps7|QQ045_002858	107717-108163 overlaps 107726-108136 by 411 bp (1.00 of shorter)	Likely duplicate or synonym call to inspect before curated use.
mitochondria	strongly_overlapping_CDS	WARN	CYTB|cob	111447-112628 overlaps 111471-112628 by 1158 bp (1.00 of shorter)	Likely duplicate or synonym call to inspect before curated use.
mitochondria	strongly_overlapping_CDS	WARN	ND4L|nad4L	121584-121886 overlaps 121584-121886 by 303 bp (1.00 of shorter)	Likely duplicate or synonym call to inspect before curated use.
mitochondria	strongly_overlapping_CDS	WARN	ND2|nad2	151406-152176 overlaps 151412-152176 by 765 bp (1.00 of shorter)	Likely duplicate or synonym call to inspect before curated use.
mitochondria	strongly_overlapping_CDS	WARN	QQ045_002855|ATP1	241601-243133 overlaps 241604-243133 by 1530 bp (1.00 of shorter)	Likely duplicate or synonym call to inspect before curated use.
