sample_id	reference_length	callable_bases	callable_fraction	reference_matches	nonreference_bases	callable_reference_identity
ABAB_MAD_LP_322_Du-593	243359	43154	0.177326501177	43130	24	0.99944385225
ABAB_MAD_LP_324_Du-595	243359	43148	0.177301846244	43124	24	0.999443774914
ABAB_MAD_LP_325_Du-596	243359	43145	0.177289518777	43124	21	0.999513269208
ABAB_MAD_LP_326_Du-597	243359	43146	0.177293627932	43123	23	0.99946692625
ABBE_BERN_LP_311_Du-780	243359	43163	0.177363483578	43136	27	0.99937446424
ABBE_BERN_LP_312_Du-781	243359	43161	0.177355265267	43135	26	0.999397604319
ABBE_BERN_LP_314_Du-783	243359	43162	0.177359374422	43135	27	0.999374449747
ABMU_HOR_LP_306_Du-775	243359	43164	0.177367592733	43145	19	0.999559818367
ABMU_HOR_LP_308_Du-777	243359	43162	0.177359374422	43143	19	0.99955979797
ABMU_HOR_LP_358_Du-770	243359	43155	0.177330610333	43133	22	0.999490209709
ABMU_HOR_LP_359_Du-771	243359	43157	0.177338828644	43138	19	0.99955974697
ABMU_HOR_LP_360_Du-772	243359	43154	0.177326501177	43134	20	0.999536543542
ABMU_HOR_LP_361_Du-773	243359	43153	0.177322392022	43134	19	0.999559706162
BAI_LP_105_Du-222	243359	43169	0.177388138511	43164	5	0.999884176145
BAI_LP_106_Du-223	243359	43176	0.177416902601	43170	6	0.999861033908
BAI_LP_108_Du-225	243359	43174	0.177408684289	43169	5	0.999884189559
BAI_LP_109_Du-226	243359	43174	0.177408684289	43169	5	0.999884189559
BAI_LP_110_Du-227	243359	43169	0.177388138511	43163	6	0.999861011374
BAI_LP_111_Du-228	243359	43176	0.177416902601	43170	6	0.999861033908
BAI_LP_112_Du-230	243359	43173	0.177404575134	43168	5	0.999884186876
BAI_LP_113_Du-231	243359	43176	0.177416902601	43170	6	0.999861033908
BAI_LP_114_Du-232	243359	43169	0.177388138511	43164	5	0.999884176145
COM_LP_269_Du-703	243359	42937	0.17643481441	42929	8	0.999813680509
COM_LP_270_Du-704	243359	43178	0.177425120912	43172	6	0.999861040345
COM_LP_272_Du-707	243359	43181	0.177437448379	43175	6	0.999861049999
COM_LP_274_Du-709	243359	43182	0.177441557534	43175	7	0.999837895419
COM_LP_276_Du-711	243359	43179	0.177429230068	43173	6	0.999861043563
COM_LP_277_Du-712	243359	43177	0.177421011756	43170	7	0.999837876647
COM_LP_341_Du-713	243359	43175	0.177412793445	43169	6	0.999861030689
COM_LP_342_Du-714	243359	43175	0.177412793445	43169	6	0.999861030689
COM_LP_343_Du-715	243359	43179	0.177429230068	43172	7	0.999837884157
CROB_LP_170_Du-382	243359	43182	0.177441557534	43178	4	0.999907368811
CROB_LP_172_Du-384	243359	43177	0.177421011756	43175	2	0.999953679042
CROB_LP_173_Du-385	243359	43178	0.177425120912	43174	4	0.99990736023
CROB_LP_174_Du-386	243359	43179	0.177429230068	43175	4	0.999907362375
CROB_LP_175_Du-387	243359	43178	0.177425120912	43174	4	0.99990736023
CROB_LP_176_Du-388	243359	43182	0.177441557534	43178	4	0.999907368811
CROB_LP_177_Du-389	243359	43181	0.177437448379	43177	4	0.999907366666
CROB_LP_320_Du-395	243359	43178	0.177425120912	43174	4	0.99990736023
CROB_LP_321_Du-396	243359	43178	0.177425120912	43174	4	0.99990736023
CROS_LP_085_Du-181	243359	43182	0.177441557534	43178	4	0.999907368811
CROS_LP_086_Du-182	243359	43182	0.177441557534	43178	4	0.999907368811
CROS_LP_087_Du-183	243359	43181	0.177437448379	43177	4	0.999907366666
CROS_LP_088_Du-184	243359	43182	0.177441557534	43178	4	0.999907368811
