sample_id	reference_length	callable_bases	callable_fraction	reference_matches	nonreference_bases	callable_reference_identity
ABAB_MAD_LP_223_Du-590	243359	42445	0.17441310985	42421	24	0.999434562375
ABAB_MAD_LP_322_Du-593	243359	43161	0.177355265267	43137	24	0.999443942448
ABAB_MAD_LP_323_Du-594	243359	43139	0.177264863843	43114	25	0.99942047799
ABAB_MAD_LP_324_Du-595	243359	43162	0.177359374422	43137	25	0.999420786803
ABAB_MAD_LP_325_Du-596	243359	43157	0.177338828644	43136	21	0.999513404546
ABAB_MAD_LP_326_Du-597	243359	43159	0.177347046955	43136	23	0.999467086819
ABAB_MAD_LP_327_Du-598	243359	43065	0.176960786328	43041	24	0.999442702891
ABBE_BERN_LP_311_Du-780	243359	43170	0.177392247667	43143	27	0.999374565671
ABBE_BERN_LP_312_Du-781	243359	43162	0.177359374422	43136	26	0.999397618275
ABBE_BERN_LP_313_Du-782	243359	43165	0.177371701889	43138	27	0.999374493224
ABBE_BERN_LP_314_Du-783	243359	43171	0.177396356823	43144	27	0.999374580158
ABMU_HOR_LP_306_Du-775	243359	43165	0.177371701889	43146	19	0.999559828565
ABMU_HOR_LP_308_Du-777	243359	43171	0.177396356823	43152	19	0.999559889741
ABMU_HOR_LP_358_Du-770	243359	43166	0.177375811045	43144	22	0.999490339619
ABMU_HOR_LP_359_Du-771	243359	43166	0.177375811045	43147	19	0.999559838762
ABMU_HOR_LP_360_Du-772	243359	43166	0.177375811045	43146	20	0.999536672381
ABMU_HOR_LP_361_Du-773	243359	43165	0.177371701889	43146	19	0.999559828565
BAI_LP_105_Du-222	243359	43171	0.177396356823	43166	5	0.999884181511
BAI_LP_106_Du-223	243359	43181	0.177437448379	43175	6	0.999861049999
BAI_LP_108_Du-225	243359	43181	0.177437448379	43176	5	0.999884208332
BAI_LP_109_Du-226	243359	43181	0.177437448379	43176	5	0.999884208332
BAI_LP_110_Du-227	243359	43181	0.177437448379	43175	6	0.999861049999
BAI_LP_111_Du-228	243359	43178	0.177425120912	43172	6	0.999861040345
BAI_LP_112_Du-230	243359	43174	0.177408684289	43169	5	0.999884189559
BAI_LP_113_Du-231	243359	43180	0.177433339223	43174	6	0.999861046781
BAI_LP_114_Du-232	243359	43171	0.177396356823	43166	5	0.999884181511
BAI_LP_319_Du-233	243359	43173	0.177404575134	43168	5	0.999884186876
COM_LP_269_Du-703	243359	43182	0.177441557534	43173	9	0.999791579825
COM_LP_270_Du-704	243359	43178	0.177425120912	43172	6	0.999861040345
COM_LP_272_Du-707	243359	43181	0.177437448379	43175	6	0.999861049999
COM_LP_274_Du-709	243359	43182	0.177441557534	43175	7	0.999837895419
COM_LP_276_Du-711	243359	43180	0.177433339223	43174	6	0.999861046781
COM_LP_277_Du-712	243359	43178	0.177425120912	43171	7	0.999837880402
