sample	organelle	accession	description	length_bp	gc_percent	gene_features	unique_gene_names	cds_features	unique_cds_genes	trna_features	unique_trna_genes	rrna_features	unique_rrna_genes	source
D_setchellii_candidate_chloroplast	chloroplast	candidate	Dudleya setchellii candidate gateVER best_nonredundant homology-transfer annotation	176964	37.77	119	119	85	85	30	30	4	4	/home/neil/Downloads/dudleya/Dudleya_S_genomes/gateVER/chloroplast.best_nonredundant.annotation.tsv
PX244394.1	chloroplast	PX244394.1	Dudleya sp. T72600-1 chloroplast, complete genome	166371	37.197	129	111	86	79	35	29	8	4	/home/neil/Downloads/dudleya/Dudleya_S_genomes/gateVER/references/chloroplast_references.gb
PX244393.1	chloroplast	PX244393.1	Dudleya candelabrum chloroplast, complete genome	150419	37.974	132	113	86	79	37	30	8	4	/home/neil/Downloads/dudleya/Dudleya_S_genomes/gateVER/references/chloroplast_references.gb
PX244392.1	chloroplast	PX244392.1	Dudleya greenei chloroplast, complete genome	152899	38.211	130	113	85	79	36	30	8	4	/home/neil/Downloads/dudleya/Dudleya_S_genomes/gateVER/references/chloroplast_references.gb
PX244391.1	chloroplast	PX244391.1	Dudleya lanceolata chloroplast, complete genome	150313	37.967	132	113	86	79	37	30	8	4	/home/neil/Downloads/dudleya/Dudleya_S_genomes/gateVER/references/chloroplast_references.gb
PX244390.1	chloroplast	PX244390.1	Dudleya nesiotica chloroplast, complete genome	150405	37.974	132	113	85	79	37	30	8	4	/home/neil/Downloads/dudleya/Dudleya_S_genomes/gateVER/references/chloroplast_references.gb
PX244389.1	chloroplast	PX244389.1	Dudleya virens chloroplast, complete genome	150377	37.967	132	113	85	79	37	30	8	4	/home/neil/Downloads/dudleya/Dudleya_S_genomes/gateVER/references/chloroplast_references.gb
NC_085682.1	chloroplast	NC_085682.1	Dudleya farinosa chloroplast, complete genome	150780	37.947	134	114	84	78	37	30	8	4	/home/neil/Downloads/dudleya/Dudleya_S_genomes/gateVER/references/chloroplast_references.gb
OQ076651.1	chloroplast	OQ076651.1	Dudleya farinosa chloroplast, complete genome	150780	37.947	134	114	84	78	37	30	8	4	/home/neil/Downloads/dudleya/Dudleya_S_genomes/gateVER/references/chloroplast_references.gb
OL312335.1	chloroplast	OL312335.1	Dudleya farinosa voucher MO:Carlsen3301 photosystem II protein D1 (psbA) gene, partial cds; psbA-trnH intergenic spacer, complete sequence; and tRNA-His (trnH-GUG) gene, partial sequence; chloroplast	330	27.576	2	2	1	1	1	1	0	0	/home/neil/Downloads/dudleya/Dudleya_S_genomes/gateVER/references/chloroplast_references.gb
D_setchellii_candidate_mitochondria	mitochondria	candidate	Dudleya setchellii candidate gateVER best_nonredundant homology-transfer annotation	243359	45.517	47	47	34	34	13	13	2	2	/home/neil/Downloads/dudleya/Dudleya_S_genomes/gateVER/mitochondria.best_nonredundant.annotation.tsv
PV256627.1	mitochondria	PV256627.1	Graptopetalum paraguayense mitochondrion, complete genome	242059	43.645	50	44	31	31	13	7	3	3	/home/neil/Downloads/dudleya/Dudleya_S_genomes/gateVER/references/mitochondria_references.gb
PV608516.1	mitochondria	PV608516.1	Sedum sarmentosum mitochondrion, complete genome	156728	45.303	44	42	33	32	8	7	3	3	/home/neil/Downloads/dudleya/Dudleya_S_genomes/gateVER/references/mitochondria_references.gb
