organelle	start_0based	end_0based_exclusive	window_bp	callable_bases	repeat_or_duplicate_ir_bases	primary_snp_count	variation_per_callable_kb	mean_filtered_depth	non_overlapping_window
chloroplast	0	5000	5000	5000	0	93	18.6	1562.81534638	yes
chloroplast	5000	10000	5000	5000	0	112	22.4	1554.23593261	yes
chloroplast	10000	15000	5000	5000	0	76	15.2	1601.79792174	yes
chloroplast	15000	20000	5000	5000	0	129	25.8	1522.67296087	yes
chloroplast	20000	25000	5000	5000	0	81	16.2	1825.27517826	yes
chloroplast	25000	30000	5000	5000	0	61	12.2	1619.13003043	yes
chloroplast	30000	35000	5000	5000	0	75	15	1584.8120029	yes
chloroplast	35000	40000	5000	5000	0	113	22.6	1461.03763116	yes
chloroplast	40000	45000	5000	5000	0	74	14.8	1641.75244275	yes
chloroplast	45000	50000	5000	5000	0	101	20.2	1450.40967391	yes
chloroplast	50000	55000	5000	5000	0	127	25.4	1415.42777464	yes
chloroplast	55000	60000	5000	5000	0	110	22	1472.51630145	yes
chloroplast	60000	65000	5000	5000	0	100	20	1598.58216594	yes
chloroplast	65000	70000	5000	5000	0	117	23.4	1570.7392058	yes
chloroplast	70000	75000	5000	5000	0	52	10.4	580.657047101	yes
chloroplast	75000	80000	5000	5000	0	0	0	1.16849275362	yes
chloroplast	80000	85000	5000	5000	0	2	0.4	135.255918841	yes
chloroplast	85000	90000	5000	5000	0	9	1.8	23.2776028986	yes
chloroplast	90000	95000	5000	5000	0	4	0.8	532.894708696	yes
chloroplast	95000	100000	5000	5000	0	93	18.6	676.247828986	yes
chloroplast	100000	105000	5000	5000	0	126	25.2	1366.44772319	yes
chloroplast	105000	110000	5000	5000	0	127	25.4	1364.90267391	yes
chloroplast	110000	115000	5000	4281	719	126	29.4323756132	1280.68700362	yes
chloroplast	115000	120000	5000	0	5000	0	nan	0.244880434783	yes
chloroplast	120000	125000	5000	0	5000	0	nan	65.1757963768	yes
chloroplast	125000	130000	5000	0	5000	0	nan	0.856894927536	yes
chloroplast	130000	135000	5000	0	5000	0	nan	1.06422318841	yes
chloroplast	135000	140000	5000	0	5000	0	nan	169.83842971	yes
chloroplast	140000	145000	5000	4983	17	163	32.7112181417	1463.82438043	yes
chloroplast	145000	150000	5000	5000	0	174	34.8	1499.54298768	yes
chloroplast	150000	150274	274	274	0	16	58.3941605839	1300.41821379	yes
mitochondria	0	5000	5000	0	5000	0	nan	0.0259542435424	yes
mitochondria	5000	10000	5000	0	5000	0	nan	0.0228870848708	yes
mitochondria	10000	15000	5000	0	5000	0	nan	0.0190184501845	yes
mitochondria	15000	20000	5000	0	5000	0	nan	0.0215099630996	yes
mitochondria	20000	25000	5000	0	5000	0	nan	0.0210885608856	yes
mitochondria	25000	30000	5000	0	3078	0	nan	64.5446369004	yes
mitochondria	30000	35000	5000	0	3231	0	nan	64.9942745387	yes
mitochondria	35000	40000	5000	0	5000	0	nan	0.0181380073801	yes
mitochondria	40000	45000	5000	0	5000	0	nan	0.0210752767528	yes
mitochondria	45000	50000	5000	0	5000	0	nan	0.0184575645756	yes
mitochondria	50000	55000	5000	0	5000	0	nan	0.0196280442804	yes
mitochondria	55000	60000	5000	153	4847	0	0	25.7280287823	yes
mitochondria	60000	65000	5000	4394	471	13	2.95857988166	248.451248708	yes
mitochondria	65000	70000	5000	5000	0	26	5.2	218.683193358	yes
mitochondria	70000	75000	5000	5000	0	14	2.8	215.125926199	yes
mitochondria	75000	80000	5000	5000	0	15	3	225.925863469	yes
mitochondria	80000	85000	5000	4114	886	17	4.13223140496	183.756137269	yes
mitochondria	85000	90000	5000	0	5000	0	nan	0.000853874538745	yes
mitochondria	90000	95000	5000	0	5000	0	nan	0.000185977859779	yes
mitochondria	95000	100000	5000	0	5000	0	nan	0.00019926199262	yes
mitochondria	100000	105000	5000	0	5000	0	nan	0	yes
mitochondria	105000	110000	5000	0	5000	0	nan	0.000247970479705	yes
mitochondria	110000	115000	5000	0	5000	0	nan	0.000223616236162	yes
mitochondria	115000	120000	5000	0	5000	0	nan	0.000219188191882	yes
mitochondria	120000	125000	5000	0	5000	0	nan	0.00020147601476	yes
mitochondria	125000	130000	5000	0	5000	0	nan	0.000143173431734	yes
mitochondria	130000	135000	5000	0	5000	0	nan	0	yes
mitochondria	135000	140000	5000	0	5000	0	nan	0.000371217712177	yes
mitochondria	140000	145000	5000	0	5000	0	nan	0	yes
mitochondria	145000	150000	5000	0	5000	0	nan	0.000217712177122	yes
mitochondria	150000	155000	5000	0	5000	0	nan	0.0453815498155	yes
mitochondria	155000	160000	5000	0	5000	0	nan	0.000661254612546	yes
mitochondria	160000	165000	5000	0	5000	0	nan	0.000157195571956	yes
mitochondria	165000	170000	5000	0	5000	0	nan	0.000107749077491	yes
mitochondria	170000	175000	5000	0	5000	0	nan	9.81549815498e-05	yes
mitochondria	175000	180000	5000	0	5000	0	nan	0	yes
mitochondria	180000	185000	5000	0	5000	0	nan	0	yes
mitochondria	185000	190000	5000	0	5000	0	nan	0.000428044280443	yes
mitochondria	190000	195000	5000	0	5000	0	nan	0.000508487084871	yes
mitochondria	195000	200000	5000	0	5000	0	nan	9.15129151292e-05	yes
mitochondria	200000	205000	5000	0	5000	0	nan	0.000411808118081	yes
mitochondria	205000	210000	5000	0	5000	0	nan	0.0006036900369	yes
mitochondria	210000	215000	5000	0	5000	0	nan	0.000363837638376	yes
mitochondria	215000	220000	5000	0	5000	0	nan	0	yes
mitochondria	220000	225000	5000	1633	3367	5	3.06184935701	69.4104583026	yes
mitochondria	225000	230000	5000	5000	0	11	2.2	216.179131365	yes
mitochondria	230000	235000	5000	5000	0	15	3	212.244453875	yes
mitochondria	235000	240000	5000	5000	0	25	5	210.188191144	yes
mitochondria	240000	243359	3359	2888	471	5	1.73130193906	179.010374727	yes
