organelle	sample_1	sample_2	differences	sites_compared	p_distance
mitochondria	ABAB_MAD_LP_223_Du-590	ABAB_MAD_LP_322_Du-593	1	38958	2.56686688228e-05
mitochondria	ABAB_MAD_LP_223_Du-590	ABAB_MAD_LP_323_Du-594	1	38721	2.58257792929e-05
mitochondria	ABAB_MAD_LP_223_Du-590	ABAB_MAD_LP_324_Du-595	1	38958	2.56686688228e-05
mitochondria	ABAB_MAD_LP_223_Du-590	ABAB_MAD_LP_325_Du-596	5	38957	0.000128346638602
mitochondria	ABAB_MAD_LP_223_Du-590	ABAB_MAD_LP_326_Du-597	1	38958	2.56686688228e-05
mitochondria	ABAB_MAD_LP_223_Du-590	ABAB_MAD_LP_327_Du-598	1	38169	2.61992716602e-05
mitochondria	ABAB_MAD_LP_223_Du-590	ABBE_BERN_LP_311_Du-780	31	38952	0.000795851304169
mitochondria	ABAB_MAD_LP_223_Du-590	ABBE_BERN_LP_312_Du-781	31	38951	0.000795871736284
mitochondria	ABAB_MAD_LP_223_Du-590	ABBE_BERN_LP_313_Du-782	31	38787	0.00079923685771
mitochondria	ABAB_MAD_LP_223_Du-590	ABBE_BERN_LP_314_Du-783	31	38951	0.000795871736284
mitochondria	ABAB_MAD_LP_223_Du-590	ABMU_HOR_LP_306_Du-775	7	38963	0.0001796576239
mitochondria	ABAB_MAD_LP_223_Du-590	ABMU_HOR_LP_308_Du-777	7	38962	0.000179662234998
mitochondria	ABAB_MAD_LP_223_Du-590	ABMU_HOR_LP_358_Du-770	10	38958	0.000256686688228
mitochondria	ABAB_MAD_LP_223_Du-590	ABMU_HOR_LP_359_Du-771	7	38959	0.000179676069714
mitochondria	ABAB_MAD_LP_223_Du-590	ABMU_HOR_LP_360_Du-772	7	38958	0.00017968068176
mitochondria	ABAB_MAD_LP_223_Du-590	ABMU_HOR_LP_361_Du-773	7	38958	0.00017968068176
mitochondria	ABAB_MAD_LP_223_Du-590	BAI_LP_105_Du-222	23	38953	0.000590455163915
mitochondria	ABAB_MAD_LP_223_Du-590	BAI_LP_106_Du-223	24	38963	0.000615968996227
mitochondria	ABAB_MAD_LP_223_Du-590	BAI_LP_108_Du-225	23	38958	0.000590379382925
mitochondria	ABAB_MAD_LP_223_Du-590	BAI_LP_109_Du-226	23	38963	0.000590303621384
mitochondria	ABAB_MAD_LP_223_Du-590	BAI_LP_110_Du-227	24	38956	0.000616079679639
mitochondria	ABAB_MAD_LP_223_Du-590	BAI_LP_111_Du-228	24	38960	0.000616016427105
mitochondria	ABAB_MAD_LP_223_Du-590	BAI_LP_112_Du-230	23	38956	0.000590409692987
mitochondria	ABAB_MAD_LP_223_Du-590	BAI_LP_113_Du-231	24	38962	0.000615984805708
mitochondria	ABAB_MAD_LP_223_Du-590	BAI_LP_114_Du-232	23	38953	0.000590455163915
mitochondria	ABAB_MAD_LP_223_Du-590	BAI_LP_319_Du-233	23	38947	0.000590546126788
mitochondria	ABAB_MAD_LP_223_Du-590	COM_LP_269_Du-703	30	38961	0.000770000770001
mitochondria	ABAB_MAD_LP_223_Du-590	COM_LP_270_Du-704	28	38959	0.000718704278857
