feature_type	name	start	end	length_bp	confidence	high_mapq_consensus_overlap_bp	high_mapq_consensus_overlap_fraction
CDS	ccmFC	3653	4420	768	low	0	0.000000
gene	QQ045_002857	3655	6088	2434	medium	0	0.000000
CDS	QQ045_002857	3692	4537	846	high	0	0.000000
gene	ccmFc	3692	5907	2216	high	0	0.000000
CDS	COX1	6974	8554	1581	high	0	0.000000
gene	COX1	6974	8557	1584	high	0	0.000000
CDS	rpl5	11531	12088	558	high	0	0.000000
gene	rpl5	11531	12088	558	high	0	0.000000
gene	rps14	12031	12287	257	high	0	0.000000
CDS	rps14	12090	12305	216	high	0	0.000000
gene	trnE-TTC	13704	13775	72	high	0	0.000000
tRNA	trnE-TTC	13704	13775	72	high	0	0.000000
gene	trnE-UUC	13704	13775	72	high	0	0.000000
tRNA	trnE-UUC	13704	13775	72	high	0	0.000000
gene	rpl10	20551	21039	489	high	0	0.000000
CDS	rpl10	20551	21039	489	high	0	0.000000
CDS	atp6	60345	61016	672	high	672	1.000000
gene	atp6	60345	61016	672	high	672	1.000000
gene	ND7	63670	67886	4217	medium	4217	1.000000
gene	nad7	64145	67886	3742	medium	3742	1.000000
CDS	ND7	64292	64758	467	weak	467	1.000000
CDS	nad7	64292	64758	467	weak	467	1.000000
CDS	ND9	80519	81088	570	high	570	1.000000
CDS	nad9	80519	81088	570	high	570	1.000000
gene	nad9	80519	81091	573	high	573	1.000000
gene	ND9	80519	81091	573	high	573	1.000000
gene	trnW-CCA	82048	82121	74	high	74	1.000000
tRNA	trnW-CCA	82048	82121	74	high	74	1.000000
gene	trnM-CAT	83446	83519	74	high	74	1.000000
tRNA	trnM-CAT	83446	83519	74	high	74	1.000000
gene	trnM-CAU	83446	83519	74	high	74	1.000000
tRNA	trnM-CAU	83446	83519	74	high	74	1.000000
gene	trnI-CAU	83446	83522	77	high	77	1.000000
tRNA	trnI-CAU	83446	83522	77	high	77	1.000000
CDS	ND1	93740	94127	388	weak	0	0.000000
CDS	nad1	93740	94127	388	weak	0	0.000000
CDS	nad5	96490	97710	1221	low	0	0.000000
CDS	ND5	96493	97710	1218	low	0	0.000000
gene	nad5	96493	98790	2298	low	0	0.000000
gene	trnfM-CAU	99369	99443	75	high	0	0.000000
tRNA	trnfM-CAU	99369	99443	75	high	0	0.000000
gene	rps7	107717	108163	447	high	0	0.000000
CDS	rps7	107717	108163	447	high	0	0.000000
CDS	QQ045_002858	107726	108136	411	weak	0	0.000000
gene	rrn18	109101	111026	1926	high	0	0.000000
rRNA	rrn18	109101	111026	1926	high	0	0.000000
gene	rrn5	111185	111305	121	high	0	0.000000
rRNA	rrn5	111185	111305	121	high	0	0.000000
CDS	CYTB	111447	112628	1182	high	0	0.000000
gene	CYTB	111447	112628	1182	high	0	0.000000
CDS	cob	111471	112628	1158	high	0	0.000000
gene	cob	111471	112628	1158	high	0	0.000000
gene	atp9	113023	113244	222	high	0	0.000000
CDS	atp9	113023	113244	222	high	0	0.000000
gene	trnQ-TTG	113463	113534	72	high	0	0.000000
tRNA	trnQ-TTG	113463	113534	72	high	0	0.000000
gene	trnQ-UUG	113463	113534	72	high	0	0.000000
tRNA	trnQ-UUG	113463	113534	72	high	0	0.000000
gene	ATP4	120814	121410	597	high	0	0.000000
CDS	atp4	120826	121410	585	high	0	0.000000
gene	ND4L	121584	121886	303	high	0	0.000000
CDS	ND4L	121584	121886	303	high	0	0.000000
gene	nad4L	121584	121886	303	high	0	0.000000
CDS	nad4L	121584	121886	303	high	0	0.000000
gene	nad4	123186	129626	6441	medium	0	0.000000
gene	ND4	123186	129626	6441	medium	0	0.000000
gene	matR	133714	135661	1948	high	0	0.000000
CDS	matR	133714	135661	1948	high	0	0.000000
gene	trnH-GTG	138538	138611	74	high	0	0.000000
tRNA	trnH-GTG	138538	138611	74	high	0	0.000000
gene	trnH-GUG	138538	138611	74	high	0	0.000000
tRNA	trnH-GUG	138538	138611	74	high	0	0.000000
CDS	COX3	141772	142569	798	high	0	0.000000
gene	COX3	141772	142569	798	high	0	0.000000
gene	sdh4	142497	142614	118	high	0	0.000000
gene	sdh4-pseudo	142497	142614	118	high	0	0.000000
CDS	sdh4	142497	142664	168	high	0	0.000000
CDS	ATP8	142792	143271	480	high	0	0.000000
gene	ATP8	142792	143271	480	high	0	0.000000
gene	trnY-GTA	149258	149340	83	high	0	0.000000
tRNA	trnY-GTA	149258	149340	83	high	0	0.000000
gene	trnY-GUA	149258	149340	83	high	0	0.000000
tRNA	trnY-GUA	149258	149340	83	high	0	0.000000
gene	nad2	150918	153629	2712	medium	0	0.000000
CDS	ND2	151406	152176	771	low	0	0.000000
CDS	nad2	151412	152176	765	medium	0	0.000000
gene	ccmB	223336	223956	621	high	621	1.000000
CDS	ccmB	223336	223956	621	high	621	1.000000
CDS	cox2	236710	237156	447	high	447	1.000000
gene	cox2	236710	240168	3459	high	3459	1.000000
gene	ccmC	240456	241142	687	high	687	1.000000
CDS	ccmC	240456	241142	687	high	687	1.000000
gene	ATP1	241601	243133	1533	high	1514	0.987606
gene	QQ045_002855	241601	243133	1533	high	1514	0.987606
CDS	QQ045_002855	241601	243133	1533	high	1514	0.987606
CDS	ATP1	241604	243133	1530	high	1511	0.987582
